"","SNAIL1","MIR129","ZEB1","CD44s","MIR340","MIR190","MIR1199","HAS2","TGFB","GRHL2","ESRP1","HA","CD24","MIR34","MIR200","TWIST1"
"TWIST1",-0.258903108758327,-0.0259647938866721,-0.214082348593726,0.213565244783082,0.213890977682105,0.213890977682105,0.213890977682105,0.213890977682105,-0.0811277913780821,-0.213890977682105,-0.213890977682105,-0.213565244783082,-0.213565244783082,0.0153215847842965,0.0153215847842965,0.146658928673548
"TGFB",-0.424097434199162,-0.141349450214809,-0.198384002147877,0.196776773090348,0.197633671119483,0.197633671119483,0.197633671119483,0.197633671119483,-0.198583889661841,-0.197633671119483,-0.197633671119483,-0.196776773090348,-0.196776773090348,0.148294154640599,0.148294154640599,0.352036669556152
"MIR34",-0.424097434199162,-0.141349450214809,-0.198384002147877,0.196776773090348,0.197633671119483,0.197633671119483,0.197633671119483,0.197633671119483,-0.198583889661841,-0.197633671119483,-0.197633671119483,-0.196776773090348,-0.196776773090348,0.148294154640599,0.148294154640599,0.352036669556152
"GRHL2",0.216047587358566,0.130574658985603,-0.150086244342573,0.15120840977909,0.150571467103931,0.150571467103931,0.150571467103931,0.150571467103931,0.0341499455001718,-0.150571467103931,-0.150571467103931,-0.15120840977909,-0.0512084097790904,-0.22656299600247,-0.22656299600247,-0.213970662431541
"ZEB1",-0.192276763334359,-0.110825064166323,-0.067267546625116,-0.0334308582532678,-0.0328648767221388,-0.0328648767221388,-0.0328648767221388,-0.0328648767221388,-0.0317344136638994,0.0328648767221388,0.0328648767221388,0.0334308582532678,0.0334308582532678,0.11437568175938,0.11437568175938,0.193268424416302
"MIR340",0.191560384304727,0.1107315770987,-0.0328648767221388,0.0336857435548821,0.0334308582532678,0.0334308582532678,0.0334308582532678,0.0334308582532678,0.0311815681354441,-0.0334308582532678,-0.0334308582532678,-0.0336857435548821,-0.0336857435548821,-0.114357403565265,-0.114357403565265,-0.192427040807702
"HA",0.191560384304727,0.1107315770987,-0.0328648767221388,0.0336857435548821,0.0334308582532678,0.0334308582532678,0.0334308582532678,0.0334308582532678,0.0311815681354441,-0.0334308582532678,-0.0334308582532678,-0.0336857435548821,-0.0336857435548821,-0.114357403565265,-0.114357403565265,-0.192427040807702
"CD44s",0.191560384304727,0.1107315770987,-0.0328648767221388,0.0336857435548821,0.0334308582532678,0.0334308582532678,0.0334308582532678,0.0334308582532678,0.0311815681354441,-0.0334308582532678,-0.0334308582532678,-0.0336857435548821,-0.0336857435548821,-0.114357403565265,-0.114357403565265,-0.192427040807702
"CD24",0.191560384304727,0.1107315770987,-0.0328648767221388,0.0336857435548821,0.0334308582532678,0.0334308582532678,0.0334308582532678,0.0334308582532678,0.0311815681354441,-0.0334308582532678,-0.0334308582532678,-0.0336857435548821,-0.0336857435548821,-0.114357403565265,-0.114357403565265,-0.192427040807702
"MIR1199",-0.191560384304727,-0.1107315770987,0.0328648767221388,-0.0336857435548821,-0.0334308582532678,-0.0334308582532678,-0.0334308582532678,-0.0334308582532678,-0.0311815681354441,0.0334308582532678,0.0334308582532678,0.0336857435548821,0.0336857435548821,0.114357403565265,0.114357403565265,0.192427040807702
"HAS2",-0.190614310510971,-0.110092307692308,0.0334308582532678,-0.0354669140383426,-0.0336857435548821,-0.0336857435548821,-0.0336857435548821,-0.0336857435548821,-0.0305052396330287,0.0336857435548821,0.0336857435548821,-0.0645330859616574,0.0354669140383426,0.113619785019428,0.113619785019428,0.190874529392176
"ESRP1",-0.190614310510971,-0.110092307692308,0.0334308582532678,-0.135466914038343,-0.0336857435548821,-0.0336857435548821,-0.0336857435548821,-0.0336857435548821,-0.0305052396330287,0.0336857435548821,0.0336857435548821,0.0354669140383426,0.0354669140383426,0.113619785019428,0.113619785019428,0.190874529392176
"MIR200",0.155804792994077,0.0817984564629389,0.117865573126636,-0.116987242028678,-0.117848001522349,-0.117848001522349,-0.117848001522349,-0.117848001522349,0.0149739821868224,0.117848001522349,0.117848001522349,0.116987242028678,0.116987242028678,-0.00931603073689571,-0.00931603073689571,-0.16393069124466
"MIR190",0.422426125006961,0.140601539964039,0.197633671119483,-0.194270507426188,-0.196776773090348,-0.196776773090348,-0.196776773090348,-0.196776773090348,0.0973036620658235,0.196776773090348,0.196776773090348,0.194270507426188,0.194270507426188,-0.147482423821012,-0.147482423821012,-0.349528970480041
"SNAIL1",0.325160668670342,0.141577379100997,0.198676990630399,-0.197633671119483,-0.198384002147877,-0.198384002147877,-0.198384002147877,-0.198384002147877,0.199412753630636,0.198384002147877,0.198384002147877,0.197633671119483,0.197633671119483,-0.148483258647803,-0.148483258647803,-0.353389047614197
"MIR129",0.258395355224636,0.0257293766750582,0.213890977682105,-0.212820088300221,-0.213565244783082,-0.213565244783082,-0.213565244783082,-0.213565244783082,0.0807051371092739,0.213565244783082,0.213565244783082,0.212820088300221,0.212820088300221,-0.0151367988280291,-0.0151367988280291,-0.245874409845096
