"","MIR34","MIR129","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","CD44s","TWIST1","TGFB","ZEB1","SNAIL1","MIR200","HA","CD24"
"TWIST1",0.0926520497514049,0.175665653137966,0.176101858700513,0.176101858700513,0.176101858700513,0.176101858700513,0.176101858700513,0.176101858700513,0.17888311653063,-0.0704040123878363,0.00211438766239574,-0.178154746661543,-0.0248704029027505,-0.0765049210920816,-0.17888311653063,-0.17888311653063
"CD24",0.107334106374256,0.101243047041597,0.096035565347829,0.096035565347829,0.096035565347829,0.096035565347829,0.096035565347829,0.096035565347829,0.0983295330623575,0.0650224132032351,0.00256599247339171,-0.0978526639477694,-0.0822901621374997,-0.0865964666235188,-0.0983295330623575,-0.0983295330623575
"HAS2",0.105648121126627,0.0989599420187655,0.0983295330623575,0.0983295330623575,0.0983295330623575,0.0983295330623575,0.0983295330623575,0.0983295330623575,0.095021645021645,0.0585383949383949,0.00536792484054147,-0.096035565347829,-0.0880612122794108,-0.0911275519765219,-0.195021645021645,-0.095021645021645
"MIR34",0.116256849221305,0.105846883667996,0.0700259687417299,0.0700259687417299,0.0700259687417299,0.0700259687417299,0.0700259687417299,0.0700259687417299,0.0747389079019698,0.035386424396233,0.0843020313871171,-0.073395102182954,-0.0500031716359559,0.0468077976512572,-0.0747389079019698,-0.0747389079019698
"ZEB1",-0.106219136533276,-0.0996537668920173,-0.0978526639477694,-0.0978526639477694,-0.0978526639477694,-0.0978526639477694,-0.0978526639477694,-0.0978526639477694,-0.096035565347829,-0.0604415468897418,-0.00448469166038358,-0.00340026464548715,0.0864256228994665,0.0899413761464579,0.096035565347829,0.096035565347829
"GRHL2",0.00764251597260175,0.0812925719977343,-0.00294072426636538,-0.00294072426636538,-0.00294072426636538,-0.00294072426636538,-0.00294072426636538,-0.00294072426636538,-0.000392953565728435,0.0613091032414584,0.0026844218086156,0.000999833220930883,-0.064911769537794,0.0117257230548763,0.000392953565728435,-0.0996070464342716
"MIR190",-0.113245589729292,-0.101667385207811,-0.0747389079019698,-0.0747389079019698,-0.0747389079019698,-0.0747389079019698,-0.0747389079019698,-0.0747389079019698,-0.0679719906087368,-0.023463855104548,0.0105296423919251,0.0700259687417299,0.0607274056192429,-0.0380358678266958,0.0679719906087368,0.0679719906087368
"SNAIL1",-0.114158695236614,-0.102944589183875,-0.073395102182954,-0.073395102182954,-0.073395102182954,-0.073395102182954,-0.073395102182954,-0.073395102182954,-0.0700259687417299,-0.0269226650891368,-0.0879587841906276,0.0710208851694159,-0.0423463367180292,-0.0405853753189744,0.0700259687417299,0.0700259687417299
"TGFB",-0.116256849221305,-0.105846883667996,-0.0700259687417299,-0.0700259687417299,-0.0700259687417299,-0.0700259687417299,-0.0700259687417299,-0.0700259687417299,-0.0747389079019698,-0.035386424396233,-0.0843020313871171,0.073395102182954,0.0500031716359559,-0.0468077976512572,0.0747389079019698,0.0747389079019698
"ESRP1",-0.105648121126627,-0.0989599420187655,-0.0983295330623575,-0.0983295330623575,-0.0983295330623575,-0.0983295330623575,-0.0983295330623575,-0.0983295330623575,0.00497835497835498,-0.0585383949383949,-0.00536792484054147,0.096035565347829,0.0880612122794108,0.0911275519765219,0.095021645021645,0.095021645021645
"MIR340",-0.107334106374256,-0.101243047041597,-0.096035565347829,-0.096035565347829,-0.096035565347829,-0.096035565347829,-0.096035565347829,-0.096035565347829,-0.0983295330623575,-0.0650224132032351,-0.00256599247339171,0.0978526639477694,0.0822901621374997,0.0865964666235188,0.0983295330623575,0.0983295330623575
"MIR1199",-0.107334106374256,-0.101243047041597,-0.096035565347829,-0.096035565347829,-0.096035565347829,-0.096035565347829,-0.096035565347829,-0.096035565347829,-0.0983295330623575,-0.0650224132032351,-0.00256599247339171,0.0978526639477694,0.0822901621374997,0.0865964666235188,0.0983295330623575,0.0983295330623575
"HA",-0.107334106374256,-0.101243047041597,-0.096035565347829,-0.096035565347829,-0.096035565347829,-0.096035565347829,-0.096035565347829,-0.096035565347829,-0.0983295330623575,-0.0650224132032351,-0.00256599247339171,0.0978526639477694,0.0822901621374997,0.0865964666235188,0.0983295330623575,0.0983295330623575
"CD44s",-0.107334106374256,-0.101243047041597,-0.096035565347829,-0.096035565347829,-0.096035565347829,-0.096035565347829,-0.096035565347829,-0.096035565347829,-0.0983295330623575,-0.0650224132032351,-0.00256599247339171,0.0978526639477694,0.0822901621374997,0.0865964666235188,0.0983295330623575,0.0983295330623575
"MIR200",-0.2160176921845,-0.135619642556824,-0.10393076251423,-0.10393076251423,-0.10393076251423,-0.10393076251423,-0.10393076251423,-0.10393076251423,-0.102563673906635,-0.0665128801919174,-0.00791097758131758,0.103069753904144,0.120721137926528,-0.0045095777834772,0.102563673906635,0.102563673906635
"MIR129",-0.0908041901887317,-0.173076063810213,-0.17888311653063,-0.17888311653063,-0.17888311653063,-0.17888311653063,-0.17888311653063,-0.17888311653063,-0.174859271523179,-0.0223784143904064,-0.00524202925157579,0.176101858700513,0.0313614142928974,0.0817713208457003,0.174859271523179,0.174859271523179
