"","HA","TGFB","MIR340","MIR190","MIR1199","HAS2","GRHL2","MIR34","SNAIL1","ZEB1","TWIST1","MIR129","MIR200","ESRP1","CD44s","CD24"
"MIR129",0.172522075055188,0.190250264776916,0.175502700986633,0.175502700986633,0.175502700986633,0.175502700986633,0.175502700986633,-0.0313047848983303,0.2426128853303,-0.179687115920234,-0.231952132921487,0.0154440908526578,-0.202323690941488,-0.175502700986633,-0.172522075055188,-0.172522075055188
"MIR34",0.0907375813576448,0.196747776253659,0.0927084468246543,0.0927084468246543,0.0927084468246543,0.0927084468246543,0.0927084468246543,-0.113069060312614,0.208968908644077,-0.0964012524742055,-0.103547056896293,-0.103547056896293,-0.201326132599509,-0.0927084468246543,-0.0907375813576448,-0.0907375813576448
"SNAIL1",0.0927084468246543,0.198389251956568,0.0964012524742055,0.0964012524742055,0.0964012524742055,0.0964012524742055,0.0964012524742055,-0.110340559637242,0.109648419396335,-0.0948251764992611,-0.102832879719572,-0.102832879719572,-0.203118118191585,-0.0964012524742055,-0.0927084468246543,-0.0927084468246543
"MIR200",0.0899389381090015,0.0969085147557355,0.0951541279824192,0.0951541279824192,0.0951541279824192,0.0951541279824192,0.0951541279824192,-0.028144861806724,0.172651199404415,-0.0864561838601209,-0.109710494544468,-0.109710494544468,-0.2065875249214,-0.0951541279824192,-0.0899389381090015,-0.0899389381090015
"HAS2",0.144465058750773,0.0467020020772556,0.0716915218550987,0.0716915218550987,0.0716915218550987,0.0716915218550987,0.0716915218550987,0.0705711248112433,0.0259048021121424,-0.0857102134438838,-0.0409178821178821,-0.0409178821178821,-0.0645030406500574,-0.0716915218550987,-0.044465058750773,-0.044465058750773
"HA",0.0716915218550987,0.0651561083574489,0.0857102134438838,0.0857102134438838,0.0857102134438838,0.0857102134438838,0.0857102134438838,0.0818461511547627,0.0323381039096826,-0.0695946340575269,-0.0395480191041835,-0.0395480191041835,-0.0706147371727128,-0.0857102134438838,-0.0716915218550987,-0.0716915218550987
"CD24",0.0716915218550987,0.0651561083574489,0.0857102134438838,0.0857102134438838,0.0857102134438838,0.0857102134438838,0.0857102134438838,0.0818461511547627,0.0323381039096826,-0.0695946340575269,-0.0395480191041835,-0.0395480191041835,-0.0706147371727128,-0.0857102134438838,-0.0716915218550987,-0.0716915218550987
"ZEB1",-0.0857102134438838,-0.0742943197395627,-0.0695946340575269,-0.0695946340575269,-0.0695946340575269,-0.0695946340575269,-0.0695946340575269,-0.0694718137392994,-0.0346826170975692,-0.0343067614808249,0.0442535348411732,0.0442535348411732,0.0632120685563721,0.0695946340575269,0.0857102134438838,0.0857102134438838
"MIR340",-0.0716915218550987,-0.0651561083574489,-0.0857102134438838,-0.0857102134438838,-0.0857102134438838,-0.0857102134438838,-0.0857102134438838,-0.0818461511547627,-0.0323381039096826,0.0695946340575269,0.0395480191041835,0.0395480191041835,0.0706147371727128,0.0857102134438838,0.0716915218550987,0.0716915218550987
"MIR1199",-0.0716915218550987,-0.0651561083574489,-0.0857102134438838,-0.0857102134438838,-0.0857102134438838,-0.0857102134438838,-0.0857102134438838,-0.0818461511547627,-0.0323381039096826,0.0695946340575269,0.0395480191041835,0.0395480191041835,0.0706147371727128,0.0857102134438838,0.0716915218550987,0.0716915218550987
"CD44s",-0.0716915218550987,-0.0651561083574489,-0.0857102134438838,-0.0857102134438838,-0.0857102134438838,-0.0857102134438838,-0.0857102134438838,-0.0818461511547627,-0.0323381039096826,0.0695946340575269,0.0395480191041835,0.0395480191041835,0.0706147371727128,0.0857102134438838,0.0716915218550987,0.0716915218550987
"ESRP1",-0.044465058750773,-0.0467020020772556,-0.0716915218550987,-0.0716915218550987,-0.0716915218550987,-0.0716915218550987,-0.0716915218550987,-0.0705711248112433,-0.0259048021121424,0.0857102134438838,0.0409178821178821,0.0409178821178821,0.0645030406500574,0.0716915218550987,0.144465058750773,0.044465058750773
"MIR190",-0.0985070049165421,-0.101726439127059,-0.0907375813576448,-0.0907375813576448,-0.0907375813576448,-0.0907375813576448,-0.0907375813576448,0.114037900323087,-0.210175965282888,0.0927084468246543,0.10376703049946,0.10376703049946,0.199885965016372,0.0907375813576448,0.0985070049165421,0.0985070049165421
"TGFB",-0.0907375813576448,-0.196747776253659,-0.0927084468246543,-0.0927084468246543,-0.0927084468246543,-0.0927084468246543,-0.0927084468246543,0.113069060312614,-0.208968908644077,0.0964012524742055,0.103547056896293,0.103547056896293,0.201326132599509,0.0927084468246543,0.0907375813576448,0.0907375813576448
"GRHL2",-0.111211840515505,-0.125149047541589,-0.128536681279837,-0.128536681279837,-0.128536681279837,-0.128536681279837,-0.128536681279837,-0.134915659440326,-0.0564328587031553,0.120243783176617,0.0582776005797055,0.0582776005797055,0.144755613866702,0.128536681279837,0.111211840515505,0.0112118405155054
"TWIST1",-0.175502700986633,-0.192194474413433,-0.179687115920234,-0.179687115920234,-0.179687115920234,-0.179687115920234,-0.179687115920234,0.0282558166199195,-0.243614669329202,0.17751244646999,0.131847530411026,-0.0155748781924433,0.204417931779184,0.179687115920234,0.175502700986633,0.175502700986633
