"","SNAIL1","MIR200","ZEB1","MIR340","MIR1199","CD24","HA","CD44s","MIR190","HAS2","GRHL2","ESRP1","MIR34","TGFB","TWIST1","MIR129"
"MIR129",-0.199844676459472,0.0378747524220813,-0.262625407339026,-0.26209922342522,-0.26209922342522,0.266123068432671,-0.266123068432671,-0.266123068432671,0.26209922342522,0.26209922342522,0.26209922342522,0.26209922342522,0.238331650975007,-0.116209615247006,0.358585762449853,0.354402537554524
"TWIST1",-0.199529045884475,0.0385830985877727,-0.261042247979248,-0.262625407339026,-0.262625407339026,0.26209922342522,-0.26209922342522,-0.26209922342522,0.262625407339026,0.262625407339026,0.262625407339026,0.262625407339026,0.238270055656252,-0.113758220487919,0.256912122282489,0.352702302137312
"TGFB",-0.260648325755414,-0.0782768634532,-0.193887823155897,-0.193725987051733,-0.193725987051733,0.195268403504175,-0.195268403504175,-0.195268403504175,0.193725987051733,0.193725987051733,0.193725987051733,0.193725987051733,0.28016941388243,0.0191095373316524,0.324389877631773,0.324389877631773
"ZEB1",-0.284960674590035,-0.142265757011926,-0.100969936921216,-0.00381194568152998,-0.00381194568152998,-0.000328656046203112,0.000328656046203112,0.000328656046203112,0.00381194568152998,0.00381194568152998,0.00381194568152998,0.00381194568152998,0.0405794481309397,0.0906577238347881,0.333455657235852,0.333455657235852
"MIR340",-0.286198056550308,-0.145427884593721,-0.00381194568152998,0.000328656046203112,0.000328656046203112,0.00366454701242051,-0.00366454701242051,-0.00366454701242051,-0.000328656046203112,-0.000328656046203112,-0.000328656046203112,-0.000328656046203112,0.0386602377489254,0.0879585368429182,0.33404774199746,0.33404774199746
"CD24",-0.286198056550308,-0.145427884593721,-0.00381194568152998,0.000328656046203112,0.000328656046203112,0.00366454701242051,-0.00366454701242051,-0.00366454701242051,-0.000328656046203112,-0.000328656046203112,-0.000328656046203112,-0.000328656046203112,0.0386602377489254,0.0879585368429182,0.33404774199746,0.33404774199746
"HAS2",-0.287806381999694,-0.143531151190138,0.000328656046203112,-0.00366454701242051,-0.00366454701242051,-0.0113481756338899,-0.0886518243661101,0.0113481756338899,0.00366454701242051,0.00366454701242051,0.00366454701242051,0.00366454701242051,0.0417160860102531,0.0990696479540293,0.332677878983761,0.332677878983761
"ESRP1",-0.287806381999694,-0.143531151190138,0.000328656046203112,-0.00366454701242051,-0.00366454701242051,-0.0113481756338899,0.0113481756338899,-0.0886518243661101,0.00366454701242051,0.00366454701242051,0.00366454701242051,0.00366454701242051,0.0417160860102531,0.0990696479540293,0.332677878983761,0.332677878983761
"MIR200",0.32671699688026,0.227331856110456,0.00354922561733274,0.00173935037572318,0.00173935037572318,-0.00341023645167255,0.00341023645167255,0.00341023645167255,-0.00173935037572318,-0.00173935037572318,-0.00173935037572318,-0.00173935037572318,-0.136893550581465,-0.278416093875715,-0.37984773516246,-0.37984773516246
"MIR1199",0.286198056550308,0.145427884593721,0.00381194568152998,-0.000328656046203112,-0.000328656046203112,-0.00366454701242051,0.00366454701242051,0.00366454701242051,0.000328656046203112,0.000328656046203112,0.000328656046203112,0.000328656046203112,-0.0386602377489254,-0.0879585368429182,-0.33404774199746,-0.33404774199746
"HA",0.286198056550308,0.145427884593721,0.00381194568152998,-0.000328656046203112,-0.000328656046203112,-0.00366454701242051,0.00366454701242051,0.00366454701242051,0.000328656046203112,0.000328656046203112,0.000328656046203112,0.000328656046203112,-0.0386602377489254,-0.0879585368429182,-0.33404774199746,-0.33404774199746
"CD44s",0.286198056550308,0.145427884593721,0.00381194568152998,-0.000328656046203112,-0.000328656046203112,-0.00366454701242051,0.00366454701242051,0.00366454701242051,0.000328656046203112,0.000328656046203112,0.000328656046203112,0.000328656046203112,-0.0386602377489254,-0.0879585368429182,-0.33404774199746,-0.33404774199746
"GRHL2",0.168470418837269,0.0307829826243906,0.0340980345072185,0.029995696615732,0.029995696615732,0.0632527110275801,0.0367472889724199,0.0367472889724199,-0.029995696615732,-0.029995696615732,-0.029995696615732,-0.029995696615732,-0.0552248632679997,-0.00134745553903199,-0.206183047891021,-0.206183047891021
"SNAIL1",0.160272596280636,0.0778536306751721,0.193089682117303,0.193887823155897,0.193887823155897,-0.193725987051733,0.193725987051733,0.193725987051733,-0.193887823155897,-0.193887823155897,-0.193887823155897,-0.193887823155897,-0.27994429006433,-0.0199058968310836,-0.323371795273469,-0.323371795273469
"MIR190",0.261483980351514,0.0779364602062767,0.193725987051733,0.195268403504175,0.195268403504175,-0.193514017539263,0.193514017539263,0.193514017539263,-0.195268403504175,-0.195268403504175,-0.195268403504175,-0.195268403504175,-0.281714320926158,-0.120958754970344,-0.325753713971413,-0.325753713971413
"MIR34",0.260648325755414,0.0782768634532,0.193887823155897,0.193725987051733,0.193725987051733,-0.195268403504175,0.195268403504175,0.195268403504175,-0.193725987051733,-0.193725987051733,-0.193725987051733,-0.193725987051733,-0.28016941388243,-0.0191095373316524,-0.324389877631773,-0.324389877631773
