"","MIR340","MIR190","HAS2","GRHL2","ESRP1","CD24","MIR34","TGFB","TWIST1","SNAIL1","ZEB1","MIR129","MIR200","HA","CD44s","MIR1199"
"GRHL2",0.211299964837564,0.211299964837564,0.211299964837564,0.211299964837564,0.211299964837564,0.312828627257947,0.19858369417828,0.213950123494557,0.084201332360529,0.0626459885596813,-0.211255853677441,-0.0613325655367397,-0.216106152959358,-0.212828627257947,-0.212828627257947,-0.211299964837564
"TWIST1",0.181935248649397,0.181935248649397,0.181935248649397,0.181935248649397,0.181935248649397,0.183714251405599,0.155055274379725,0.0755536369923494,-0.115597949281435,-0.115583948398284,-0.180787023179669,0.111537403851975,-0.0247981609716397,-0.183714251405599,-0.183714251405599,-0.181935248649397
"MIR340",0.110968583117708,0.110968583117708,0.110968583117708,0.110968583117708,0.110968583117708,0.11224300962578,0.109083503242688,0.107010044956954,0.0647308709555285,0.0365888062243243,-0.111355833639007,-0.0422798392045773,-0.10502728326355,-0.11224300962578,-0.11224300962578,-0.110968583117708
"MIR1199",0.110968583117708,0.110968583117708,0.110968583117708,0.110968583117708,0.110968583117708,0.11224300962578,0.109083503242688,0.107010044956954,0.0647308709555285,0.0365888062243243,-0.111355833639007,-0.0422798392045773,-0.10502728326355,-0.11224300962578,-0.11224300962578,-0.110968583117708
"CD44s",0.110968583117708,0.110968583117708,0.110968583117708,0.110968583117708,0.110968583117708,0.11224300962578,0.109083503242688,0.107010044956954,0.0647308709555285,0.0365888062243243,-0.111355833639007,-0.0422798392045773,-0.10502728326355,-0.11224300962578,-0.11224300962578,-0.110968583117708
"CD24",0.110968583117708,0.110968583117708,0.110968583117708,0.110968583117708,0.110968583117708,0.11224300962578,0.109083503242688,0.107010044956954,0.0647308709555285,0.0365888062243243,-0.111355833639007,-0.0422798392045773,-0.10502728326355,-0.11224300962578,-0.11224300962578,-0.110968583117708
"HAS2",0.11224300962578,0.11224300962578,0.11224300962578,0.11224300962578,0.11224300962578,0.114533085961657,0.109926495866502,0.10672018988449,0.0635436563436564,0.0399946718818456,-0.110968583117708,-0.0452935378347143,-0.105764901809388,-0.214533085961657,-0.114533085961657,-0.11224300962578
"MIR190",0.107422153398384,0.107422153398384,0.107422153398384,0.107422153398384,0.107422153398384,0.104164008034976,0.162608431183233,0.0604388447199389,-0.129901476199242,-0.108791227421452,-0.106051116551769,0.0384224755306445,0.0579730861458661,-0.104164008034976,-0.104164008034976,-0.107422153398384
"TGFB",0.106051116551769,0.106051116551769,0.106051116551769,0.106051116551769,0.106051116551769,0.107422153398384,0.158130819242934,-0.0367636209035793,-0.120794569028102,-0.104984356483662,-0.104064946182488,0.0319552515975164,0.055171305575036,-0.107422153398384,-0.107422153398384,-0.106051116551769
"MIR200",0.0815299615396726,0.0815299615396726,0.0815299615396726,0.0815299615396726,0.0815299615396726,0.0836059109067612,-0.012063032796368,0.0857448600362119,0.14482887517983,0.122862051788561,-0.0823206837326088,-0.0720130385494887,-0.187734710011455,-0.0836059109067612,-0.0836059109067612,-0.0815299615396726
"ZEB1",-0.111355833639007,-0.111355833639007,-0.111355833639007,-0.111355833639007,-0.111355833639007,-0.110968583117708,-0.110637149742414,-0.10606695552606,-0.0614588235887476,-0.0348955466997395,0.0121198144885536,0.0396310389552785,0.103948869810799,0.110968583117708,0.110968583117708,0.111355833639007
"SNAIL1",-0.104064946182488,-0.104064946182488,-0.104064946182488,-0.104064946182488,-0.104064946182488,-0.106051116551769,-0.155438338378459,0.0355447033024092,0.116068843454481,0.00716678513503281,0.103711339393238,-0.0326086477379206,-0.0549101619460401,0.106051116551769,0.106051116551769,0.104064946182488
"MIR34",-0.106051116551769,-0.106051116551769,-0.106051116551769,-0.106051116551769,-0.106051116551769,-0.107422153398384,-0.158130819242934,0.0367636209035793,0.120794569028102,0.104984356483662,0.104064946182488,-0.0319552515975164,-0.055171305575036,0.107422153398384,0.107422153398384,0.106051116551769
"ESRP1",-0.11224300962578,-0.11224300962578,-0.11224300962578,-0.11224300962578,-0.11224300962578,-0.114533085961657,-0.109926495866502,-0.10672018988449,-0.0635436563436564,-0.0399946718818456,0.110968583117708,0.0452935378347143,0.105764901809388,0.114533085961657,0.0145330859616574,0.11224300962578
"HA",-0.110968583117708,-0.110968583117708,-0.110968583117708,-0.110968583117708,-0.110968583117708,-0.11224300962578,-0.109083503242688,-0.107010044956954,-0.0647308709555285,-0.0365888062243243,0.111355833639007,0.0422798392045773,0.10502728326355,0.11224300962578,0.11224300962578,0.110968583117708
"MIR129",-0.183714251405599,-0.183714251405599,-0.183714251405599,-0.183714251405599,-0.183714251405599,-0.182969094922737,-0.158720195845694,-0.0734967195508166,0.0227109199927321,0.11611914806893,0.181935248649397,-0.114231623051556,0.0233198733215011,0.182969094922737,0.182969094922737,0.183714251405599
