"","MIR190","MIR1199","HAS2","GRHL2","ESRP1","HA","CD24","TWIST1","SNAIL1","TGFB","MIR129","ZEB1","MIR34","MIR200","CD44s","MIR340"
"MIR1199",0.265269017579987,0.265269017579987,0.265269017579987,0.265269017579987,0.265269017579987,0.260426196849316,0.260426196849316,0.13803043284945,0.105968550263423,0.00866396912609101,-0.13803043284945,-0.268098925235632,-0.228362255287049,-0.228362255287049,-0.260426196849316,-0.265269017579987
"HA",0.265269017579987,0.265269017579987,0.265269017579987,0.265269017579987,0.265269017579987,0.260426196849316,0.260426196849316,0.13803043284945,0.105968550263423,0.00866396912609101,-0.13803043284945,-0.268098925235632,-0.228362255287049,-0.228362255287049,-0.260426196849316,-0.265269017579987
"CD44s",0.265269017579987,0.265269017579987,0.265269017579987,0.265269017579987,0.265269017579987,0.260426196849316,0.260426196849316,0.13803043284945,0.105968550263423,0.00866396912609101,-0.13803043284945,-0.268098925235632,-0.228362255287049,-0.228362255287049,-0.260426196849316,-0.265269017579987
"CD24",0.265269017579987,0.265269017579987,0.265269017579987,0.265269017579987,0.265269017579987,0.260426196849316,0.260426196849316,0.13803043284945,0.105968550263423,0.00866396912609101,-0.13803043284945,-0.268098925235632,-0.228362255287049,-0.228362255287049,-0.260426196849316,-0.265269017579987
"HAS2",0.260426196849316,0.260426196849316,0.260426196849316,0.260426196849316,0.260426196849316,0.353555967841682,0.253555967841682,0.136112624630272,0.105306298607794,0.00837411405362724,-0.136112624630272,-0.265269017579987,-0.224779536635837,-0.224779536635837,-0.253555967841682,-0.260426196849316
"SNAIL1",0.187707546194331,0.187707546194331,0.187707546194331,0.187707546194331,0.187707546194331,0.18645699448034,0.18645699448034,0.137752206504516,-0.0605117808018924,0.0791880510939553,-0.137752206504516,-0.188495584181804,-0.167250117623496,-0.167250117623496,-0.18645699448034,-0.187707546194331
"TGFB",0.18645699448034,0.18645699448034,0.18645699448034,0.18645699448034,0.18645699448034,0.184486129013331,0.184486129013331,0.13731154399122,0.0392403976296369,0.0790092765124503,-0.13731154399122,-0.187707546194331,-0.166394647114716,-0.166394647114716,-0.184486129013331,-0.18645699448034
"TWIST1",0.0238361599014923,0.0238361599014923,0.0238361599014923,0.0238361599014923,0.0238361599014923,0.0234603142487737,0.0234603142487737,-0.00192345535997188,-0.0158069015732817,-0.00390735260021105,-0.0211026982744177,-0.023957941390706,-0.00887945720862366,-0.00887945720862366,-0.0234603142487737,-0.0238361599014923
"MIR129",-0.0234603142487737,-0.0234603142487737,-0.0234603142487737,-0.0234603142487737,-0.0234603142487737,-0.0231622516556291,-0.0231622516556291,-0.0979196408743378,0.0158206246417598,0.00382282174644943,0.0209719109346321,0.0238361599014923,0.00857148061484479,0.00857148061484479,0.0231622516556291,0.0234603142487737
"GRHL2",-0.0750901063775309,-0.0750901063775309,-0.0750901063775309,-0.0750901063775309,-0.0750901063775309,-0.0731792783520532,0.0268207216479468,-0.100172900099616,-0.0784923131363096,-0.00625470347267988,0.100172900099616,0.0759282184198776,0.068645367700136,0.068645367700136,0.0731792783520532,0.0750901063775309
"ZEB1",-0.268098925235632,-0.268098925235632,-0.268098925235632,-0.268098925235632,-0.268098925235632,-0.265269017579987,-0.265269017579987,-0.139121115305043,-0.106554678560395,-0.00902169270332678,0.139121115305043,0.170003784153835,0.230354578445521,0.230354578445521,0.265269017579987,0.268098925235632
"MIR190",-0.184486129013331,-0.184486129013331,-0.184486129013331,-0.184486129013331,-0.184486129013331,-0.181478610216338,-0.181478610216338,-0.136475644299183,-0.0390082713529424,-0.178867029001782,0.136475644299183,0.18645699448034,0.164902109801283,0.164902109801283,0.181478610216338,0.184486129013331
"MIR34",-0.18645699448034,-0.18645699448034,-0.18645699448034,-0.18645699448034,-0.18645699448034,-0.184486129013331,-0.184486129013331,-0.13731154399122,-0.0392403976296369,-0.0790092765124503,0.13731154399122,0.187707546194331,0.166394647114716,0.166394647114716,0.184486129013331,0.18645699448034
"ESRP1",-0.260426196849316,-0.260426196849316,-0.260426196849316,-0.260426196849316,-0.260426196849316,-0.253555967841682,-0.253555967841682,-0.136112624630272,-0.105306298607794,-0.00837411405362724,0.136112624630272,0.265269017579987,0.224779536635837,0.224779536635837,0.153555967841682,0.260426196849316
"MIR200",-0.262802124443201,-0.262802124443201,-0.262802124443201,-0.262802124443201,-0.262802124443201,-0.258700858620416,-0.258700858620416,-0.172081011895768,-0.123513980183397,-0.204707803838383,0.172081011895768,0.265279720647734,0.311364224090557,0.311364224090557,0.258700858620416,0.262802124443201
"MIR340",-0.265269017579987,-0.265269017579987,-0.265269017579987,-0.265269017579987,-0.265269017579987,-0.260426196849316,-0.260426196849316,-0.13803043284945,-0.105968550263423,-0.00866396912609101,0.13803043284945,0.268098925235632,0.228362255287049,0.228362255287049,0.260426196849316,0.265269017579987
