"","MIR34","ZEB1","MIR1199","HA","CD44s","TGFB","MIR200","CD24","MIR340","MIR190","HAS2","GRHL2","ESRP1","TWIST1","SNAIL1","MIR129"
"TWIST1",0.0737140335383053,-0.143128383068942,0.141284263375135,0.145218114540257,0.145218114540257,0.0833432272713834,-0.0557072944962812,-0.145218114540257,-0.141284263375135,-0.141284263375135,-0.141284263375135,-0.141284263375135,-0.141284263375135,-0.0835548676762902,-0.0197131078297916,0.14017080585822
"GRHL2",0.170685119576428,-0.120176728661656,0.120661951423015,0.123719276263779,0.123719276263779,0.117313715626744,-0.109224316206192,-0.0237192762637789,-0.120661951423015,-0.120661951423015,-0.120661951423015,-0.120661951423015,-0.120661951423015,-0.0966592347727075,-0.134000309459711,-0.146873495104891
"ZEB1",-0.0750103217799747,-0.0714916825293507,-0.0274183714586293,-0.0272098519471607,-0.0272098519471607,-0.0255388986320049,0.0236543682895296,0.0272098519471607,0.0274183714586293,0.0274183714586293,0.0274183714586293,0.0274183714586293,0.0274183714586293,0.0754404612076399,0.108597108568163,0.125981599308939
"SNAIL1",-0.0394899194339569,-0.0558412684061003,0.0585589891577673,0.0553958289400242,0.0553958289400242,0.120349114190376,-0.097041436362752,-0.0553958289400242,-0.0585589891577673,-0.0585589891577673,-0.0585589891577673,-0.0585589891577673,-0.0585589891577673,0.0183506637041584,-0.0559203904861806,0.0894579823618118
"MIR190",-0.0360433262428943,-0.0553958289400242,0.0613084253410525,0.0545415080478194,0.0545415080478194,0.0217055631487649,-0.0969497362812029,-0.0545415080478194,-0.0613084253410525,-0.0613084253410525,-0.0613084253410525,-0.0613084253410525,-0.0613084253410525,0.0145866649965242,0.0489644452640199,0.0891752288739049
"MIR200",-0.00815953541296862,-0.0494257183606728,0.0517275985223316,0.0504617757375215,0.0504617757375215,0.0568418003559275,-0.152078403002522,-0.0504617757375215,-0.0517275985223316,-0.0517275985223316,-0.0517275985223316,-0.0517275985223316,-0.0517275985223316,0.0213695098264438,0.0203083875603221,0.052342658215004
"MIR340",0.0751748255270045,-0.0274183714586293,0.0272098519471607,0.0296737431960987,0.0296737431960987,0.0281730449734683,-0.0232339698248979,-0.0296737431960987,-0.0272098519471607,-0.0272098519471607,-0.0272098519471607,-0.0272098519471607,-0.0272098519471607,-0.0770297413572192,-0.109020423449309,-0.126199735800058
"MIR1199",0.0751748255270045,-0.0274183714586293,0.0272098519471607,0.0296737431960987,0.0296737431960987,0.0281730449734683,-0.0232339698248979,-0.0296737431960987,-0.0272098519471607,-0.0272098519471607,-0.0272098519471607,-0.0272098519471607,-0.0272098519471607,-0.0770297413572192,-0.109020423449309,-0.126199735800058
"CD44s",0.0751748255270045,-0.0274183714586293,0.0272098519471607,0.0296737431960987,0.0296737431960987,0.0281730449734683,-0.0232339698248979,-0.0296737431960987,-0.0272098519471607,-0.0272098519471607,-0.0272098519471607,-0.0272098519471607,-0.0272098519471607,-0.0770297413572192,-0.109020423449309,-0.126199735800058
"CD24",0.0751748255270045,-0.0274183714586293,0.0272098519471607,0.0296737431960987,0.0296737431960987,0.0281730449734683,-0.0232339698248979,-0.0296737431960987,-0.0272098519471607,-0.0272098519471607,-0.0272098519471607,-0.0272098519471607,-0.0272098519471607,-0.0770297413572192,-0.109020423449309,-0.126199735800058
"HAS2",0.0754909477609349,-0.0272098519471607,0.0296737431960987,-0.0654916512059369,0.0345083487940631,0.0325208710604248,-0.0259736958522952,-0.0345083487940631,-0.0296737431960987,-0.0296737431960987,-0.0296737431960987,-0.0296737431960987,-0.0296737431960987,-0.076207823549,-0.109777282484314,-0.123003388768095
"ESRP1",-0.0754909477609349,0.0272098519471607,-0.0296737431960987,-0.0345083487940631,-0.134508348794063,-0.0325208710604248,0.0259736958522952,0.0345083487940631,0.0296737431960987,0.0296737431960987,0.0296737431960987,0.0296737431960987,0.0296737431960987,0.076207823549,0.109777282484314,0.123003388768095
"HA",-0.0751748255270045,0.0274183714586293,-0.0272098519471607,-0.0296737431960987,-0.0296737431960987,-0.0281730449734683,0.0232339698248979,0.0296737431960987,0.0272098519471607,0.0272098519471607,0.0272098519471607,0.0272098519471607,0.0272098519471607,0.0770297413572192,0.109020423449309,0.126199735800058
"TGFB",0.048900095030535,0.0585589891577673,-0.0553958289400242,-0.0613084253410525,-0.0613084253410525,-0.119097692119841,0.102579482288011,0.0613084253410525,0.0553958289400242,0.0553958289400242,0.0553958289400242,0.0553958289400242,0.0553958289400242,-0.0331964318245049,-0.0296979642983746,-0.0956424528070329
"MIR34",0.048900095030535,0.0585589891577673,-0.0553958289400242,-0.0613084253410525,-0.0613084253410525,-0.119097692119841,0.102579482288011,0.0613084253410525,0.0553958289400242,0.0553958289400242,0.0553958289400242,0.0553958289400242,0.0553958289400242,-0.0331964318245049,-0.0296979642983746,-0.0956424528070329
"MIR129",-0.0801815420076617,0.141284263375135,-0.145218114540257,-0.144472958057395,-0.144472958057395,-0.087034407885641,0.0540750185492532,0.144472958057395,0.145218114540257,0.145218114540257,0.145218114540257,0.145218114540257,0.145218114540257,-0.00734471391366795,0.0106147134288035,-0.138313625633266
