"","MIR340","MIR1199","HAS2","GRHL2","ESRP1","TGFB","TWIST1","MIR34","MIR200","MIR129","ZEB1","SNAIL1","HA","CD44s","CD24","MIR190"
"MIR340",0.264421129409562,0.264421129409562,0.264421129409562,0.264421129409562,0.264421129409562,0.199066046299488,0.178307778388681,0.161480707140173,0.161480707140173,0.103275049312761,-0.26683399804227,-0.174764719418457,-0.259408385144481,-0.259408385144481,-0.259408385144481,-0.264421129409562
"MIR1199",0.264421129409562,0.264421129409562,0.264421129409562,0.264421129409562,0.264421129409562,0.199066046299488,0.178307778388681,0.161480707140173,0.161480707140173,0.103275049312761,-0.26683399804227,-0.174764719418457,-0.259408385144481,-0.259408385144481,-0.259408385144481,-0.264421129409562
"HA",0.264421129409562,0.264421129409562,0.264421129409562,0.264421129409562,0.264421129409562,0.199066046299488,0.178307778388681,0.161480707140173,0.161480707140173,0.103275049312761,-0.26683399804227,-0.174764719418457,-0.259408385144481,-0.259408385144481,-0.259408385144481,-0.264421129409562
"ESRP1",0.259408385144481,0.259408385144481,0.259408385144481,0.259408385144481,0.259408385144481,0.195877640502387,0.17602467336585,0.159373225580637,0.159373225580637,0.102635779906368,-0.264421129409562,-0.173156393969072,-0.253555967841682,-0.353555967841682,-0.253555967841682,-0.259408385144481
"TWIST1",0.250649081583176,0.250649081583176,0.250649081583176,0.250649081583176,0.250649081583176,0.157806567932019,0.024257199572157,0.110372757878377,0.110372757878377,-0.0113456652588375,-0.251588538785681,-0.0460650092700576,-0.249371206363932,-0.249371206363932,-0.249371206363932,-0.250649081583176
"MIR129",0.249371206363932,0.249371206363932,0.249371206363932,0.249371206363932,0.249371206363932,0.156369543418072,0.123577283254165,0.110064781284598,0.110064781284598,-0.0118949720859366,-0.250649081583176,-0.0456944864211486,-0.247284768211921,-0.247284768211921,-0.247284768211921,-0.249371206363932
"MIR200",0.227845962020956,0.227845962020956,0.227845962020956,0.227845962020956,0.227845962020956,0.182992028475616,0.166180945331597,0.0595188533196873,0.0595188533196873,0.0830075237737011,-0.229409834802541,-0.159218376063037,-0.224048493666526,-0.224048493666526,-0.224048493666526,-0.227845962020956
"TGFB",0.108398971595024,0.108398971595024,0.108398971595024,0.108398971595024,0.108398971595024,-0.00483039379698221,0.0938825021296527,-0.0123793311978728,-0.0123793311978728,0.0267776730267665,-0.109208152115842,-0.0394545714986671,-0.10805621238337,-0.10805621238337,-0.10805621238337,-0.108398971595024
"MIR34",0.108398971595024,0.108398971595024,0.108398971595024,0.108398971595024,0.108398971595024,-0.00483039379698221,0.0938825021296527,-0.0123793311978728,-0.0123793311978728,0.0267776730267665,-0.109208152115842,-0.0394545714986671,-0.10805621238337,-0.10805621238337,-0.10805621238337,-0.108398971595024
"GRHL2",-0.0747315312418857,-0.0747315312418857,-0.0747315312418857,-0.0747315312418857,-0.0747315312418857,-0.0483914549340897,-0.123255559459226,-0.0314899841238784,-0.0314899841238784,-0.0816854233043081,0.0752167540032443,0.112900306926662,0.0724385376113125,0.0724385376113125,-0.0275614623886875,0.0747315312418857
"MIR190",-0.10805621238337,-0.10805621238337,-0.10805621238337,-0.10805621238337,-0.10805621238337,-0.0935100519118846,-0.0933985602026839,0.0120912976812455,0.0120912976812455,-0.0259417733347295,0.108398971595024,0.039500996754006,0.106051199852041,0.106051199852041,0.106051199852041,0.10805621238337
"SNAIL1",-0.109208152115842,-0.109208152115842,-0.109208152115842,-0.109208152115842,-0.109208152115842,0.00487915050102902,-0.0941408215339985,0.0118660488926049,0.0118660488926049,-0.0265801346587373,0.109319285678177,-0.0602496414679968,0.108398971595024,0.108398971595024,0.108398971595024,0.109208152115842
"ZEB1",-0.26683399804227,-0.26683399804227,-0.26683399804227,-0.26683399804227,-0.26683399804227,-0.20228555849461,-0.179585434979519,-0.162339782263551,-0.162339782263551,-0.103555510515628,0.168677738492509,0.17580672527974,0.264421129409562,0.264421129409562,0.264421129409562,0.26683399804227
"HAS2",-0.259408385144481,-0.259408385144481,-0.259408385144481,-0.259408385144481,-0.259408385144481,-0.195877640502387,-0.17602467336585,-0.159373225580637,-0.159373225580637,-0.102635779906368,0.264421129409562,0.173156393969072,0.153555967841682,0.253555967841682,0.253555967841682,0.259408385144481
"CD44s",-0.264421129409562,-0.264421129409562,-0.264421129409562,-0.264421129409562,-0.264421129409562,-0.199066046299488,-0.178307778388681,-0.161480707140173,-0.161480707140173,-0.103275049312761,0.26683399804227,0.174764719418457,0.259408385144481,0.259408385144481,0.259408385144481,0.264421129409562
"CD24",-0.264421129409562,-0.264421129409562,-0.264421129409562,-0.264421129409562,-0.264421129409562,-0.199066046299488,-0.178307778388681,-0.161480707140173,-0.161480707140173,-0.103275049312761,0.26683399804227,0.174764719418457,0.259408385144481,0.259408385144481,0.259408385144481,0.264421129409562
