"","MIR129","MIR34","CD24","MIR340","MIR190","HAS2","GRHL2","ESRP1","TWIST1","ZEB1","TGFB","MIR1199","HA","CD44s","MIR200","SNAIL1"
"MIR129",-0.14385626057487,0.0809853269184308,0.152359271523179,0.154445709675191,0.154445709675191,0.154445709675191,0.154445709675191,0.154445709675191,-0.0109029766591392,-0.152817045180077,0.00202857486071488,-0.154445709675191,-0.152359271523179,-0.152359271523179,-0.0634537312797296,0.000703777011230686
"MIR200",-0.0676190336955254,-0.00453375664625138,0.072371771111682,0.0761692394661124,0.0761692394661124,0.0761692394661124,0.0761692394661124,0.0761692394661124,-0.0273506250886378,-0.0732699247586796,-0.000833924563177131,-0.0761692394661124,-0.072371771111682,-0.072371771111682,-0.174904240260608,0.0427103724079163
"HAS2",0.0878448453507277,0.0749306082916989,0.0658627087198516,0.0645904440888083,0.0645904440888083,0.0645904440888083,0.0645904440888083,0.0645904440888083,0.0526775890775891,-0.0670543353377463,0.0031557579224922,-0.0645904440888083,-0.165862708719852,-0.0658627087198516,-0.0670178145011296,-0.0737871824633334
"MIR340",0.0897626535699058,0.0793563195667252,0.0645904440888083,0.0670543353377463,0.0670543353377463,0.0670543353377463,0.0670543353377463,0.0670543353377463,0.0584310137351233,-0.0658330067705732,0.000740298985294134,-0.0670543353377463,-0.0645904440888083,-0.0645904440888083,-0.0656479514874309,-0.0675430954245443
"MIR1199",0.0897626535699058,0.0793563195667252,0.0645904440888083,0.0670543353377463,0.0670543353377463,0.0670543353377463,0.0670543353377463,0.0670543353377463,0.0584310137351233,-0.0658330067705732,0.000740298985294134,-0.0670543353377463,-0.0645904440888083,-0.0645904440888083,-0.0656479514874309,-0.0675430954245443
"CD44s",0.0897626535699058,0.0793563195667252,0.0645904440888083,0.0670543353377463,0.0670543353377463,0.0670543353377463,0.0670543353377463,0.0670543353377463,0.0584310137351233,-0.0658330067705732,0.000740298985294134,-0.0670543353377463,-0.0645904440888083,-0.0645904440888083,-0.0656479514874309,-0.0675430954245443
"CD24",0.0897626535699058,0.0793563195667252,0.0645904440888083,0.0670543353377463,0.0670543353377463,0.0670543353377463,0.0670543353377463,0.0670543353377463,0.0584310137351233,-0.0658330067705732,0.000740298985294134,-0.0670543353377463,-0.0645904440888083,-0.0645904440888083,-0.0656479514874309,-0.0675430954245443
"TGFB",-0.098624912486238,-0.0494615519685342,0.0638271290482112,0.0585143612675771,0.0585143612675771,0.0585143612675771,0.0585143612675771,0.0585143612675771,-0.0364127470016761,-0.0626779628565134,-0.0784744089799445,-0.0585143612675771,-0.0638271290482112,-0.0638271290482112,-0.106653171010745,0.0312224788155403
"SNAIL1",-0.0914679454599502,-0.0378721778127485,0.0585143612675771,0.0626779628565134,0.0626779628565134,0.0626779628565134,0.0626779628565134,0.0626779628565134,-0.0181024598112795,-0.0595662231111103,-0.0856091400054605,-0.0626779628565134,-0.0585143612675771,-0.0585143612675771,-0.100160600096742,-0.0504307308734836
"MIR190",-0.0897819736388997,-0.0347194728902415,0.0580627180206423,0.0638271290482112,0.0638271290482112,0.0638271290482112,0.0638271290482112,0.0638271290482112,-0.0129635609040078,-0.0585143612675771,0.0122795028265989,-0.0638271290482112,-0.0580627180206423,-0.0580627180206423,-0.0984049384891423,0.0545279569956703
"ZEB1",-0.0876124510145926,-0.0761941919849303,-0.0670543353377463,-0.0658330067705732,-0.0658330067705732,-0.0658330067705732,-0.0658330067705732,-0.0658330067705732,-0.0536631732863854,-0.0335456221384621,-0.002528916871473,0.0658330067705732,0.0670543353377463,0.0670543353377463,0.0673112671518433,0.0724926232656384
"GRHL2",-0.0750148511773757,0.00862155444363676,0.117339911397503,0.0151743063019616,0.0151743063019616,0.0151743063019616,0.0151743063019616,0.0151743063019616,-0.0575136905321504,-0.0167181969062845,-0.0017179955573401,-0.0151743063019616,-0.017339911397503,-0.017339911397503,-0.0239133508711829,0.0571541411723137
"MIR34",0.098624912486238,0.0494615519685342,-0.0638271290482112,-0.0585143612675771,-0.0585143612675771,-0.0585143612675771,-0.0585143612675771,-0.0585143612675771,0.0364127470016761,0.0626779628565134,0.0784744089799445,0.0585143612675771,0.0638271290482112,0.0638271290482112,0.106653171010745,-0.0312224788155403
"HA",-0.0897626535699058,-0.0793563195667252,-0.0645904440888083,-0.0670543353377463,-0.0670543353377463,-0.0670543353377463,-0.0670543353377463,-0.0670543353377463,-0.0584310137351233,0.0658330067705732,-0.000740298985294134,0.0670543353377463,0.0645904440888083,0.0645904440888083,0.0656479514874309,0.0675430954245443
"ESRP1",-0.0878448453507277,-0.0749306082916989,-0.0658627087198516,-0.0645904440888083,-0.0645904440888083,-0.0645904440888083,-0.0645904440888083,-0.0645904440888083,-0.0526775890775891,0.0670543353377463,-0.0031557579224922,0.0645904440888083,0.0658627087198516,-0.0341372912801484,0.0670178145011296,0.0737871824633334
"TWIST1",0.147910668108221,-0.0749797833397428,-0.154445709675191,-0.152817045180077,-0.152817045180077,-0.152817045180077,-0.152817045180077,-0.152817045180077,-0.0785321697843754,0.154678562229485,-0.00611423279252665,0.152817045180077,0.154445709675191,0.154445709675191,0.067457426998855,0.00927289377235653
