"","MIR340","MIR190","MIR1199","HAS2","CD44s","CD24","MIR34","MIR200","MIR129","ZEB1","TWIST1","SNAIL1","TGFB","HA","GRHL2","ESRP1"
"MIR340",0.178642095478284,0.178642095478284,0.178642095478284,0.178642095478284,0.177707516039032,0.177707516039032,0.122432374873915,0.122432374873915,0.101127104107281,-0.178969768996306,-0.101127104107281,-0.135852954769678,-0.145016954021275,-0.177707516039032,-0.178642095478284,-0.178642095478284
"MIR1199",0.178642095478284,0.178642095478284,0.178642095478284,0.178642095478284,0.177707516039032,0.177707516039032,0.122432374873915,0.122432374873915,0.101127104107281,-0.178969768996306,-0.101127104107281,-0.135852954769678,-0.145016954021275,-0.177707516039032,-0.178642095478284,-0.178642095478284
"CD44s",0.178642095478284,0.178642095478284,0.178642095478284,0.178642095478284,0.177707516039032,0.177707516039032,0.122432374873915,0.122432374873915,0.101127104107281,-0.178969768996306,-0.101127104107281,-0.135852954769678,-0.145016954021275,-0.177707516039032,-0.178642095478284,-0.178642095478284
"HAS2",0.177707516039032,0.177707516039032,0.177707516039032,0.177707516039032,0.175417439703154,0.175417439703154,0.122221626717961,0.122221626717961,0.101035779906368,-0.178642095478284,-0.101035779906368,-0.135947562149054,-0.143567678658957,-0.275417439703154,-0.177707516039032,-0.177707516039032
"TGFB",0.0740591093658194,0.0740591093658194,0.0740591093658194,0.0740591093658194,0.0740591093658194,0.0740591093658194,0.0791284207731056,0.0791284207731056,-0.0224678127842501,-0.0743386444548292,0.0224678127842501,-0.0158390967702725,-0.11050679019849,-0.0740591093658194,-0.0740591093658194,-0.0740591093658194
"SNAIL1",0.0743386444548292,0.0743386444548292,0.0743386444548292,0.0743386444548292,0.0740591093658194,0.0740591093658194,0.0791374257258296,0.0791374257258296,-0.0220271502709542,-0.0742174078413719,0.0220271502709542,-0.115783137061263,-0.11071806924936,-0.0740591093658194,-0.0743386444548292,-0.0743386444548292
"TWIST1",0.0564016947004538,0.0564016947004538,0.0564016947004538,0.0564016947004538,0.0561260745551268,0.0561260745551268,0.0191891750149205,0.0191891750149205,0.212261483975205,-0.0565060788340655,0.0801907530621721,-0.0379485002388001,-0.0331730320598811,-0.0561260745551268,-0.0564016947004538,-0.0564016947004538
"MIR129",0.0561260745551268,0.0561260745551268,0.0561260745551268,0.0561260745551268,0.054635761589404,0.054635761589404,0.0192815679930542,0.0192815679930542,0.212235326507247,-0.0564016947004538,0.180190753062172,-0.0381543462659718,-0.0321868387659955,-0.054635761589404,-0.0561260745551268,-0.0561260745551268
"GRHL2",-0.0392534009751804,-0.0392534009751804,-0.0392534009751804,-0.0392534009751804,-0.0391260124401486,-0.139126012440149,-0.0146442339297738,-0.0146442339297738,-0.0804801790006897,0.0392534009751804,0.0804801790006897,0.0927712552922072,0.0257542982467592,0.0391260124401486,0.0392534009751804,0.0392534009751804
"MIR190",-0.0740591093658194,-0.0740591093658194,-0.0740591093658194,-0.0740591093658194,-0.0745603624986514,-0.0745603624986514,-0.0787880175261823,-0.0787880175261823,0.0219838708572813,0.0740591093658194,-0.0219838708572813,0.0154212694722223,0.0111231960780539,0.0745603624986514,0.0740591093658194,0.0740591093658194
"MIR34",-0.0740591093658194,-0.0740591093658194,-0.0740591093658194,-0.0740591093658194,-0.0740591093658194,-0.0740591093658194,-0.0791284207731056,-0.0791284207731056,0.0224678127842501,0.0743386444548292,-0.0224678127842501,0.0158390967702725,0.11050679019849,0.0740591093658194,0.0740591093658194,0.0740591093658194
"ZEB1",-0.178969768996306,-0.178969768996306,-0.178969768996306,-0.178969768996306,-0.178642095478284,-0.178642095478284,-0.122669991397402,-0.122669991397402,-0.101033617039659,0.0793670390380705,0.101033617039659,0.136178581601329,0.145504758899324,0.178642095478284,0.178969768996306,0.178969768996306
"MIR200",-0.167063461142766,-0.167063461142766,-0.167063461142766,-0.167063461142766,-0.166709030763019,-0.166709030763019,-0.206146685408305,-0.206146685408305,0.0113661383965713,0.167256748789928,-0.0113661383965713,0.0265271659795745,0.130577799740449,0.166709030763019,0.167063461142766,0.167063461142766
"ESRP1",-0.177707516039032,-0.177707516039032,-0.177707516039032,-0.177707516039032,-0.275417439703154,-0.175417439703154,-0.122221626717961,-0.122221626717961,-0.101035779906368,0.178642095478284,0.101035779906368,0.135947562149054,0.143567678658957,0.175417439703154,0.177707516039032,0.177707516039032
"HA",-0.178642095478284,-0.178642095478284,-0.178642095478284,-0.178642095478284,-0.177707516039032,-0.177707516039032,-0.122432374873915,-0.122432374873915,-0.101127104107281,0.178969768996306,0.101127104107281,0.135852954769678,0.145016954021275,0.177707516039032,0.178642095478284,0.178642095478284
"CD24",-0.178642095478284,-0.178642095478284,-0.178642095478284,-0.178642095478284,-0.177707516039032,-0.177707516039032,-0.122432374873915,-0.122432374873915,-0.101127104107281,0.178969768996306,0.101127104107281,0.135852954769678,0.145016954021275,0.177707516039032,0.178642095478284,0.178642095478284
