"","SNAIL1","TWIST1","MIR340","MIR190","MIR1199","HAS2","ESRP1","CD24","ZEB1","MIR200","MIR34","TGFB","HA","CD44s","GRHL2","MIR129"
"TWIST1",0.307865017798988,0.163120246720629,0.200431205755598,0.200431205755598,0.200431205755598,0.200431205755598,0.200431205755598,0.200005247349184,-0.200935729068055,-0.0427883981079531,0.0427883981079531,-0.0398475214233124,-0.200005247349184,-0.200005247349184,-0.200431205755598,-0.0148330894987278
"MIR129",0.308262986784854,0.262754137934018,0.200005247349184,0.200005247349184,0.200005247349184,0.200005247349184,0.200005247349184,0.201644591611479,-0.200431205755598,-0.0429115887454647,0.0429115887454647,-0.041059130327229,-0.201644591611479,-0.201644591611479,-0.200005247349184,-0.0144930424152854
"SNAIL1",0.137319073721277,0.11621988877807,0.108601679370695,0.108601679370695,0.108601679370695,0.108601679370695,0.108601679370695,0.108175020550627,-0.109147244131252,-0.115638171244429,0.115638171244429,0.0746632759334662,-0.108175020550627,-0.108175020550627,-0.108601679370695,-0.11621988877807
"MIR190",0.23699072331834,0.115426392750062,0.109546057397242,0.109546057397242,0.109546057397242,0.109546057397242,0.109546057397242,0.111300443362154,-0.108175020550627,-0.114698006078175,0.114698006078175,-0.0272018702823177,-0.111300443362154,-0.111300443362154,-0.109546057397242,-0.115426392750062
"MIR200",0.264449541859725,0.157258690961671,0.103545057088421,0.103545057088421,0.103545057088421,0.103545057088421,0.103545057088421,0.101367841898548,-0.103878917569883,-0.0590763885887678,0.0590763885887678,-0.0627279039658811,-0.101367841898548,-0.101367841898548,-0.103545057088421,-0.157258690961671
"HA",0.193899061674569,0.136153169527223,0.0751280062830323,0.0751280062830323,0.0751280062830323,0.0751280062830323,0.0751280062830323,0.0702851855523611,-0.0766472198665891,0.017595693072863,-0.017595693072863,-0.0362412774142203,-0.0702851855523611,-0.0702851855523611,-0.0751280062830323,-0.136153169527223
"CD44s",0.193899061674569,0.136153169527223,0.0751280062830323,0.0751280062830323,0.0751280062830323,0.0751280062830323,0.0751280062830323,0.0702851855523611,-0.0766472198665891,0.017595693072863,-0.017595693072863,-0.0362412774142203,-0.0702851855523611,-0.0702851855523611,-0.0751280062830323,-0.136153169527223
"CD24",0.193899061674569,0.136153169527223,0.0751280062830323,0.0751280062830323,0.0751280062830323,0.0751280062830323,0.0751280062830323,0.0702851855523611,-0.0766472198665891,0.017595693072863,-0.017595693072863,-0.0362412774142203,-0.0702851855523611,-0.0702851855523611,-0.0751280062830323,-0.136153169527223
"ZEB1",-0.193215245328102,-0.134875512936384,-0.0766472198665891,-0.0766472198665891,-0.0766472198665891,-0.0766472198665891,-0.0766472198665891,-0.0751280062830323,-0.0249927923571045,-0.0194052342901907,0.0194052342901907,0.0397859928613748,0.0751280062830323,0.0751280062830323,0.0766472198665891,0.134875512936384
"GRHL2",0.121454620239074,0.10080341964699,-0.0107941123014655,-0.0107941123014655,-0.0107941123014655,-0.0107941123014655,-0.0107941123014655,-0.11525271102758,0.010926445781836,-0.0408021920227044,0.0408021920227044,0.0318466555138881,0.0152527110275801,0.0152527110275801,0.0107941123014655,-0.10080341964699
"HAS2",-0.196169638779583,-0.136792438933615,-0.0702851855523611,-0.0702851855523611,-0.0702851855523611,-0.0702851855523611,-0.0702851855523611,-0.0735930735930736,0.0751280062830323,-0.0148559670454657,0.0148559670454657,0.0400093933562493,-0.0264069264069264,0.0735930735930736,0.0702851855523611,0.136792438933615
"ESRP1",-0.196169638779583,-0.136792438933615,-0.0702851855523611,-0.0702851855523611,-0.0702851855523611,-0.0702851855523611,-0.0702851855523611,-0.0735930735930736,0.0751280062830323,-0.0148559670454657,0.0148559670454657,0.0400093933562493,0.0735930735930736,-0.0264069264069264,0.0702851855523611,0.136792438933615
"MIR340",-0.193899061674569,-0.136153169527223,-0.0751280062830323,-0.0751280062830323,-0.0751280062830323,-0.0751280062830323,-0.0751280062830323,-0.0702851855523611,0.0766472198665891,-0.017595693072863,0.017595693072863,0.0362412774142203,0.0702851855523611,0.0702851855523611,0.0751280062830323,0.136153169527223
"MIR1199",-0.193899061674569,-0.136153169527223,-0.0751280062830323,-0.0751280062830323,-0.0751280062830323,-0.0751280062830323,-0.0751280062830323,-0.0702851855523611,0.0766472198665891,-0.017595693072863,0.017595693072863,0.0362412774142203,0.0702851855523611,0.0702851855523611,0.0751280062830323,0.136153169527223
"TGFB",-0.237454975871729,-0.116174303000832,-0.108175020550627,-0.108175020550627,-0.108175020550627,-0.108175020550627,-0.108175020550627,-0.109546057397242,0.108601679370695,0.115719215818945,-0.115719215818945,-0.0735093672710252,0.109546057397242,0.109546057397242,0.108175020550627,0.116174303000832
"MIR34",-0.237454975871729,-0.116174303000832,-0.108175020550627,-0.108175020550627,-0.108175020550627,-0.108175020550627,-0.108175020550627,-0.109546057397242,0.108601679370695,0.115719215818945,-0.115719215818945,-0.0735093672710252,0.109546057397242,0.109546057397242,0.108175020550627,0.116174303000832
