"","SNAIL1","MIR200","MIR340","MIR190","MIR1199","HA","CD44s","CD24","TWIST1","MIR34","ZEB1","HAS2","GRHL2","ESRP1","TGFB","MIR129"
"GRHL2",0.300351666709845,0.386301213396498,0.340534653430542,0.340534653430542,0.340534653430542,0.335184334959204,0.335184334959204,0.235184334959204,0.171724444368209,0.21193954244779,-0.343225434198076,-0.340534653430542,-0.340534653430542,-0.340534653430542,-0.361893808557718,-0.288141097563608
"MIR200",0.300884652515536,0.354867847485182,0.23136908049985,0.23136908049985,0.23136908049985,0.226558953917572,0.226558953917572,0.226558953917572,0.138536962990369,0.0181258252992743,-0.23303838290716,-0.23136908049985,-0.23136908049985,-0.23136908049985,-0.441283125007648,-0.276915750912348
"MIR340",0.276263919998697,0.269185091022745,0.211504675676752,0.211504675676752,0.211504675676752,0.205472390205215,0.205472390205215,0.205472390205215,0.150002056927762,0.092753301037048,-0.213023889260309,-0.211504675676752,-0.211504675676752,-0.211504675676752,-0.241516887244024,-0.265789350482985
"MIR1199",0.276263919998697,0.269185091022745,0.211504675676752,0.211504675676752,0.211504675676752,0.205472390205215,0.205472390205215,0.205472390205215,0.150002056927762,0.092753301037048,-0.213023889260309,-0.211504675676752,-0.211504675676752,-0.211504675676752,-0.241516887244024,-0.265789350482985
"CD44s",0.276263919998697,0.269185091022745,0.211504675676752,0.211504675676752,0.211504675676752,0.205472390205215,0.205472390205215,0.205472390205215,0.150002056927762,0.092753301037048,-0.213023889260309,-0.211504675676752,-0.211504675676752,-0.211504675676752,-0.241516887244024,-0.265789350482985
"HAS2",0.273709520755556,0.263494890811997,0.205472390205215,0.205472390205215,0.205472390205215,0.102164502164502,0.202164502164502,0.202164502164502,0.150093381128675,0.0909619417114421,-0.211504675676752,-0.205472390205215,-0.205472390205215,-0.205472390205215,-0.236202877582188,-0.26058387103093
"SNAIL1",0.127919810537259,0.254586537969813,0.184464814556909,0.184464814556909,0.184464814556909,0.182802316395956,0.182802316395956,0.182802316395956,0.0773633006999844,-0.0618444512500118,-0.185222543391017,-0.184464814556909,-0.184464814556909,-0.184464814556909,-0.262500198052994,-0.209157411754403
"MIR34",0.227640011992212,0.25268649294505,0.182802316395956,0.182802316395956,0.182802316395956,0.18091714073186,0.18091714073186,0.18091714073186,0.0772265433682719,-0.0619795255408717,-0.184464814556909,-0.182802316395956,-0.182802316395956,-0.182802316395956,-0.25981857933042,-0.206315898306598
"MIR190",0.225365174480605,0.249518124262148,0.18091714073186,0.18091714073186,0.18091714073186,0.177909621934867,0.177909621934867,0.177909621934867,0.0733110132318882,-0.0611154249909896,-0.182802316395956,-0.18091714073186,-0.18091714073186,-0.18091714073186,-0.357021044953938,-0.202400368170215
"ZEB1",-0.278608433186583,-0.271104301404759,-0.213023889260309,-0.213023889260309,-0.213023889260309,-0.211504675676752,-0.211504675676752,-0.211504675676752,-0.14990856986014,-0.0926984664547048,0.11527508616364,0.213023889260309,0.213023889260309,0.213023889260309,0.247338025455406,0.267440955344312
"TGFB",-0.227640011992212,-0.25268649294505,-0.182802316395956,-0.182802316395956,-0.182802316395956,-0.18091714073186,-0.18091714073186,-0.18091714073186,-0.0772265433682719,0.0619795255408717,0.184464814556909,0.182802316395956,0.182802316395956,0.182802316395956,0.25981857933042,0.206315898306598
"ESRP1",-0.273709520755556,-0.263494890811997,-0.205472390205215,-0.205472390205215,-0.205472390205215,-0.202164502164502,-0.302164502164502,-0.202164502164502,-0.150093381128675,-0.0909619417114421,0.211504675676752,0.205472390205215,0.205472390205215,0.205472390205215,0.236202877582188,0.26058387103093
"HA",-0.276263919998697,-0.269185091022745,-0.211504675676752,-0.211504675676752,-0.211504675676752,-0.205472390205215,-0.205472390205215,-0.205472390205215,-0.150002056927762,-0.092753301037048,0.213023889260309,0.211504675676752,0.211504675676752,0.211504675676752,0.241516887244024,0.265789350482985
"CD24",-0.276263919998697,-0.269185091022745,-0.211504675676752,-0.211504675676752,-0.211504675676752,-0.205472390205215,-0.205472390205215,-0.205472390205215,-0.150002056927762,-0.092753301037048,0.213023889260309,0.211504675676752,0.211504675676752,0.211504675676752,0.241516887244024,0.265789350482985
"MIR129",-0.247696502527576,-0.253492942846476,-0.25922217506736,-0.25922217506736,-0.25922217506736,-0.257284768211921,-0.257284768211921,-0.257284768211921,0.01515525003533,-0.0185455250532278,0.26150230536052,0.25922217506736,0.25922217506736,0.25922217506736,0.253486342173693,0.117247522115904
"TWIST1",-0.249384439950384,-0.256695899421776,-0.26150230536052,-0.26150230536052,-0.26150230536052,-0.25922217506736,-0.25922217506736,-0.25922217506736,-0.0878782227680173,-0.0181451554813153,0.262702722897054,0.26150230536052,0.26150230536052,0.26150230536052,0.255768675225257,0.12124961471334
