"","ZEB1","MIR200","TWIST1","MIR129","MIR340","MIR1199","HAS2","GRHL2","CD44s","CD24","TGFB","HA","MIR190","ESRP1","SNAIL1","MIR34"
"TWIST1",-0.159490582395984,0.076611253772318,0.0955586313345367,-0.192992206245054,0.158777290816305,0.158777290816305,0.158777290816305,0.158777290816305,0.156597386030537,0.156597386030537,-0.000717980498899659,-0.156597386030537,-0.158777290816305,-0.158777290816305,0.00133078522489476,-0.076611253772318
"ZEB1",-0.0661988025583018,-0.0540916911720951,-0.0521611167218377,-0.0521611167218377,-0.0353189727294643,-0.0353189727294643,-0.0353189727294643,-0.0353189727294643,-0.0332039891131403,-0.0332039891131403,0.000530198385672371,0.0332039891131403,0.0353189727294643,0.0353189727294643,0.0499723225064087,0.0540916911720951
"MIR1199",-0.0353189727294643,0.0531229468840308,0.0510704342662441,0.0510704342662441,0.0332039891131403,0.0332039891131403,0.0332039891131403,0.0332039891131403,0.0287010154512881,0.0287010154512881,0.000412891045221937,-0.0287010154512881,-0.0332039891131403,-0.0332039891131403,-0.0485395644471446,-0.0531229468840308
"HA",-0.0353189727294643,0.0531229468840308,0.0510704342662441,0.0510704342662441,0.0332039891131403,0.0332039891131403,0.0332039891131403,0.0332039891131403,0.0287010154512881,0.0287010154512881,0.000412891045221937,-0.0287010154512881,-0.0332039891131403,-0.0332039891131403,-0.0485395644471446,-0.0531229468840308
"CD24",-0.0353189727294643,0.0531229468840308,0.0510704342662441,0.0510704342662441,0.0332039891131403,0.0332039891131403,0.0332039891131403,0.0332039891131403,0.0287010154512881,0.0287010154512881,0.000412891045221937,-0.0287010154512881,-0.0332039891131403,-0.0332039891131403,-0.0485395644471446,-0.0531229468840308
"ESRP1",-0.0332039891131403,0.0488026096869812,0.0526229456817692,0.0526229456817692,0.0287010154512881,0.0287010154512881,0.0287010154512881,0.0287010154512881,-0.0659554730983302,0.0340445269016698,0.0010892195476374,-0.0340445269016698,-0.0287010154512881,-0.0287010154512881,-0.0476880980327643,-0.0488026096869812
"GRHL2",-0.0238874609071441,0.0252457110645571,-0.0518248832030359,-0.0518248832030359,0.0242844613482557,0.0242844613482557,0.0242844613482557,0.0242844613482557,0.028997837144434,0.128997837144434,-0.00153816365379152,-0.028997837144434,-0.0242844613482557,-0.0242844613482557,0.0490504798536546,-0.0252457110645571
"TGFB",-0.0190661244323136,0.0562036362303881,-0.0266423221805103,-0.0266423221805103,0.0185511913736112,0.0185511913736112,0.0185511913736112,0.0185511913736112,0.0158091176803807,0.0158091176803807,-0.0629647823230756,-0.0158091176803807,-0.0185511913736112,-0.0185511913736112,-0.00689471389963293,-0.0562036362303881
"MIR34",-0.0190661244323136,0.0562036362303881,-0.0266423221805103,-0.0266423221805103,0.0185511913736112,0.0185511913736112,0.0185511913736112,0.0185511913736112,0.0158091176803807,0.0158091176803807,-0.0629647823230756,-0.0158091176803807,-0.0185511913736112,-0.0185511913736112,-0.00689471389963293,-0.0562036362303881
"SNAIL1",-0.0181467467802626,0.0562126411831121,-0.0260193165582644,-0.0260193165582644,0.0190661244323136,0.0190661244323136,0.0190661244323136,0.0190661244323136,0.0185511913736112,0.0185511913736112,-0.0633385837207678,-0.0185511913736112,-0.0190661244323136,-0.0190661244323136,-0.107478293722161,-0.0562126411831121
"MIR190",0.0185511913736112,-0.0539255529625169,0.0263343591360756,0.0263343591360756,-0.0158091176803807,-0.0158091176803807,-0.0158091176803807,-0.0158091176803807,-0.0170622505124609,-0.0170622505124609,-0.0376516235564881,0.0170622505124609,0.0158091176803807,0.0158091176803807,0.00610548455887156,0.0539255529625169
"HAS2",0.0332039891131403,-0.0488026096869812,-0.0526229456817692,-0.0526229456817692,-0.0287010154512881,-0.0287010154512881,-0.0287010154512881,-0.0287010154512881,-0.0340445269016698,-0.0340445269016698,-0.0010892195476374,-0.0659554730983302,0.0287010154512881,0.0287010154512881,0.0476880980327643,0.0488026096869812
"MIR340",0.0353189727294643,-0.0531229468840308,-0.0510704342662441,-0.0510704342662441,-0.0332039891131403,-0.0332039891131403,-0.0332039891131403,-0.0332039891131403,-0.0287010154512881,-0.0287010154512881,-0.000412891045221937,0.0287010154512881,0.0332039891131403,0.0332039891131403,0.0485395644471446,0.0531229468840308
"CD44s",0.0353189727294643,-0.0531229468840308,-0.0510704342662441,-0.0510704342662441,-0.0332039891131403,-0.0332039891131403,-0.0332039891131403,-0.0332039891131403,-0.0287010154512881,-0.0287010154512881,-0.000412891045221937,0.0287010154512881,0.0332039891131403,0.0332039891131403,0.0485395644471446,0.0531229468840308
"MIR200",0.0396155118171309,-0.144107302196422,0.035764304039775,0.035764304039775,-0.0372433452383223,-0.0372433452383223,-0.0372433452383223,-0.0372433452383223,-0.0350661300484489,-0.0350661300484489,-0.0129785930312323,0.0350661300484489,0.0372433452383223,0.0372433452383223,-0.0217937642333568,0.144107302196422
"MIR129",0.158777290816305,-0.0746710012315111,-0.196029342631608,0.192495214353869,-0.156597386030537,-0.156597386030537,-0.156597386030537,-0.156597386030537,-0.158385761589404,-0.158385761589404,0.000295326230091544,0.158385761589404,0.156597386030537,0.156597386030537,-0.00183853875858489,0.0746710012315111
