"","MIR34","MIR200","HA","CD24","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","TWIST1","ZEB1","TGFB","SNAIL1","CD44s","MIR129"
"TGFB",-0.0319709174751906,-0.0319709174751906,0.10093989423878,0.10093989423878,0.0963126448814531,0.0963126448814531,0.0963126448814531,0.0963126448814531,0.0963126448814531,0.0963126448814531,-0.0352984349549659,-0.0995346545916194,0.0843020313871171,0.0498684915012758,-0.10093989423878,0.105758894226729
"HAS2",0.108379423507699,0.108379423507699,0.199072356215213,0.0990723562152134,0.0962733740269182,0.0962733740269182,0.0962733740269182,0.0962733740269182,0.0962733740269182,0.0962733740269182,0.061704577775166,-0.0980575711382181,-0.00654682257116334,-0.0932934089411354,-0.0990723562152134,-0.104256606138959
"ESRP1",0.108379423507699,0.108379423507699,0.0990723562152134,0.0990723562152134,0.0962733740269182,0.0962733740269182,0.0962733740269182,0.0962733740269182,0.0962733740269182,0.0962733740269182,0.061704577775166,-0.0980575711382181,-0.00654682257116334,-0.0932934089411354,-0.199072356215213,-0.104256606138959
"SNAIL1",-0.0258385446701478,-0.0258385446701478,0.0963126448814531,0.0963126448814531,0.0995346545916194,0.0995346545916194,0.0995346545916194,0.0995346545916194,0.0995346545916194,0.0995346545916194,-0.0268650661660281,-0.0972311589359314,0.087926279721263,-0.0425129938292862,-0.0963126448814531,0.10282620922445
"MIR340",0.11196214215891,0.11196214215891,0.0962733740269182,0.0962733740269182,0.0980575711382181,0.0980575711382181,0.0980575711382181,0.0980575711382181,0.0980575711382181,0.0980575711382181,0.0669100572272208,-0.0966575115612148,-0.00432460034894112,-0.0886576473517315,-0.0962733740269182,-0.105991765956311
"HA",0.11196214215891,0.11196214215891,0.0962733740269182,0.0962733740269182,0.0980575711382181,0.0980575711382181,0.0980575711382181,0.0980575711382181,0.0980575711382181,0.0980575711382181,0.0669100572272208,-0.0966575115612148,-0.00432460034894112,-0.0886576473517315,-0.0962733740269182,-0.105991765956311
"MIR190",-0.023303727111221,-0.023303727111221,0.0944236035119626,0.0944236035119626,0.10093989423878,0.10093989423878,0.10093989423878,0.10093989423878,0.10093989423878,0.10093989423878,-0.023463855104548,-0.0963126448814531,0.189470357608075,0.0605927254845627,-0.0944236035119626,0.101667385207811
"ZEB1",-0.109311804012319,-0.109311804012319,-0.0980575711382181,-0.0980575711382181,-0.0966575115612148,-0.0966575115612148,-0.0966575115612148,-0.0966575115612148,-0.0966575115612148,-0.0966575115612148,-0.0632640615899506,-0.0023544065400381,0.00585305563349396,0.0919139156682407,0.0980575711382181,0.104714109365472
"GRHL2",0.0107581157834218,0.0107581157834218,-0.0019432287704539,0.0980567712295461,9.49877900556523e-05,9.49877900556523e-05,9.49877900556523e-05,9.49877900556523e-05,9.49877900556523e-05,9.49877900556523e-05,0.0619951901345776,0.00140479165414373,-0.00363175363786184,-0.0684273085820676,0.0019432287704539,-0.0835875442916776
"MIR129",-0.00392825956911151,-0.00392825956911151,-0.0136092715231788,-0.0136092715231788,-0.0173350539374858,-0.0173350539374858,-0.0173350539374858,-0.0173350539374858,-0.0173350539374858,-0.0173350539374858,0.0230700744957907,0.0147041343684555,-0.0055767474224117,-0.0326127642476054,0.0136092715231788,-0.174333925445433
"TWIST1",0.00106096125010623,0.00106096125010623,-0.0173350539374858,-0.0173350539374858,-0.0147041343684555,-0.0147041343684555,-0.0147041343684555,-0.0147041343684555,-0.0147041343684555,-0.0147041343684555,-0.0700261598138327,0.0165830487734659,-0.00256181363824715,-0.0263962142270208,0.0173350539374858,-0.17671425502953
"MIR1199",-0.11196214215891,-0.11196214215891,-0.0962733740269182,-0.0962733740269182,-0.0980575711382181,-0.0980575711382181,-0.0980575711382181,-0.0980575711382181,-0.0980575711382181,-0.0980575711382181,-0.0669100572272208,0.0966575115612148,0.00432460034894112,0.0886576473517315,0.0962733740269182,0.105991765956311
"CD44s",-0.11196214215891,-0.11196214215891,-0.0962733740269182,-0.0962733740269182,-0.0980575711382181,-0.0980575711382181,-0.0980575711382181,-0.0980575711382181,-0.0980575711382181,-0.0980575711382181,-0.0669100572272208,0.0966575115612148,0.00432460034894112,0.0886576473517315,0.0962733740269182,0.105991765956311
"CD24",-0.11196214215891,-0.11196214215891,-0.0962733740269182,-0.0962733740269182,-0.0980575711382181,-0.0980575711382181,-0.0980575711382181,-0.0980575711382181,-0.0980575711382181,-0.0980575711382181,-0.0669100572272208,0.0966575115612148,0.00432460034894112,0.0886576473517315,0.0962733740269182,0.105991765956311
"MIR34",0.0319709174751906,0.0319709174751906,-0.10093989423878,-0.10093989423878,-0.0963126448814531,-0.0963126448814531,-0.0963126448814531,-0.0963126448814531,-0.0963126448814531,-0.0963126448814531,0.0352984349549659,0.0995346545916194,-0.0843020313871171,-0.0498684915012758,0.10093989423878,-0.105758894226729
"MIR200",-0.0239704946983666,-0.0239704946983666,-0.111550883278242,-0.111550883278242,-0.115247085809887,-0.115247085809887,-0.115247085809887,-0.115247085809887,-0.115247085809887,-0.115247085809887,0.0286375349635384,0.112523487145329,-0.198723421139602,-0.0353833139321218,0.111550883278242,-0.0656015052335385
