"","CD44s","CD24","MIR190","HAS2","ESRP1","MIR200","MIR34","MIR129","TWIST1","TGFB","ZEB1","SNAIL1","MIR340","MIR1199","GRHL2","HA"
"TWIST1",0.184648378256564,0.184648378256564,0.183771405066887,0.183771405066887,0.183771405066887,0.0934078843142731,0.0852681023523971,0.0145448320337503,0.00508114546589594,-0.0007760699003585,-0.180170152457284,-0.0193531735001794,-0.183771405066887,-0.183771405066887,-0.183771405066887,-0.184648378256564
"HAS2",0.157699443413729,0.157699443413729,0.16507857827378,0.16507857827378,0.16507857827378,0.147062159247205,0.131026818101456,0.0898569195510372,0.0525001038177509,-0.00524656772121275,-0.164993616506575,-0.0738286959434018,-0.16507857827378,-0.16507857827378,-0.16507857827378,-0.257699443413729
"ESRP1",0.257699443413729,0.157699443413729,0.16507857827378,0.16507857827378,0.16507857827378,0.147062159247205,0.131026818101456,0.0898569195510372,0.0525001038177509,-0.00524656772121275,-0.164993616506575,-0.0738286959434018,-0.16507857827378,-0.16507857827378,-0.16507857827378,-0.157699443413729
"MIR340",0.16507857827378,0.16507857827378,0.164993616506575,0.164993616506575,0.164993616506575,0.148748144494834,0.129235458775851,0.0906788373592564,0.0578882316716322,-0.00360405564391807,-0.162521170870591,-0.0754370213927869,-0.164993616506575,-0.164993616506575,-0.164993616506575,-0.16507857827378
"CD44s",0.16507857827378,0.16507857827378,0.164993616506575,0.164993616506575,0.164993616506575,0.148748144494834,0.129235458775851,0.0906788373592564,0.0578882316716322,-0.00360405564391807,-0.162521170870591,-0.0754370213927869,-0.164993616506575,-0.164993616506575,-0.164993616506575,-0.16507857827378
"CD24",0.16507857827378,0.16507857827378,0.164993616506575,0.164993616506575,0.164993616506575,0.148748144494834,0.129235458775851,0.0906788373592564,0.0578882316716322,-0.00360405564391807,-0.162521170870591,-0.0754370213927869,-0.164993616506575,-0.164993616506575,-0.164993616506575,-0.16507857827378
"MIR200",0.15220578702992,0.15220578702992,0.148408318675489,0.148408318675489,0.148408318675489,0.216634349247259,0.0288248705624382,0.11128734651512,0.0586529166580833,-0.194267071060746,-0.147969028568303,-0.0896636063688004,-0.148408318675489,-0.148408318675489,-0.148408318675489,-0.15220578702992
"MIR190",0.0254616257982317,0.0254616257982317,0.0347348087556252,0.0347348087556252,0.0347348087556252,-0.0327642104253544,0.0720464682202296,-0.071415478445883,-0.0207696800556709,0.165807671494237,-0.032249804471135,0.00294703455326107,-0.0347348087556252,-0.0347348087556252,-0.0347348087556252,-0.0254616257982317
"SNAIL1",0.032249804471135,0.032249804471135,0.0292631927306613,0.0292631927306613,0.0292631927306613,-0.0330994285738121,0.0656882312055825,-0.0661319805707792,-0.0131610601923186,0.066335094655035,-0.0313646273639205,-0.0951570083445804,-0.0292631927306613,-0.0292631927306613,-0.0292631927306613,-0.032249804471135
"TGFB",0.0347348087556252,0.0347348087556252,0.032249804471135,0.032249804471135,0.032249804471135,-0.0318477401451764,0.06809255358289,-0.0696116948999085,-0.0135105511511395,0.067846552480486,-0.0292631927306613,0.00146142638241613,-0.032249804471135,-0.032249804471135,-0.032249804471135,-0.0347348087556252
"GRHL2",0.0267100580241941,-0.0732899419758058,0.0247992299987164,0.0247992299987164,0.0247992299987164,0.0248365827839118,0.0085105969010236,0.0750847266614441,0.0571491975184254,-0.00285722295860957,-0.0229906724336525,-0.0630971052243609,-0.0247992299987164,-0.0247992299987164,-0.0247992299987164,-0.0267100580241941
"MIR34",-0.0347348087556252,-0.0347348087556252,-0.032249804471135,-0.032249804471135,-0.032249804471135,0.0318477401451764,-0.06809255358289,0.0696116948999085,0.0135105511511395,-0.067846552480486,0.0292631927306613,-0.00146142638241613,0.032249804471135,0.032249804471135,0.032249804471135,0.0347348087556252
"ZEB1",-0.164993616506575,-0.164993616506575,-0.162521170870591,-0.162521170870591,-0.162521170870591,-0.147852512983227,-0.127096910064463,-0.093576936455548,-0.0586672905684848,0.00467722637562538,0.0639982005130477,0.0730925082049002,0.162521170870591,0.162521170870591,0.162521170870591,0.164993616506575
"MIR1199",-0.16507857827378,-0.16507857827378,-0.164993616506575,-0.164993616506575,-0.164993616506575,-0.148748144494834,-0.129235458775851,-0.0906788373592564,-0.0578882316716322,0.00360405564391807,0.162521170870591,0.0754370213927869,0.164993616506575,0.164993616506575,0.164993616506575,0.16507857827378
"HA",-0.16507857827378,-0.16507857827378,-0.164993616506575,-0.164993616506575,-0.164993616506575,-0.148748144494834,-0.129235458775851,-0.0906788373592564,-0.0578882316716322,0.00360405564391807,0.162521170870591,0.0754370213927869,0.164993616506575,0.164993616506575,0.164993616506575,0.16507857827378
"MIR129",-0.175110375275938,-0.175110375275938,-0.184648378256564,-0.184648378256564,-0.184648378256564,-0.0918372036860008,-0.0879167010588954,-0.0140478401425654,-0.0982819822859796,0.00322746465944557,0.183771405066887,0.0168144058317287,0.184648378256564,0.184648378256564,0.184648378256564,0.175110375275938
