"","MIR34","MIR340","MIR190","HAS2","GRHL2","ESRP1","SNAIL1","TGFB","ZEB1","TWIST1","MIR129","MIR1199","MIR200","HA","CD44s","CD24"
"HAS2",0.106206159864267,0.103574851175724,0.103574851175724,0.103574851175724,0.103574851175724,0.103574851175724,0.0932934089411354,-0.00654682257116334,-0.110456754319309,-0.0696873087696617,-0.0696873087696617,-0.103574851175724,-0.106206159864267,-0.214007421150278,-0.114007421150278,-0.114007421150278
"CD44s",0.107997519189873,0.110456754319309,0.110456754319309,0.110456754319309,0.110456754319309,0.110456754319309,0.0886576473517315,-0.00432460034894112,-0.105422497542425,-0.0779978110527667,-0.0779978110527667,-0.110456754319309,-0.107997519189873,-0.103574851175724,-0.103574851175724,-0.103574851175724
"CD24",0.107997519189873,0.110456754319309,0.110456754319309,0.110456754319309,0.110456754319309,0.110456754319309,0.0886576473517315,-0.00432460034894112,-0.105422497542425,-0.0779978110527667,-0.0779978110527667,-0.110456754319309,-0.107997519189873,-0.103574851175724,-0.103574851175724,-0.103574851175724
"TGFB",0.106978943802213,0.0918267410165805,0.0918267410165805,0.0918267410165805,0.0918267410165805,0.0918267410165805,-0.0152729504696407,0.0721501663731751,-0.0961080415903631,0.0388657917678911,0.0388657917678911,-0.0918267410165805,-0.106978943802213,-0.0979107170234357,-0.0979107170234357,-0.0979107170234357
"MIR129",-0.00187902315601315,0.0117311399742732,0.0117311399742732,0.0117311399742732,0.0117311399742732,0.0117311399742732,0.047038982422662,-0.00974253743545708,-0.0190225456370144,-0.144566364126657,0.0635307755675402,-0.0117311399742732,0.00187902315601315,-0.0223123620309051,-0.0223123620309051,-0.0223123620309051
"GRHL2",0.00800134669783276,0.0167659125222069,0.0167659125222069,0.0167659125222069,0.0167659125222069,0.0167659125222069,0.0684273085820676,-0.00363175363786184,-0.011252017506768,-0.0686304905819253,-0.0686304905819253,-0.0167659125222069,-0.00800134669783276,-0.00899521188526424,-0.00899521188526424,-0.108995211885264
"ZEB1",-0.106699767407749,-0.105422497542425,-0.105422497542425,-0.105422497542425,-0.105422497542425,-0.105422497542425,-0.0919139156682407,0.00585305563349396,0.00893680945033969,0.0721081257925611,0.0721081257925611,0.105422497542425,0.106699767407749,0.110456754319309,0.110456754319309,0.110456754319309
"TWIST1",3.11635933399178e-05,-0.0190225456370144,-0.0190225456370144,-0.0190225456370144,-0.0190225456370144,-0.0190225456370144,-0.0422221853868448,0.00740385048138551,0.0137859416008279,0.0533006737500882,-0.0548203387378253,0.0190225456370144,-3.11635933399178e-05,0.0117311399742732,0.0117311399742732,0.0117311399742732
"MIR190",-0.108523850845942,-0.0979107170234357,-0.0979107170234357,-0.0979107170234357,-0.0979107170234357,-0.0979107170234357,0.0192190971734475,-0.174094215685645,0.0918267410165805,-0.0316946523046267,-0.0316946523046267,0.0979107170234357,0.108523850845942,0.0893894137652904,0.0893894137652904,0.0893894137652904
"SNAIL1",-0.108068543081817,-0.0961080415903631,-0.0961080415903631,-0.0961080415903631,-0.0961080415903631,-0.0961080415903631,-0.0819210698357395,-0.0734991018518034,0.0930670232028101,-0.0338057704945284,-0.0338057704945284,0.0961080415903631,0.108068543081817,0.0918267410165805,0.0918267410165805,0.0918267410165805
"MIR34",-0.106978943802213,-0.0918267410165805,-0.0918267410165805,-0.0918267410165805,-0.0918267410165805,-0.0918267410165805,0.0152729504696407,-0.0721501663731751,0.0961080415903631,-0.0388657917678911,-0.0388657917678911,0.0918267410165805,0.106978943802213,0.0979107170234357,0.0979107170234357,0.0979107170234357
"MIR340",-0.107997519189873,-0.110456754319309,-0.110456754319309,-0.110456754319309,-0.110456754319309,-0.110456754319309,-0.0886576473517315,0.00432460034894112,0.105422497542425,0.0779978110527667,0.0779978110527667,0.110456754319309,0.107997519189873,0.103574851175724,0.103574851175724,0.103574851175724
"MIR1199",-0.107997519189873,-0.110456754319309,-0.110456754319309,-0.110456754319309,-0.110456754319309,-0.110456754319309,-0.0886576473517315,0.00432460034894112,0.105422497542425,0.0779978110527667,0.0779978110527667,0.110456754319309,0.107997519189873,0.103574851175724,0.103574851175724,0.103574851175724
"HA",-0.107997519189873,-0.110456754319309,-0.110456754319309,-0.110456754319309,-0.110456754319309,-0.110456754319309,-0.0886576473517315,0.00432460034894112,0.105422497542425,0.0779978110527667,0.0779978110527667,0.110456754319309,0.107997519189873,0.103574851175724,0.103574851175724,0.103574851175724
"ESRP1",-0.106206159864267,-0.103574851175724,-0.103574851175724,-0.103574851175724,-0.103574851175724,-0.103574851175724,-0.0932934089411354,0.00654682257116334,0.110456754319309,0.0696873087696617,0.0696873087696617,0.103574851175724,0.106206159864267,0.114007421150278,0.0140074211502783,0.114007421150278
"MIR200",-0.21128804006109,-0.134585992691499,-0.134585992691499,-0.134585992691499,-0.134585992691499,-0.134585992691499,0.0150540208233227,-0.190555615611579,0.129121223758095,-0.0274589764413972,-0.0274589764413972,0.134585992691499,0.21128804006109,0.127041688894031,0.127041688894031,0.127041688894031
