"","MIR340","MIR190","MIR1199","HA","CD24","MIR200","MIR34","TWIST1","TGFB","SNAIL1","MIR129","ZEB1","CD44s","HAS2","GRHL2","ESRP1"
"MIR340",0.334801276513381,0.334801276513381,0.334801276513381,0.325710367422472,0.325710367422472,0.267356149275071,0.233566687543298,0.0681306457174306,-0.00813506314167748,-0.0976897802444693,-0.110924400659775,-0.339835533290265,-0.325710367422472,-0.334801276513381,-0.334801276513381,-0.334801276513381
"MIR1199",0.334801276513381,0.334801276513381,0.334801276513381,0.325710367422472,0.325710367422472,0.267356149275071,0.233566687543298,0.0681306457174306,-0.00813506314167748,-0.0976897802444693,-0.110924400659775,-0.339835533290265,-0.325710367422472,-0.334801276513381,-0.334801276513381,-0.334801276513381
"HA",0.334801276513381,0.334801276513381,0.334801276513381,0.325710367422472,0.325710367422472,0.267356149275071,0.233566687543298,0.0681306457174306,-0.00813506314167748,-0.0976897802444693,-0.110924400659775,-0.339835533290265,-0.325710367422472,-0.334801276513381,-0.334801276513381,-0.334801276513381
"CD24",0.334801276513381,0.334801276513381,0.334801276513381,0.325710367422472,0.325710367422472,0.267356149275071,0.233566687543298,0.0681306457174306,-0.00813506314167748,-0.0976897802444693,-0.110924400659775,-0.339835533290265,-0.325710367422472,-0.334801276513381,-0.334801276513381,-0.334801276513381
"MIR200",0.228322985102947,0.228322985102947,0.228322985102947,0.224221719280162,0.224221719280162,0.104015303834299,0.24660857023843,-0.0208032842019358,-0.0164353729252883,0.000958918884040168,0.0418302503930379,-0.231222299810379,-0.224221719280162,-0.228322985102947,-0.228322985102947,-0.228322985102947
"TGFB",0.106639302568915,0.106639302568915,0.106639302568915,0.106467922963088,0.106467922963088,0.106767920955573,0.00573497076228695,0.014989583489407,-0.0670024105644216,-0.00533352646074381,-0.0694009540791952,-0.107713305805637,-0.106467922963088,-0.106639302568915,-0.106639302568915,-0.106639302568915
"MIR34",0.106639302568915,0.106639302568915,0.106639302568915,0.106467922963088,0.106467922963088,0.106767920955573,0.00573497076228695,0.014989583489407,-0.0670024105644216,-0.00533352646074381,-0.0694009540791952,-0.107713305805637,-0.106467922963088,-0.106639302568915,-0.106639302568915,-0.106639302568915
"MIR190",0.106467922963088,0.106467922963088,0.106467922963088,0.103209777599679,0.103209777599679,0.107213063663088,0.00508034913358834,0.0170573353591827,0.0330450052724679,-0.00454429711998244,-0.0704128326537662,-0.106639302568915,-0.103209777599679,-0.106467922963088,-0.106467922963088,-0.106467922963088
"GRHL2",0.101716112784676,0.101716112784676,0.101716112784676,0.0972575140585612,-0.00274248594143882,0.0850156444179696,0.0614982842006989,0.0617906863145565,-0.00580665204274625,-0.0741120107758228,-0.0860206406550791,-0.103083558748505,-0.0972575140585612,-0.101716112784676,-0.101716112784676,-0.101716112784676
"SNAIL1",-0.107713305805637,-0.107713305805637,-0.107713305805637,-0.106639302568915,-0.106639302568915,-0.107731450897041,-0.00608616391852288,-0.0158557132569196,0.066661113636094,-0.0943706865059202,0.069203415711166,0.108450828537502,0.106639302568915,0.107713305805637,0.107713305805637,0.107713305805637
"ZEB1",-0.339835533290265,-0.339835533290265,-0.339835533290265,-0.334801276513381,-0.334801276513381,-0.270554833245094,-0.236546033183949,-0.0674762362440744,0.00888303062135228,0.0984387219572664,0.111890433691873,0.243186862616944,0.334801276513381,0.339835533290265,0.339835533290265,0.339835533290265
"MIR129",-0.261308637893428,-0.261308637893428,-0.261308637893428,-0.257135761589404,-0.257135761589404,-0.14290748151772,-0.128590002537339,0.0943162855354727,0.00440243630378873,0.0133259897606299,0.0109278743005337,0.263388317171804,0.257135761589404,0.261308637893428,0.261308637893428,0.261308637893428
"TWIST1",-0.263388317171804,-0.263388317171804,-0.263388317171804,-0.261308637893428,-0.261308637893428,-0.144046994914701,-0.130006694868722,-0.00463768935992474,0.0047687366700891,0.013696512609539,0.0110586616403192,0.265006271242785,0.261308637893428,0.263388317171804,0.263388317171804,0.263388317171804
"HAS2",-0.325710367422472,-0.325710367422472,-0.325710367422472,-0.416295609152752,-0.316295609152752,-0.260506834206578,-0.229140976268272,-0.0658475406945995,0.00745873463926202,0.0974059581063425,0.108458647235118,0.334801276513381,0.316295609152752,0.325710367422472,0.325710367422472,0.325710367422472
"ESRP1",-0.325710367422472,-0.325710367422472,-0.325710367422472,-0.316295609152752,-0.316295609152752,-0.260506834206578,-0.229140976268272,-0.0658475406945995,0.00745873463926202,0.0974059581063425,0.108458647235118,0.334801276513381,0.416295609152752,0.325710367422472,0.325710367422472,0.325710367422472
"CD44s",-0.334801276513381,-0.334801276513381,-0.334801276513381,-0.325710367422472,-0.325710367422472,-0.267356149275071,-0.233566687543298,-0.0681306457174306,0.00813506314167748,0.0976897802444693,0.110924400659775,0.339835533290265,0.325710367422472,0.334801276513381,0.334801276513381,0.334801276513381
