"","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","HA","CD24","TGFB","MIR200","MIR129","SNAIL1","TWIST1","ZEB1","MIR34","CD44s"
"GRHL2",0.3814192537564,0.3814192537564,0.3814192537564,0.3814192537564,0.3814192537564,0.3814192537564,0.376323712355126,0.476323712355126,0.340048447322624,0.318570067052941,0.0595209703187677,0.064428042722354,-0.0595209703187677,-0.385653925128257,-0.332922227592165,-0.376323712355126
"MIR1199",0.272641075601766,0.272641075601766,0.272641075601766,0.272641075601766,0.272641075601766,0.272641075601766,0.270856878490466,0.270856878490466,0.245297177271778,0.228635400490922,0.0421614751619586,0.0417891705450488,-0.0421614751619586,-0.277734909381927,-0.201397376778584,-0.270856878490466
"HA",0.272641075601766,0.272641075601766,0.272641075601766,0.272641075601766,0.272641075601766,0.272641075601766,0.270856878490466,0.270856878490466,0.245297177271778,0.228635400490922,0.0421614751619586,0.0417891705450488,-0.0421614751619586,-0.277734909381927,-0.201397376778584,-0.270856878490466
"CD24",0.272641075601766,0.272641075601766,0.272641075601766,0.272641075601766,0.272641075601766,0.272641075601766,0.270856878490466,0.270856878490466,0.245297177271778,0.228635400490922,0.0421614751619586,0.0417891705450488,-0.0421614751619586,-0.277734909381927,-0.201397376778584,-0.270856878490466
"HAS2",0.270856878490466,0.270856878490466,0.270856878490466,0.270856878490466,0.270856878490466,0.270856878490466,0.355844155844156,0.255844155844156,0.235538723165498,0.22473655960578,0.0473669546140134,0.0365857646793913,-0.0473669546140134,-0.272641075601766,-0.203083362026213,-0.255844155844156
"ESRP1",0.270856878490466,0.270856878490466,0.270856878490466,0.270856878490466,0.270856878490466,0.270856878490466,0.255844155844156,0.255844155844156,0.235538723165498,0.22473655960578,0.0473669546140134,0.0365857646793913,-0.0473669546140134,-0.272641075601766,-0.203083362026213,-0.355844155844156
"MIR200",0.263665521481329,0.263665521481329,0.263665521481329,0.263665521481329,0.263665521481329,0.263665521481329,0.261690837937025,0.261690837937025,0.422547679491424,0.299207680623636,-0.0501572986293546,-0.0436054397215471,0.0501572986293546,-0.267302843568835,-0.107232488134728,-0.261690837937025
"TGFB",0.173147243062067,0.173147243062067,0.173147243062067,0.173147243062067,0.173147243062067,0.173147243062067,0.171604826609625,0.171604826609625,0.195040136150002,0.155448315228801,-0.0403187955697759,-0.0308250904563982,0.0403187955697759,-0.175545359878309,-0.0249676598731749,-0.171604826609625
"MIR34",0.173147243062067,0.173147243062067,0.173147243062067,0.173147243062067,0.173147243062067,0.173147243062067,0.171604826609625,0.171604826609625,0.195040136150002,0.155448315228801,-0.0403187955697759,-0.0308250904563982,0.0403187955697759,-0.175545359878309,-0.0249676598731749,-0.171604826609625
"MIR190",0.171604826609625,0.171604826609625,0.171604826609625,0.171604826609625,0.171604826609625,0.171604826609625,0.16934918751188,0.16934918751188,0.291483948383288,0.155893457936316,-0.0455541673251653,-0.0299430106049591,0.0455541673251653,-0.173147243062067,-0.0226372068750078,-0.16934918751188
"TWIST1",0.0373963446154508,0.0373963446154508,0.0373963446154508,0.0373963446154508,0.0373963446154508,0.0373963446154508,0.0382733178051276,0.0382733178051276,0.0199089074757639,0.00951819917712732,0.215739738921639,0.0416219199391209,0.0830066047004545,-0.0379530599947132,-0.0351516348491858,-0.0382733178051276
"MIR129",0.0382733178051276,0.0382733178051276,0.0382733178051276,0.0382733178051276,0.0382733178051276,0.0382733178051276,0.0341004415011038,0.0341004415011038,0.018302821254293,0.00819389982387817,0.220317295814132,0.0388361370380642,0.178404094240203,-0.0373963446154508,-0.037553852280661,-0.0341004415011038
"SNAIL1",-0.175545359878309,-0.175545359878309,-0.175545359878309,-0.175545359878309,-0.175545359878309,-0.175545359878309,-0.173147243062067,-0.173147243062067,-0.195348928608965,-0.157258310726324,0.0427044512452052,-0.0686392951859393,-0.0427044512452052,0.175504947673824,0.0260932789636746,0.173147243062067
"ZEB1",-0.277734909381927,-0.277734909381927,-0.277734909381927,-0.277734909381927,-0.277734909381927,-0.277734909381927,-0.272641075601766,-0.272641075601766,-0.248386608166087,-0.229750370331902,-0.047365588592934,-0.0387608410106952,0.047365588592934,0.179965733462603,0.206533549324736,0.272641075601766
"MIR340",-0.272641075601766,-0.272641075601766,-0.272641075601766,-0.272641075601766,-0.272641075601766,-0.272641075601766,-0.270856878490466,-0.270856878490466,-0.245297177271778,-0.228635400490922,-0.0421614751619586,-0.0417891705450488,0.0421614751619586,0.277734909381927,0.201397376778584,0.270856878490466
"CD44s",-0.272641075601766,-0.272641075601766,-0.272641075601766,-0.272641075601766,-0.272641075601766,-0.272641075601766,-0.270856878490466,-0.270856878490466,-0.245297177271778,-0.228635400490922,-0.0421614751619586,-0.0417891705450488,0.0421614751619586,0.277734909381927,0.201397376778584,0.270856878490466
