"","SNAIL1","MIR340","MIR190","MIR1199","HAS2","ESRP1","CD44s","MIR34","MIR200","TGFB","ZEB1","HA","CD24","GRHL2","MIR129","TWIST1"
"MIR200",0.245036696346588,0.0903329343675006,0.0903329343675006,0.0903329343675006,0.0903329343675006,0.0903329343675006,0.0901810356333234,-0.0512838832840193,-0.0512838832840193,0.0295337239250892,-0.0905965084318127,-0.0901810356333234,-0.0901810356333234,-0.0903329343675006,-0.117503508940721,-0.235886983502131
"HA",0.143330565596981,0.0896729538903837,0.0896729538903837,0.0896729538903837,0.0896729538903837,0.0896729538903837,0.0897579156575885,0.0558772051999552,0.0558772051999552,0.022269161593617,-0.0898218963985756,-0.0897579156575885,-0.0897579156575885,-0.0896729538903837,-0.0903468493902015,-0.154283463407396
"CD44s",0.143330565596981,0.0896729538903837,0.0896729538903837,0.0896729538903837,0.0896729538903837,0.0896729538903837,0.0897579156575885,0.0558772051999552,0.0558772051999552,0.022269161593617,-0.0898218963985756,-0.0897579156575885,-0.0897579156575885,-0.0896729538903837,-0.0903468493902015,-0.154283463407396
"CD24",0.143330565596981,0.0896729538903837,0.0896729538903837,0.0896729538903837,0.0896729538903837,0.0896729538903837,0.0897579156575885,0.0558772051999552,0.0558772051999552,0.022269161593617,-0.0898218963985756,-0.0897579156575885,-0.0897579156575885,-0.0896729538903837,-0.0903468493902015,-0.154283463407396
"ESRP1",0.143708995114483,0.0897579156575885,0.0897579156575885,0.0897579156575885,0.0897579156575885,0.0897579156575885,0.190012368583797,0.0555610829660247,0.0555610829660247,0.0227522533810566,-0.0896729538903837,-0.0900123685837972,-0.0900123685837972,-0.0897579156575885,-0.0904381735911148,-0.155288029617441
"SNAIL1",0.145924178712694,0.0412301595780258,0.0412301595780258,0.0412301595780258,0.0412301595780258,0.0412301595780258,0.0410977482200738,-0.153767532497375,-0.153767532497375,0.148494534462496,-0.0413109839869973,-0.0410977482200738,-0.0410977482200738,-0.0412301595780258,-0.0795450790545233,-0.219535467100675
"MIR34",0.245788276562243,0.0410977482200738,0.0410977482200738,0.0410977482200738,0.0410977482200738,0.0410977482200738,0.0406692992055065,-0.153884596882786,-0.153884596882786,0.148705813513365,-0.0412301595780258,-0.0406692992055065,-0.0406692992055065,-0.0410977482200738,-0.0794387122409691,-0.219641833914229
"MIR129",-0.173537784263345,0.018280880403207,0.018280880403207,0.018280880403207,0.018280880403207,0.018280880403207,0.0184299116997793,0.0998377863574143,0.0998377863574143,-0.0602724215293825,-0.0179551475041842,-0.0184299116997793,-0.0184299116997793,-0.018280880403207,-0.00704055631854755,0.180600205923324
"TWIST1",-0.173578953468779,0.0179551475041842,0.0179551475041842,0.0179551475041842,0.0179551475041842,0.0179551475041842,0.018280880403207,0.0996222027417691,0.0996222027417691,-0.0603005984806364,-0.0179377501485822,-0.018280880403207,-0.018280880403207,-0.0179551475041842,-0.00701439885059045,0.0808617121994745
"ZEB1",-0.14320031486432,-0.0898218963985756,-0.0898218963985756,-0.0898218963985756,-0.0898218963985756,-0.0898218963985756,-0.0896729538903837,-0.0561148217234427,-0.0561148217234427,-0.0220415193171942,-0.0100660530768242,0.0896729538903837,0.0896729538903837,0.0898218963985756,0.0904403364578238,0.154003002204529
"GRHL2",-0.0967680075015603,0.00501490132903745,0.00501490132903745,0.00501490132903745,0.00501490132903745,0.00501490132903745,0.00501490132903745,0.0221460217253989,0.0221460217253989,-0.0104229666925358,-0.00488256784866692,-0.00501490132903745,0.0949850986709625,-0.00501490132903745,0.074940044635189,0.110358291240411
"MIR190",-0.24588112707292,-0.0406692992055065,-0.0406692992055065,-0.0406692992055065,-0.0406692992055065,-0.0406692992055065,-0.0401680460726744,0.154486848781189,0.154486848781189,-0.049132556045371,0.0410977482200738,0.0401680460726744,0.0401680460726744,0.0406692992055065,0.0795706964028697,0.220125775841198
"TGFB",-0.245788276562243,-0.0410977482200738,-0.0410977482200738,-0.0410977482200738,-0.0410977482200738,-0.0410977482200738,-0.0406692992055065,0.153884596882786,0.153884596882786,-0.148705813513365,0.0412301595780258,0.0406692992055065,0.0406692992055065,0.0410977482200738,0.0794387122409691,0.219641833914229
"HAS2",-0.143708995114483,-0.0897579156575885,-0.0897579156575885,-0.0897579156575885,-0.0897579156575885,-0.0897579156575885,-0.0900123685837972,-0.0555610829660247,-0.0555610829660247,-0.0227522533810566,0.0896729538903837,-0.00998763141620284,0.0900123685837972,0.0897579156575885,0.0904381735911148,0.155288029617441
"MIR340",-0.143330565596981,-0.0896729538903837,-0.0896729538903837,-0.0896729538903837,-0.0896729538903837,-0.0896729538903837,-0.0897579156575885,-0.0558772051999552,-0.0558772051999552,-0.022269161593617,0.0898218963985756,0.0897579156575885,0.0897579156575885,0.0896729538903837,0.0903468493902015,0.154283463407396
"MIR1199",-0.143330565596981,-0.0896729538903837,-0.0896729538903837,-0.0896729538903837,-0.0896729538903837,-0.0896729538903837,-0.0897579156575885,-0.0558772051999552,-0.0558772051999552,-0.022269161593617,0.0898218963985756,0.0897579156575885,0.0897579156575885,0.0896729538903837,0.0903468493902015,0.154283463407396
