"","TWIST1","MIR34","MIR200","MIR190","MIR1199","HAS2","ESRP1","ZEB1","CD44s","HA","CD24","SNAIL1","TGFB","MIR340","GRHL2","MIR129"
"TWIST1",0.525263259682252,0.325126987446871,0.325126987446871,0.225097223570437,0.225097223570437,0.225097223570437,0.225097223570437,-0.228367926423604,0.218507396459438,-0.218507396459438,-0.218507396459438,-0.487157950690071,-0.279779364733162,-0.225097223570437,-0.225097223570437,-0.626209600881356
"TGFB",0.586245305367381,0.390490813138658,0.390490813138658,0.173072798552633,0.173072798552633,0.173072798552633,0.173072798552633,-0.17723640014157,0.170330724859403,-0.170330724859403,-0.170330724859403,-0.552915925381461,-0.342330283541569,-0.173072798552633,-0.173072798552633,-0.586245305367381
"MIR34",0.586245305367381,0.390490813138658,0.390490813138658,0.173072798552633,0.173072798552633,0.173072798552633,0.173072798552633,-0.17723640014157,0.170330724859403,-0.170330724859403,-0.170330724859403,-0.552915925381461,-0.342330283541569,-0.173072798552633,-0.173072798552633,-0.586245305367381
"GRHL2",0.105434773230267,0.138287927950709,0.138287927950709,0.107388702245807,0.107388702245807,0.107388702245807,0.107388702245807,-0.11382893162384,0.0943950716725586,-0.0943950716725586,0.00560492832744142,-0.075995997298527,-0.115735733204988,-0.107388702245807,-0.107388702245807,-0.105434773230267
"MIR340",0.0844656550003851,0.0589631713509411,0.0589631713509411,0.0523273312126643,0.0523273312126643,0.0523273312126643,0.0523273312126643,-0.0545614688355419,0.0338906277292319,-0.0338906277292319,-0.0338906277292319,-0.0509105625249331,-0.0418833021443481,-0.0523273312126643,-0.0523273312126643,-0.0844656550003851
"HA",0.0844656550003851,0.0589631713509411,0.0589631713509411,0.0523273312126643,0.0523273312126643,0.0523273312126643,0.0523273312126643,-0.0545614688355419,0.0338906277292319,-0.0338906277292319,-0.0338906277292319,-0.0509105625249331,-0.0418833021443481,-0.0523273312126643,-0.0523273312126643,-0.0844656550003851
"CD44s",0.0844656550003851,0.0589631713509411,0.0589631713509411,0.0523273312126643,0.0523273312126643,0.0523273312126643,0.0523273312126643,-0.0545614688355419,0.0338906277292319,-0.0338906277292319,-0.0338906277292319,-0.0509105625249331,-0.0418833021443481,-0.0523273312126643,-0.0523273312126643,-0.0844656550003851
"CD24",0.0844656550003851,0.0589631713509411,0.0589631713509411,0.0523273312126643,0.0523273312126643,0.0523273312126643,0.0523273312126643,-0.0545614688355419,0.0338906277292319,-0.0338906277292319,-0.0338906277292319,-0.0509105625249331,-0.0418833021443481,-0.0523273312126643,-0.0523273312126643,-0.0844656550003851
"ZEB1",-0.0842475185092663,-0.0609920508976419,-0.0609920508976419,-0.0545614688355419,-0.0545614688355419,-0.0545614688355419,-0.0545614688355419,-0.0537404563961989,-0.0523273312126643,0.0523273312126643,0.0523273312126643,0.0541342681582773,0.0544686679980066,0.0545614688355419,0.0545614688355419,0.0842475185092663
"ESRP1",0.0883925956396545,0.0500063747229116,0.0500063747229116,0.0338906277292319,0.0338906277292319,0.0338906277292319,0.0338906277292319,-0.0523273312126643,0.137198515769944,-0.0371985157699443,-0.0371985157699443,-0.0492076296961724,-0.0452649446564254,-0.0338906277292319,-0.0338906277292319,-0.0883925956396545
"HAS2",-0.0883925956396545,-0.0500063747229116,-0.0500063747229116,-0.0338906277292319,-0.0338906277292319,-0.0338906277292319,-0.0338906277292319,0.0523273312126643,-0.0371985157699443,-0.0628014842300556,0.0371985157699443,0.0492076296961724,0.0452649446564254,0.0338906277292319,0.0338906277292319,0.0883925956396545
"MIR1199",-0.0844656550003851,-0.0589631713509411,-0.0589631713509411,-0.0523273312126643,-0.0523273312126643,-0.0523273312126643,-0.0523273312126643,0.0545614688355419,-0.0338906277292319,0.0338906277292319,0.0338906277292319,0.0509105625249331,0.0418833021443481,0.0523273312126643,0.0523273312126643,0.0844656550003851
"MIR200",-0.369533593892487,-0.275904405825473,-0.275904405825473,-0.105281104221456,-0.105281104221456,-0.105281104221456,-0.105281104221456,0.107723557217414,-0.0936861675125948,0.0936861675125948,0.0936861675125948,0.33121176896439,0.137462497922338,0.105281104221456,0.105281104221456,0.369533593892487
"MIR190",-0.565171834183923,-0.382242580617056,-0.382242580617056,-0.170330724859403,-0.170330724859403,-0.170330724859403,-0.170330724859403,0.173072798552633,-0.168826965460907,0.168826965460907,0.168826965460907,0.540984634759362,0.23526532384503,0.170330724859403,0.170330724859403,0.565171834183923
"SNAIL1",-0.601334197632994,-0.397667760459685,-0.397667760459685,-0.17723640014157,-0.17723640014157,-0.17723640014157,-0.17723640014157,0.179630823257351,-0.173072798552633,0.173072798552633,0.173072798552633,0.462181254344607,0.348489880486149,0.17723640014157,0.17723640014157,0.601334197632994
"MIR129",-0.610095895665516,-0.316657631117952,-0.316657631117952,-0.218507396459438,-0.218507396459438,-0.218507396459438,-0.218507396459438,0.225097223570437,-0.217166114790287,0.217166114790287,0.217166114790287,0.477565525823871,0.274566628751195,0.218507396459438,0.218507396459438,0.611064426934194
