"","MIR129","MIR34","HA","CD44s","CD24","MIR340","MIR190","ESRP1","TGFB","ZEB1","MIR200","MIR1199","HAS2","GRHL2","SNAIL1","TWIST1"
"TWIST1",0.182087735119136,0.247808322516987,0.208846578366446,0.208846578366446,0.208846578366446,0.208771409235902,0.208771409235902,0.208771409235902,0.0937661047042358,-0.20821469385664,0.0376109825675922,-0.208771409235902,-0.208771409235902,-0.208771409235902,-0.305335856132074,-0.233000903875551
"MIR200",0.294765037295439,0.25516063055279,0.121145214705479,0.121145214705479,0.121145214705479,0.120183189389024,0.120183189389024,0.120183189389024,0.229281212380369,-0.118865319067463,0.0398585763462435,-0.120183189389024,-0.120183189389024,-0.120183189389024,-0.242446860775881,-0.294765037295439
"TGFB",0.320961465948392,0.231031518868555,0.109134358173998,0.109134358173998,0.109134358173998,0.109391427582738,0.109391427582738,0.109391427582738,0.151994605698178,-0.109641537925537,0.124645398575362,-0.109391427582738,-0.109391427582738,-0.109391427582738,-0.256934779496347,-0.320961465948392
"MIR34",0.320961465948392,0.231031518868555,0.109134358173998,0.109134358173998,0.109134358173998,0.109391427582738,0.109391427582738,0.109391427582738,0.151994605698178,-0.109641537925537,0.124645398575362,-0.109391427582738,-0.109391427582738,-0.109391427582738,-0.256934779496347,-0.320961465948392
"MIR190",0.322237312846764,0.231424291845774,0.111891250404574,0.111891250404574,0.111891250404574,0.109134358173998,0.109134358173998,0.109134358173998,0.252326516556405,-0.109391427582738,0.125352389934356,-0.109134358173998,-0.109134358173998,-0.109134358173998,-0.25804898562448,-0.322237312846764
"MIR340",0.167401757200629,0.12734532498945,0.10586657980333,0.10586657980333,0.10586657980333,0.106121465104944,0.106121465104944,0.106121465104944,0.0199391049025056,-0.103708596472237,-0.0614912545387405,-0.106121465104944,-0.106121465104944,-0.106121465104944,-0.127984548030805,-0.167401757200629
"MIR1199",0.167401757200629,0.12734532498945,0.10586657980333,0.10586657980333,0.10586657980333,0.106121465104944,0.106121465104944,0.106121465104944,0.0199391049025056,-0.103708596472237,-0.0614912545387405,-0.106121465104944,-0.106121465104944,-0.106121465104944,-0.127984548030805,-0.167401757200629
"HA",0.167401757200629,0.12734532498945,0.10586657980333,0.10586657980333,0.10586657980333,0.106121465104944,0.106121465104944,0.106121465104944,0.0199391049025056,-0.103708596472237,-0.0614912545387405,-0.106121465104944,-0.106121465104944,-0.106121465104944,-0.127984548030805,-0.167401757200629
"CD24",0.167401757200629,0.12734532498945,0.10586657980333,0.10586657980333,0.10586657980333,0.106121465104944,0.106121465104944,0.106121465104944,0.0199391049025056,-0.103708596472237,-0.0614912545387405,-0.106121465104944,-0.106121465104944,-0.106121465104944,-0.127984548030805,-0.167401757200629
"ZEB1",-0.167245945421259,-0.126011016819097,-0.106121465104944,-0.106121465104944,-0.106121465104944,-0.103708596472237,-0.103708596472237,-0.103708596472237,-0.0194513000244568,0.00396325675541881,0.059864495262557,0.103708596472237,0.103708596472237,0.103708596472237,0.128049673397135,0.167245945421259
"GRHL2",0.116906734054023,0.0078389744537482,-0.00222726391312779,-0.00222726391312779,-0.102227263913128,-0.00362853779847811,-0.00362853779847811,-0.00362853779847811,0.00917728215171426,0.00548120652366558,0.0247929943510202,0.00362853779847811,0.00362853779847811,0.00362853779847811,-0.0889362312496303,-0.116906734054023
"CD44s",-0.167401757200629,-0.12734532498945,-0.10586657980333,-0.10586657980333,-0.10586657980333,-0.106121465104944,-0.106121465104944,-0.106121465104944,-0.0199391049025056,0.103708596472237,0.0614912545387405,0.106121465104944,0.106121465104944,0.106121465104944,0.127984548030805,0.167401757200629
"HAS2",-0.168588971812501,-0.127977569457311,-0.199505256648114,-0.0995052566481138,-0.0995052566481138,-0.10586657980333,-0.10586657980333,-0.10586657980333,-0.0204221966899452,0.106121465104944,0.0605428878369492,0.10586657980333,0.10586657980333,0.10586657980333,0.127606118513303,0.168588971812501
"ESRP1",-0.168588971812501,-0.127977569457311,-0.0995052566481138,0.000494743351886211,-0.0995052566481138,-0.10586657980333,-0.10586657980333,-0.10586657980333,-0.0204221966899452,0.106121465104944,0.0605428878369492,0.10586657980333,0.10586657980333,0.10586657980333,0.127606118513303,0.168588971812501
"SNAIL1",-0.319791430999296,-0.230752365334111,-0.109391427582738,-0.109391427582738,-0.109391427582738,-0.109641537925537,-0.109641537925537,-0.109641537925537,-0.15165330876985,0.109267725034043,-0.124060076648302,0.109641537925537,0.109641537925537,0.109641537925537,0.156607015486434,0.319791430999296
"MIR129",-0.18268935688215,-0.248362680385789,-0.208846578366446,-0.208846578366446,-0.208846578366446,-0.208846578366446,-0.208846578366446,-0.208846578366446,-0.0940196972655207,0.208771409235902,-0.0380729474582605,0.208846578366446,0.208846578366446,0.208846578366446,0.306008286487501,0.133628518938312
