"","SNAIL1","MIR200","MIR340","MIR190","MIR1199","GRHL2","CD44s","CD24","MIR34","ZEB1","TWIST1","MIR129","HA","HAS2","ESRP1","TGFB"
"GRHL2",0.328196528488216,0.367121183170691,0.307354978800405,0.307354978800405,0.307354978800405,0.307354978800405,0.303788099819513,0.403788099819513,-0.174134505261468,-0.309957537247692,-0.211034949795726,-0.211034949795726,-0.303788099819513,-0.307354978800405,-0.307354978800405,-0.337861131164372
"MIR129",0.394741046754316,0.333210730418055,0.296935140954656,0.296935140954656,0.296935140954656,0.296935140954656,0.29201710816777,0.29201710816777,0.0180275272627497,-0.299866737045861,-0.30248557238897,-0.0537677432618372,-0.29201710816777,-0.296935140954656,-0.296935140954656,-0.313523642449657
"MIR340",0.304664761376674,0.280918645588426,0.239729914938081,0.239729914938081,0.239729914938081,0.239729914938081,0.237266023689143,0.237266023689143,-0.0850961926623341,-0.242381091583895,-0.189852443876296,-0.189852443876296,-0.237266023689143,-0.239729914938081,-0.239729914938081,-0.260237558445513
"CD44s",0.304664761376674,0.280918645588426,0.239729914938081,0.239729914938081,0.239729914938081,0.239729914938081,0.237266023689143,0.237266023689143,-0.0850961926623341,-0.242381091583895,-0.189852443876296,-0.189852443876296,-0.237266023689143,-0.239729914938081,-0.239729914938081,-0.260237558445513
"CD24",0.304664761376674,0.280918645588426,0.239729914938081,0.239729914938081,0.239729914938081,0.239729914938081,0.237266023689143,0.237266023689143,-0.0850961926623341,-0.242381091583895,-0.189852443876296,-0.189852443876296,-0.237266023689143,-0.239729914938081,-0.239729914938081,-0.260237558445513
"SNAIL1",0.221001398110884,0.289162033505874,0.16708784229558,0.16708784229558,0.16708784229558,0.16708784229558,0.166043263805069,0.166043263805069,0.115698956440411,-0.167855674180809,-0.15453577908246,-0.15453577908246,-0.166043263805069,-0.16708784229558,-0.16708784229558,-0.279734620849057
"MIR190",0.316914947597594,0.284592917192609,0.163729639126406,0.163729639126406,0.163729639126406,0.163729639126406,0.160722120329413,0.160722120329413,0.115236508849932,-0.166043263805069,-0.151862683655765,-0.151862683655765,-0.160722120329413,-0.163729639126406,-0.163729639126406,-0.373147310399702
"MIR200",0.0446819976941444,-0.0400491192316935,-0.135556420148516,-0.135556420148516,-0.135556420148516,-0.135556420148516,-0.135303255591554,-0.135303255591554,0.193930169480589,0.136171426298577,-0.0482915460484612,-0.0482915460484612,0.135303255591554,0.135556420148516,0.135556420148516,-0.062511797118318
"ZEB1",-0.308148968475339,-0.284702231770111,-0.242381091583895,-0.242381091583895,-0.242381091583895,-0.242381091583895,-0.239729914938081,-0.239729914938081,0.0845661250330158,0.144245204856789,0.192438919413846,0.192438919413846,0.239729914938081,0.242381091583895,0.242381091583895,0.263782273892668
"TGFB",-0.319282635619878,-0.287604176684623,-0.166043263805069,-0.166043263805069,-0.166043263805069,-0.166043263805069,-0.163729639126406,-0.163729639126406,-0.115419802905967,0.16708784229558,0.153578477760473,0.153578477760473,0.163729639126406,0.166043263805069,0.166043263805069,0.276987993187754
"MIR34",-0.319282635619878,-0.287604176684623,-0.166043263805069,-0.166043263805069,-0.166043263805069,-0.166043263805069,-0.163729639126406,-0.163729639126406,-0.115419802905967,0.16708784229558,0.153578477760473,0.153578477760473,0.163729639126406,0.166043263805069,0.166043263805069,0.276987993187754
"HAS2",-0.299082925993514,-0.276703682469353,-0.237266023689143,-0.237266023689143,-0.237266023689143,-0.237266023689143,-0.230395794681509,-0.230395794681509,0.0862553075200791,0.239729914938081,0.186656096844332,0.186656096844332,0.330395794681509,0.237266023689143,0.237266023689143,0.252218234774016
"ESRP1",-0.299082925993514,-0.276703682469353,-0.237266023689143,-0.237266023689143,-0.237266023689143,-0.237266023689143,-0.330395794681509,-0.230395794681509,0.0862553075200791,0.239729914938081,0.186656096844332,0.186656096844332,0.230395794681509,0.237266023689143,0.237266023689143,0.252218234774016
"MIR1199",-0.304664761376674,-0.280918645588426,-0.239729914938081,-0.239729914938081,-0.239729914938081,-0.239729914938081,-0.237266023689143,-0.237266023689143,0.0850961926623341,0.242381091583895,0.189852443876296,0.189852443876296,0.237266023689143,0.239729914938081,0.239729914938081,0.260237558445513
"HA",-0.304664761376674,-0.280918645588426,-0.239729914938081,-0.239729914938081,-0.239729914938081,-0.239729914938081,-0.237266023689143,-0.237266023689143,0.0850961926623341,0.242381091583895,0.189852443876296,0.189852443876296,0.237266023689143,0.239729914938081,0.239729914938081,0.260237558445513
"TWIST1",-0.398899136503184,-0.337430009752825,-0.299866737045861,-0.299866737045861,-0.299866737045861,-0.299866737045861,-0.296935140954656,-0.296935140954656,-0.0186434804503074,0.301832638228881,0.205309840171397,0.0565665923332471,0.296935140954656,0.299866737045861,0.299866737045861,0.31958168696924
