"","MIR129","MIR34","HA","CD44s","CD24","MIR190","MIR1199","ESRP1","SNAIL1","ZEB1","TGFB","MIR340","HAS2","GRHL2","MIR200","TWIST1"
"TGFB",-0.113648448021449,-0.0225656128526693,0.06998425776384,0.06998425776384,0.06998425776384,0.0704127067784072,0.0704127067784072,0.0704127067784072,-0.0142937792801118,-0.0704568438977246,0.0721554490489022,-0.0704127067784072,-0.0704127067784072,-0.0704127067784072,-0.0936045588225427,0.113648448021449
"HAS2",0.0941729329494035,0.074511021644106,-0.0382189239332097,0.0617810760667904,0.0617810760667904,0.0635622465502509,0.0635622465502509,0.0635622465502509,0.0599167758444302,-0.0656862907303699,-0.00170987452934715,-0.0635622465502509,-0.0635622465502509,-0.0635622465502509,-0.065958327601384,-0.0941729329494035
"ESRP1",0.0941729329494035,0.074511021644106,0.0617810760667904,0.16178107606679,0.0617810760667904,0.0635622465502509,0.0635622465502509,0.0635622465502509,0.0599167758444302,-0.0656862907303699,-0.00170987452934715,-0.0635622465502509,-0.0635622465502509,-0.0635622465502509,-0.065958327601384,-0.0941729329494035
"MIR340",0.0935336635430108,0.0755647624238742,0.0635622465502509,0.0635622465502509,0.0635622465502509,0.0656862907303699,0.0656862907303699,0.0656862907303699,0.0604844201206838,-0.0650011551926874,-0.00122678274190753,-0.0656862907303699,-0.0656862907303699,-0.0656862907303699,-0.0675389387710362,-0.0935336635430108
"MIR1199",0.0935336635430108,0.0755647624238742,0.0635622465502509,0.0635622465502509,0.0635622465502509,0.0656862907303699,0.0656862907303699,0.0656862907303699,0.0604844201206838,-0.0650011551926874,-0.00122678274190753,-0.0656862907303699,-0.0656862907303699,-0.0656862907303699,-0.0675389387710362,-0.0935336635430108
"CD44s",0.0935336635430108,0.0755647624238742,0.0635622465502509,0.0635622465502509,0.0635622465502509,0.0656862907303699,0.0656862907303699,0.0656862907303699,0.0604844201206838,-0.0650011551926874,-0.00122678274190753,-0.0656862907303699,-0.0656862907303699,-0.0656862907303699,-0.0675389387710362,-0.0935336635430108
"CD24",0.0935336635430108,0.0755647624238742,0.0635622465502509,0.0635622465502509,0.0635622465502509,0.0656862907303699,0.0656862907303699,0.0656862907303699,0.0604844201206838,-0.0650011551926874,-0.00122678274190753,-0.0656862907303699,-0.0656862907303699,-0.0656862907303699,-0.0675389387710362,-0.0935336635430108
"MIR200",0.138011528635938,0.167171680133468,0.0627772178016476,0.0627772178016476,0.0627772178016476,0.0641443064092425,0.0641443064092425,0.0641443064092425,0.087740118871331,-0.0635644434677559,-0.197571330186517,-0.0641443064092425,-0.0641443064092425,-0.0641443064092425,0.0243221966080241,-0.138011528635938
"ZEB1",-0.0936894753223814,-0.0753637022886155,-0.0656862907303699,-0.0656862907303699,-0.0656862907303699,-0.0650011551926874,-0.0650011551926874,-0.0650011551926874,-0.0606472335365092,-0.0355387246076589,0.00106418111589127,0.0650011551926874,0.0650011551926874,0.0650011551926874,0.0668992019770315,0.0936894753223814
"MIR129",-0.00366056203472112,-0.00928105802868994,0.00372792494481236,0.00372792494481236,0.00372792494481236,0.0034298623516678,0.0034298623516678,0.0034298623516678,-0.03428829930478,-0.003104129452645,0.00664832088857546,-0.0034298623516678,-0.0034298623516678,-0.0034298623516678,-0.0124444574829713,-0.0775349045802077
"TWIST1",0.00368671950267822,0.00958903462246881,-0.0034298623516678,-0.0034298623516678,-0.0034298623516678,-0.003104129452645,-0.003104129452645,-0.003104129452645,0.0342745762363019,0.00329550036426643,-0.00633837442478284,0.003104129452645,0.003104129452645,0.003104129452645,0.0123520645048376,-0.0224650954197923
"GRHL2",0.0763898644576133,-0.0117956360334791,-0.0171479393207142,-0.0171479393207142,-0.117147939320714,-0.0160014425054276,-0.0160014425054276,-0.0160014425054276,0.0552388808925482,0.0170601103483918,-0.0021398733632221,0.0160014425054276,0.0160014425054276,0.0160014425054276,0.0218310674736571,-0.0763898644576133
"HA",-0.0935336635430108,-0.0755647624238742,-0.0635622465502509,-0.0635622465502509,-0.0635622465502509,-0.0656862907303699,-0.0656862907303699,-0.0656862907303699,-0.0604844201206838,0.0650011551926874,0.00122678274190753,0.0656862907303699,0.0656862907303699,0.0656862907303699,0.0675389387710362,0.0935336635430108
"SNAIL1",0.113663643280528,0.0225205880890493,-0.0704127067784072,-0.0704127067784072,-0.0704127067784072,-0.0704568438977246,-0.0704568438977246,-0.0704568438977246,-0.0857621804288977,0.0703255042331459,-0.0722367102223136,0.0704568438977246,0.0704568438977246,0.0704568438977246,0.0936135637752667,-0.113663643280528
"MIR190",0.113516463859548,0.022696537178409,-0.070234884330256,-0.070234884330256,-0.070234884330256,-0.06998425776384,-0.06998425776384,-0.06998425776384,0.0143402045354507,0.0704127067784072,-0.172202864885792,0.06998425776384,0.06998425776384,0.06998425776384,0.0932117858453235,-0.113516463859548
"MIR34",0.113648448021449,0.0225656128526693,-0.06998425776384,-0.06998425776384,-0.06998425776384,-0.0704127067784072,-0.0704127067784072,-0.0704127067784072,0.0142937792801118,0.0704568438977246,-0.0721554490489022,0.0704127067784072,0.0704127067784072,0.0704127067784072,0.0936045588225427,-0.113648448021449
