"","SNAIL1","MIR340","MIR190","MIR1199","GRHL2","ESRP1","HA","TGFB","ZEB1","MIR200","MIR129","CD44s","CD24","HAS2","MIR34","TWIST1"
"SNAIL1",0.500883629159617,0.376746811961569,0.376746811961569,0.376746811961569,0.376746811961569,0.376746811961569,0.368316622171955,0.237940462943323,-0.383071321963589,0.115879944453067,-0.206014467035846,-0.368316622171955,-0.368316622171955,-0.376746811961569,-0.522372151531284,-0.480238694628427
"MIR340",0.225024021300078,0.144911709162772,0.144911709162772,0.144911709162772,0.144911709162772,0.144911709162772,0.140748582569738,0.0364148489309438,-0.14821823284463,-0.0646477596034798,-0.123728522028603,-0.140748582569738,-0.140748582569738,-0.144911709162772,-0.193061199847839,-0.215120213120213
"MIR1199",0.225024021300078,0.144911709162772,0.144911709162772,0.144911709162772,0.144911709162772,0.144911709162772,0.140748582569738,0.0364148489309438,-0.14821823284463,-0.0646477596034798,-0.123728522028603,-0.140748582569738,-0.140748582569738,-0.144911709162772,-0.193061199847839,-0.215120213120213
"HA",0.225024021300078,0.144911709162772,0.144911709162772,0.144911709162772,0.144911709162772,0.144911709162772,0.140748582569738,0.0364148489309438,-0.14821823284463,-0.0646477596034798,-0.123728522028603,-0.140748582569738,-0.140748582569738,-0.144911709162772,-0.193061199847839,-0.215120213120213
"CD44s",0.225024021300078,0.144911709162772,0.144911709162772,0.144911709162772,0.144911709162772,0.144911709162772,0.140748582569738,0.0364148489309438,-0.14821823284463,-0.0646477596034798,-0.123728522028603,-0.140748582569738,-0.140748582569738,-0.144911709162772,-0.193061199847839,-0.215120213120213
"CD24",0.225024021300078,0.144911709162772,0.144911709162772,0.144911709162772,0.144911709162772,0.144911709162772,0.140748582569738,0.0364148489309438,-0.14821823284463,-0.0646477596034798,-0.123728522028603,-0.140748582569738,-0.140748582569738,-0.144911709162772,-0.193061199847839,-0.215120213120213
"MIR200",-0.201214880861591,0.00655813294066805,0.00655813294066805,0.00655813294066805,0.00655813294066805,0.00655813294066805,0.0102543354723136,-0.0232209810828792,-0.00386967748468492,-0.182976165607743,0.0992506586987086,-0.0102543354723136,-0.0102543354723136,-0.00655813294066805,0.0956798945266268,0.196215995957663
"ZEB1",-0.229680484992686,-0.14821823284463,-0.14821823284463,-0.14821823284463,-0.14821823284463,-0.14821823284463,-0.144911709162772,-0.0383985887683422,0.0506935307971618,0.0643004739153058,0.125504776313427,0.144911709162772,0.144911709162772,0.14821823284463,0.197466244629414,0.220012702992448
"HAS2",-0.218874541640665,-0.140748582569738,-0.140748582569738,-0.140748582569738,-0.140748582569738,-0.140748582569738,-0.235405071119357,-0.0338061532787699,0.144911709162772,0.0652800040713407,0.121262768603945,0.135405071119357,0.135405071119357,0.140748582569738,0.187265625559114,0.208453546453546
"ESRP1",-0.218874541640665,-0.140748582569738,-0.140748582569738,-0.140748582569738,-0.140748582569738,-0.140748582569738,-0.135405071119357,-0.0338061532787699,0.144911709162772,0.0652800040713407,0.121262768603945,0.0354050711193568,0.135405071119357,0.140748582569738,0.187265625559114,0.208453546453546
"GRHL2",-0.248314964607127,-0.245131202058404,-0.245131202058404,-0.245131202058404,-0.245131202058404,-0.245131202058404,-0.240672603332289,-0.0388012146623996,0.248660094868285,0.159645378803755,0.143188602439706,0.240672603332289,0.140672603332289,0.245131202058404,0.298118948244919,0.235453757223379
"MIR129",-0.427575514391986,-0.314932471221826,-0.314932471221826,-0.314932471221826,-0.314932471221826,-0.314932471221826,-0.306139624724062,-0.116543990203497,0.321422072825435,-0.0175119879444032,0.0896651616562204,0.306139624724062,0.306139624724062,0.314932471221826,0.354596157774328,0.368182394997851
"TWIST1",-0.436811139477755,-0.321422072825435,-0.321422072825435,-0.321422072825435,-0.321422072825435,-0.321422072825435,-0.314932471221826,-0.120516940330293,0.326345524460786,-0.0182819294288504,0.0933010497022576,0.314932471221826,0.314932471221826,0.321422072825435,0.363342693037648,0.277910428470655
"MIR190",-0.573054796838109,-0.35700556818738,-0.35700556818738,-0.35700556818738,-0.35700556818738,-0.35700556818738,-0.341717347636001,-0.126073048812572,0.368316622171955,-0.113597336308454,0.195146266889215,0.341717347636001,0.341717347636001,0.35700556818738,0.495944258766855,0.451116596209275
"TGFB",-0.588932234164014,-0.368316622171955,-0.368316622171955,-0.368316622171955,-0.368316622171955,-0.368316622171955,-0.35700556818738,-0.232853513487773,0.376746811961569,-0.114880394700703,0.201349522498542,0.35700556818738,0.35700556818738,0.368316622171955,0.511052925957219,0.467702605888114
"MIR34",-0.588932234164014,-0.368316622171955,-0.368316622171955,-0.368316622171955,-0.368316622171955,-0.368316622171955,-0.35700556818738,-0.232853513487773,0.376746811961569,-0.114880394700703,0.201349522498542,0.35700556818738,0.35700556818738,0.368316622171955,0.511052925957219,0.467702605888114
