"","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","CD24","MIR129","SNAIL1","ZEB1","TWIST1","HA","CD44s","TGFB","MIR34","MIR200"
"TWIST1",0.205481099287738,0.205481099287738,0.205481099287738,0.205481099287738,0.205481099287738,0.205481099287738,0.204754464359149,0.0612882993844155,0.187230180589119,-0.205916033177787,-0.114097897404194,-0.204754464359149,-0.204754464359149,-0.0749280616008478,-0.00996515989534937,-0.00996515989534937
"MIR200",0.112277905116242,0.112277905116242,0.112277905116242,0.112277905116242,0.112277905116242,0.112277905116242,0.111417145622571,0.182643788276704,0.13367703676243,-0.112857768057729,-0.182643788276704,-0.111417145622571,-0.111417145622571,0.0895477768293915,-0.00751827350331026,-0.00751827350331026
"SNAIL1",0.0948146897611354,0.0948146897611354,0.0948146897611354,0.0948146897611354,0.0948146897611354,0.0948146897611354,0.0942703319562215,0.195832669347734,0.029588343937784,-0.0948449989144997,-0.195832669347734,-0.0942703319562215,-0.0942703319562215,0.0513321351687245,0.0725287086779135,0.0725287086779135
"TGFB",0.0942703319562215,0.0942703319562215,0.0942703319562215,0.0942703319562215,0.0942703319562215,0.0942703319562215,0.0932420543212601,0.195118492171013,0.129724246088236,-0.0948146897611354,-0.195118492171013,-0.0932420543212601,-0.0932420543212601,0.0516734320970521,0.0727178126851174,0.0727178126851174
"MIR340",0.0881826639610555,0.0881826639610555,0.0881826639610555,0.0881826639610555,0.0881826639610555,0.0881826639610555,0.0872480845218032,0.0679559445657753,0.036337460021735,-0.0884507604758008,-0.0679559445657753,-0.0872480845218032,-0.0872480845218032,-0.093694218296035,-0.0959374625919577,-0.0959374625919577
"HA",0.0881826639610555,0.0881826639610555,0.0881826639610555,0.0881826639610555,0.0881826639610555,0.0881826639610555,0.0872480845218032,0.0679559445657753,0.036337460021735,-0.0884507604758008,-0.0679559445657753,-0.0872480845218032,-0.0872480845218032,-0.093694218296035,-0.0959374625919577,-0.0959374625919577
"ESRP1",0.0872480845218032,0.0872480845218032,0.0872480845218032,0.0872480845218032,0.0872480845218032,0.0872480845218032,0.0854669140383426,0.0671340267575562,0.0356752083661059,-0.0881826639610555,-0.0671340267575562,-0.0854669140383426,-0.185466914038343,-0.0926314163636679,-0.095726714436004,-0.095726714436004
"ZEB1",-0.0884507604758008,-0.0884507604758008,-0.0884507604758008,-0.0884507604758008,-0.0884507604758008,-0.0884507604758008,-0.0881826639610555,-0.0686726787508797,-0.0363048973385699,-0.0114983074675627,0.0686726787508797,0.0881826639610555,0.0881826639610555,0.0941820231740838,0.0958460716213855,0.0958460716213855
"GRHL2",-0.00530844543556719,-0.00530844543556719,-0.00530844543556719,-0.00530844543556719,-0.00530844543556719,-0.00530844543556719,0.0944367774943691,0.0634088835845338,0.0428272045137663,0.0053525565956907,-0.0634088835845338,0.00556322250563088,0.00556322250563088,0.00433501309750005,0.00489760137330925,0.00489760137330925
"HAS2",-0.0872480845218032,-0.0872480845218032,-0.0872480845218032,-0.0872480845218032,-0.0872480845218032,-0.0872480845218032,-0.0854669140383426,-0.0671340267575562,-0.0356752083661059,0.0881826639610555,0.0671340267575562,-0.0145330859616574,0.0854669140383426,0.0926314163636679,0.095726714436004,0.095726714436004
"MIR1199",-0.0881826639610555,-0.0881826639610555,-0.0881826639610555,-0.0881826639610555,-0.0881826639610555,-0.0881826639610555,-0.0872480845218032,-0.0679559445657753,-0.036337460021735,0.0884507604758008,0.0679559445657753,0.0872480845218032,0.0872480845218032,0.093694218296035,0.0959374625919577,0.0959374625919577
"CD44s",-0.0881826639610555,-0.0881826639610555,-0.0881826639610555,-0.0881826639610555,-0.0881826639610555,-0.0881826639610555,-0.0872480845218032,-0.0679559445657753,-0.036337460021735,0.0884507604758008,0.0679559445657753,0.0872480845218032,0.0872480845218032,0.093694218296035,0.0959374625919577,0.0959374625919577
"CD24",-0.0881826639610555,-0.0881826639610555,-0.0881826639610555,-0.0881826639610555,-0.0881826639610555,-0.0881826639610555,-0.0872480845218032,-0.0679559445657753,-0.036337460021735,0.0884507604758008,0.0679559445657753,0.0872480845218032,0.0872480845218032,0.093694218296035,0.0959374625919577,0.0959374625919577
"MIR190",-0.0932420543212601,-0.0932420543212601,-0.0932420543212601,-0.0932420543212601,-0.0932420543212601,-0.0932420543212601,-0.0924901746220119,-0.193754655831374,-0.129352844045524,0.0942703319562215,0.193754655831374,0.0924901746220119,0.0924901746220119,-0.151626016260163,-0.0726392580896736,-0.0726392580896736
"MIR34",-0.0942703319562215,-0.0942703319562215,-0.0942703319562215,-0.0942703319562215,-0.0942703319562215,-0.0942703319562215,-0.0932420543212601,-0.195118492171013,-0.129724246088236,0.0948146897611354,0.195118492171013,0.0932420543212601,0.0932420543212601,-0.0516734320970521,-0.0727178126851174,-0.0727178126851174
"MIR129",-0.204754464359149,-0.204754464359149,-0.204754464359149,-0.204754464359149,-0.204754464359149,-0.204754464359149,-0.204456401766004,-0.0605820477495738,-0.186694980918472,0.205481099287738,0.0134179810862023,0.204456401766004,0.204456401766004,0.0749562385521017,0.00999595755472725,0.00999595755472725
