"","TWIST1","SNAIL1","MIR34","MIR200","ZEB1","CD24","MIR190","MIR1199","HAS2","GRHL2","TGFB","MIR340","ESRP1","HA","CD44s","MIR129"
"ZEB1",-0.0871973615833729,-0.0680710846865757,-0.0619969626536638,-0.0619969626536638,-0.0550895727041879,-0.0456934063941881,-0.0452465788696126,-0.0452465788696126,-0.0452465788696126,-0.0452465788696126,0.00147400717810205,0.0452465788696126,0.0452465788696126,0.0456934063941881,0.0456934063941881,0.0552788448936482
"MIR200",0.116076191553477,0.0957678371932076,-0.0213022300889698,-0.0213022300889698,-0.0495328530868231,0.0499441620823724,0.0496909975254103,0.0496909975254103,0.0496909975254103,0.0496909975254103,0.00169844847771347,-0.0496909975254103,-0.0496909975254103,-0.0499441620823724,-0.0499441620823724,-0.0585709562585626
"ESRP1",0.0862153062623651,0.067571646446772,0.0625270302829821,0.0625270302829821,-0.0456934063941881,0.0423005565862709,0.0456084446269833,0.0456084446269833,0.0456084446269833,0.0456084446269833,-0.00115163178043503,-0.0456084446269833,-0.0456084446269833,-0.0423005565862709,0.0576994434137291,-0.0553346810052692
"MIR340",0.0868545756687578,0.0682338981024011,0.0625270302829821,0.0625270302829821,-0.0452465788696126,0.0456084446269833,0.0456934063941881,0.0456934063941881,0.0456934063941881,0.0456934063941881,-0.00144148685289879,-0.0456934063941881,-0.0456934063941881,-0.0456084446269833,-0.0456084446269833,-0.0550607084025295
"MIR1199",0.0868545756687578,0.0682338981024011,0.0625270302829821,0.0625270302829821,-0.0452465788696126,0.0456084446269833,0.0456934063941881,0.0456934063941881,0.0456934063941881,0.0456934063941881,-0.00144148685289879,-0.0456934063941881,-0.0456934063941881,-0.0456084446269833,-0.0456084446269833,-0.0550607084025295
"HA",0.0868545756687578,0.0682338981024011,0.0625270302829821,0.0625270302829821,-0.0452465788696126,0.0456084446269833,0.0456934063941881,0.0456934063941881,0.0456934063941881,0.0456934063941881,-0.00144148685289879,-0.0456934063941881,-0.0456934063941881,-0.0456084446269833,-0.0456084446269833,-0.0550607084025295
"CD44s",0.0868545756687578,0.0682338981024011,0.0625270302829821,0.0625270302829821,-0.0452465788696126,0.0456084446269833,0.0456934063941881,0.0456934063941881,0.0456934063941881,0.0456934063941881,-0.00144148685289879,-0.0456934063941881,-0.0456934063941881,-0.0456084446269833,-0.0456084446269833,-0.0550607084025295
"SNAIL1",0.0810284455801552,-0.0776398771512179,-0.0530160916850765,-0.0530160916850765,-0.0162449720492531,0.0167396990057126,0.0162247659470102,0.0162247659470102,0.0162247659470102,0.0162247659470102,-0.0748552470015288,-0.0162247659470102,-0.0162247659470102,-0.0167396990057126,-0.0167396990057126,-0.0203213391342369
"TGFB",0.0811652029118677,0.0222721861631957,-0.0527549480560806,-0.0527549480560806,-0.0162247659470102,0.0164826295969723,0.0167396990057126,0.0167396990057126,0.0167396990057126,0.0167396990057126,-0.0748714992362111,-0.0167396990057126,-0.0167396990057126,-0.0164826295969723,-0.0164826295969723,-0.0205492680204244
"MIR34",0.0811652029118677,0.0222721861631957,-0.0527549480560806,-0.0527549480560806,-0.0162247659470102,0.0164826295969723,0.0167396990057126,0.0167396990057126,0.0167396990057126,0.0167396990057126,-0.0748714992362111,-0.0167396990057126,-0.0167396990057126,-0.0164826295969723,-0.0164826295969723,-0.0205492680204244
"MIR129",-0.0821031433589728,0.00850286995574394,0.00110560678976225,0.00110560678976225,-0.00317836419423594,0.00191225165562914,0.00325353332477966,0.00325353332477966,0.00325353332477966,0.00325353332477966,-0.00107437098686104,-0.00325353332477966,-0.00325353332477966,-0.00191225165562914,-0.00191225165562914,-0.0336334427668894
"TWIST1",-0.0179491578962573,-0.00879105439378428,-0.00107480913038436,-0.00107480913038436,0.00319576154983788,-0.00325353332477966,-0.00317836419423594,-0.00317836419423594,-0.00317836419423594,-0.00317836419423594,0.00104619403560717,0.00317836419423594,0.00317836419423594,0.00325353332477966,0.00325353332477966,0.0335026554271039
"MIR190",-0.080769250426166,-0.0224114619292124,0.0529382421121162,0.0529382421121162,0.0167396990057126,-0.0172345092962204,-0.0164826295969723,-0.0164826295969723,-0.0164826295969723,-0.0164826295969723,-0.0256500749695737,0.0164826295969723,0.0164826295969723,0.0172345092962204,0.0172345092962204,0.020681252182325
"CD24",-0.0868545756687578,-0.0682338981024011,-0.0625270302829821,-0.0625270302829821,0.0452465788696126,-0.0456084446269833,-0.0456934063941881,-0.0456934063941881,-0.0456934063941881,-0.0456934063941881,0.00144148685289879,0.0456934063941881,0.0456934063941881,0.0456084446269833,0.0456084446269833,0.0550607084025295
"HAS2",-0.0862153062623651,-0.067571646446772,-0.0625270302829821,-0.0625270302829821,0.0456934063941881,-0.0423005565862709,-0.0456084446269833,-0.0456084446269833,-0.0456084446269833,-0.0456084446269833,0.00115163178043503,0.0456084446269833,0.0456084446269833,-0.0576994434137291,0.0423005565862709,0.0553346810052692
"GRHL2",-0.106618299143244,-0.09270929483551,-0.155760196010488,-0.155760196010488,0.15962524409598,-0.0590423024716219,-0.159934022216845,-0.159934022216845,-0.159934022216845,-0.159934022216845,0.00925256138093472,0.159934022216845,0.159934022216845,0.159042302471622,0.159042302471622,0.0733076890148574
