"","MIR200","CD44s","MIR340","MIR190","HAS2","GRHL2","ESRP1","SNAIL1","TGFB","ZEB1","TWIST1","MIR129","MIR34","MIR1199","HA","CD24"
"MIR129",0.104828030207638,0.211346578366446,0.212389797442452,0.212389797442452,0.212389797442452,0.212389797442452,0.212389797442452,-0.000518661759696115,-0.00231566070865991,-0.212013951789733,-0.196432969650824,0.191213297388722,-0.109819196338824,-0.212389797442452,-0.211346578366446,-0.211346578366446
"GRHL2",0.221110277759058,0.20433815128056,0.204720316885655,0.204720316885655,0.204720316885655,0.204720316885655,0.204720316885655,0.0925323588347251,0.00955804174300016,-0.204411538764791,-0.0806420840730887,-0.0806420840730887,-0.185187833740573,-0.204720316885655,-0.20433815128056,-0.30433815128056
"ESRP1",0.109085339913214,0.202721088435374,0.103993353066417,0.103993353066417,0.103993353066417,0.103993353066417,0.103993353066417,0.0676774277110675,0.0030066620330312,-0.104078314833622,-0.0610856359326948,-0.0610856359326948,-0.096530263500033,-0.103993353066417,-0.102721088435374,-0.102721088435374
"MIR340",0.110244454770959,0.103993353066417,0.104078314833622,0.104078314833622,0.104078314833622,0.104078314833622,0.104078314833622,0.0667313539173116,0.00252357024559159,-0.103631487309047,-0.0626381473482199,-0.0626381473482199,-0.0954765227202648,-0.104078314833622,-0.103993353066417,-0.103993353066417
"MIR1199",0.110244454770959,0.103993353066417,0.104078314833622,0.104078314833622,0.104078314833622,0.104078314833622,0.104078314833622,0.0667313539173116,0.00252357024559159,-0.103631487309047,-0.0626381473482199,-0.0626381473482199,-0.0954765227202648,-0.104078314833622,-0.103993353066417,-0.103993353066417
"HA",0.110244454770959,0.103993353066417,0.104078314833622,0.104078314833622,0.104078314833622,0.104078314833622,0.104078314833622,0.0667313539173116,0.00252357024559159,-0.103631487309047,-0.0626381473482199,-0.0626381473482199,-0.0954765227202648,-0.104078314833622,-0.103993353066417,-0.103993353066417
"CD44s",0.110244454770959,0.103993353066417,0.104078314833622,0.104078314833622,0.104078314833622,0.104078314833622,0.104078314833622,0.0667313539173116,0.00252357024559159,-0.103631487309047,-0.0626381473482199,-0.0626381473482199,-0.0954765227202648,-0.104078314833622,-0.103993353066417,-0.103993353066417
"MIR190",-0.0107245798152821,0.0716299595682485,0.0731337189667447,0.0731337189667447,0.0731337189667447,0.0731337189667447,0.0731337189667447,0.00304675812640178,-0.165663293570584,-0.0724482005434371,0.0273436798169647,0.0273436798169647,-0.084904400639641,-0.0731337189667447,-0.0716299595682485,-0.0716299595682485
"MIR34",-0.0106983949501342,0.0731337189667447,0.0724482005434371,0.0724482005434371,0.0724482005434371,0.0724482005434371,0.0724482005434371,0.00156114995555684,-0.0649520560172409,-0.0723746386779082,0.0278276217439334,0.0278276217439334,-0.0840403000897589,-0.0724482005434371,-0.0731337189667447,-0.0731337189667447
"ZEB1",-0.109604717976954,-0.104078314833622,-0.103631487309047,-0.103631487309047,-0.103631487309047,-0.103631487309047,-0.103631487309047,-0.0663731644024955,-0.00320649707485988,0.00384540194691973,0.061485140180878,0.061485140180878,0.0955679136908369,0.103631487309047,0.104078314833622,0.104078314833622
"TGFB",0.0106983949501342,-0.0731337189667447,-0.0724482005434371,-0.0724482005434371,-0.0724482005434371,-0.0724482005434371,-0.0724482005434371,-0.00156114995555684,0.0649520560172409,0.0723746386779082,-0.0278276217439334,-0.0278276217439334,0.0840403000897589,0.0724482005434371,0.0731337189667447,0.0731337189667447
"SNAIL1",0.0113197366880901,-0.0724482005434371,-0.0723746386779082,-0.0723746386779082,-0.0723746386779082,-0.0723746386779082,-0.0723746386779082,-0.102016821871777,0.0646757680276423,0.0726171119048227,-0.0286329704751293,-0.0286329704751293,0.0845715923004748,0.0723746386779082,0.0724482005434371,0.0724482005434371
"CD24",-0.110244454770959,-0.103993353066417,-0.104078314833622,-0.104078314833622,-0.104078314833622,-0.104078314833622,-0.104078314833622,-0.0667313539173116,-0.00252357024559159,0.103631487309047,0.0626381473482199,0.0626381473482199,0.0954765227202648,0.104078314833622,0.103993353066417,0.103993353066417
"HAS2",-0.109085339913214,-0.102721088435374,-0.103993353066417,-0.103993353066417,-0.103993353066417,-0.103993353066417,-0.103993353066417,-0.0676774277110675,-0.0030066620330312,0.104078314833622,0.0610856359326948,0.0610856359326948,0.096530263500033,0.103993353066417,0.00272108843537415,0.102721088435374
"MIR200",-0.0342435812182721,-0.110611822473612,-0.111270050321713,-0.111270050321713,-0.111270050321713,-0.111270050321713,-0.111270050321713,0.0145384083522557,0.186539209108556,0.110725330588802,-0.031142277484663,-0.031142277484663,0.185768121783112,0.111270050321713,0.110611822473612,0.110611822473612
"TWIST1",-0.104920423185772,-0.212389797442452,-0.212013951789733,-0.212013951789733,-0.212013951789733,-0.212013951789733,-0.212013951789733,0.00146555348468582,0.0018930064398518,0.211961759722927,0.0962237646299039,-0.191448714600336,0.109264838470022,0.212013951789733,0.212389797442452,0.212389797442452
