"","TWIST1","MIR200","ZEB1","HAS2","GRHL2","ESRP1","CD44s","SNAIL1","TGFB","HA","CD24","MIR340","MIR190","MIR1199","MIR34","MIR129"
"ZEB1",-0.0739406915074341,-0.0572204505913061,-0.0553061835363994,-0.0511418148337748,-0.0511418148337748,-0.0511418148337748,-0.0501587942797087,-0.0438889121007178,-0.00194523541338226,0.0501587942797087,0.0501587942797087,0.0511418148337748,0.0511418148337748,0.0511418148337748,0.0562478305290119,0.0739406915074341
"MIR190",0.0984264320116537,0.0714511920023498,-0.0517711649433051,0.0476580544034593,0.0476580544034593,0.0476580544034593,0.0516680794661159,-0.00592548466549344,-0.165142249686112,-0.0516680794661159,-0.0516680794661159,-0.0476580544034593,-0.0476580544034593,-0.0476580544034593,0.0249715399188704,-0.0984264320116537
"SNAIL1",0.0956059967212962,0.0732724324905885,-0.0517342071291101,0.0531688403883543,0.0531688403883543,0.0531688403883543,0.0517711649433051,-0.10325548134829,-0.0639382434524665,-0.0517711649433051,-0.0517711649433051,-0.0531688403883543,-0.0531688403883543,-0.0531688403883543,0.0200543452811441,-0.0956059967212962
"MIR340",0.0725383854930994,0.0546432252211727,-0.0511418148337748,0.0501587942797087,0.0501587942797087,0.0501587942797087,0.034610790881238,0.0413164601306754,0.000286698828016405,-0.034610790881238,-0.034610790881238,-0.0501587942797087,-0.0501587942797087,-0.0501587942797087,-0.0576186950875935,-0.0725383854930994
"MIR1199",0.0725383854930994,0.0546432252211727,-0.0511418148337748,0.0501587942797087,0.0501587942797087,0.0501587942797087,0.034610790881238,0.0413164601306754,0.000286698828016405,-0.034610790881238,-0.034610790881238,-0.0501587942797087,-0.0501587942797087,-0.0501587942797087,-0.0576186950875935,-0.0725383854930994
"HA",0.0725383854930994,0.0546432252211727,-0.0511418148337748,0.0501587942797087,0.0501587942797087,0.0501587942797087,0.034610790881238,0.0413164601306754,0.000286698828016405,-0.034610790881238,-0.034610790881238,-0.0501587942797087,-0.0501587942797087,-0.0501587942797087,-0.0576186950875935,-0.0725383854930994
"CD44s",0.0725383854930994,0.0546432252211727,-0.0511418148337748,0.0501587942797087,0.0501587942797087,0.0501587942797087,0.034610790881238,0.0413164601306754,0.000286698828016405,-0.034610790881238,-0.034610790881238,-0.0501587942797087,-0.0501587942797087,-0.0501587942797087,-0.0576186950875935,-0.0725383854930994
"CD24",0.0725383854930994,0.0546432252211727,-0.0511418148337748,0.0501587942797087,0.0501587942797087,0.0501587942797087,0.034610790881238,0.0413164601306754,0.000286698828016405,-0.034610790881238,-0.034610790881238,-0.0501587942797087,-0.0501587942797087,-0.0501587942797087,-0.0576186950875935,-0.0725383854930994
"ESRP1",0.0782918101506337,0.0476885360747027,-0.0501587942797087,0.034610790881238,0.034610790881238,0.034610790881238,0.135374149659864,0.0362076616443935,-0.0027084702541092,-0.0353741496598639,-0.0353741496598639,-0.034610790881238,-0.034610790881238,-0.034610790881238,-0.0452899279643058,-0.0782918101506337
"MIR129",-0.109625833859678,0.00762142341478759,-0.00149106193243381,0.00321995193493945,0.00321995193493945,0.00321995193493945,0.00471026490066225,0.00667928061140184,-0.00260273684299142,-0.00471026490066225,-0.00471026490066225,-0.00321995193493945,-0.00321995193493945,-0.00321995193493945,0.00166701110439091,0.03660635542786
"TWIST1",0.00962583385967796,-0.00626632640216055,0.00185640640007473,-0.00149106193243381,-0.00149106193243381,-0.00149106193243381,-0.00321995193493945,-0.00619897321466793,0.00319445281932278,0.00321995193493945,0.00321995193493945,0.00149106193243381,0.00149106193243381,0.00149106193243381,-0.0024369525888381,-0.0365801979599029
"HAS2",-0.0782918101506337,-0.0476885360747027,0.0501587942797087,-0.034610790881238,-0.034610790881238,-0.034610790881238,-0.0353741496598639,-0.0362076616443935,0.0027084702541092,-0.0646258503401361,0.0353741496598639,0.034610790881238,0.034610790881238,0.034610790881238,0.0452899279643058,0.0782918101506337
"MIR200",0.0781717491691658,0.0191473492575319,0.0527290195965211,-0.0538360306666318,-0.0538360306666318,-0.0538360306666318,-0.0429499547172647,0.0260853534271682,-0.188367037066812,0.0429499547172647,0.0429499547172647,0.0538360306666318,0.0538360306666318,0.0538360306666318,0.144033571732695,-0.0781717491691658
"TGFB",-0.0957427540530087,-0.0719487044401607,0.0531688403883543,-0.0517711649433051,-0.0517711649433051,-0.0517711649433051,-0.0476580544034593,0.00471842802668193,0.0651896655230012,0.0476580544034593,0.0476580544034593,0.0517711649433051,0.0517711649433051,0.0517711649433051,-0.020441558248276,0.0957427540530087
"MIR34",-0.0957427540530087,-0.0719487044401607,0.0531688403883543,-0.0517711649433051,-0.0517711649433051,-0.0517711649433051,-0.0476580544034593,0.00471842802668193,0.0651896655230012,0.0476580544034593,0.0476580544034593,0.0517711649433051,0.0517711649433051,0.0517711649433051,-0.020441558248276,0.0957427540530087
"GRHL2",-0.0940058317951244,-0.133755633044969,0.111186835053282,-0.106422829759943,-0.106422829759943,-0.106422829759943,-0.0949578616070763,-0.0660318356165881,0.0064909661254597,0.0949578616070763,-0.00504213839292374,0.106422829759943,0.106422829759943,0.106422829759943,0.116130688261052,0.0940058317951244
