"","MIR190","MIR1199","HAS2","GRHL2","HA","CD44s","MIR200","MIR129","TGFB","SNAIL1","TWIST1","MIR34","ZEB1","CD24","MIR340","ESRP1"
"MIR1199",0.447281494787075,0.447281494787075,0.447281494787075,0.447281494787075,0.429014714838052,0.429014714838052,0.308814279314076,0.086641844108081,-0.0122021397089745,-0.137517127425892,-0.14205614315848,-0.363950705214809,-0.465780154304501,-0.429014714838052,-0.447281494787075,-0.447281494787075
"HA",0.447281494787075,0.447281494787075,0.447281494787075,0.447281494787075,0.429014714838052,0.429014714838052,0.308814279314076,0.086641844108081,-0.0122021397089745,-0.137517127425892,-0.14205614315848,-0.363950705214809,-0.465780154304501,-0.429014714838052,-0.447281494787075,-0.447281494787075
"CD44s",0.447281494787075,0.447281494787075,0.447281494787075,0.447281494787075,0.429014714838052,0.429014714838052,0.308814279314076,0.086641844108081,-0.0122021397089745,-0.137517127425892,-0.14205614315848,-0.363950705214809,-0.465780154304501,-0.429014714838052,-0.447281494787075,-0.447281494787075
"CD24",0.447281494787075,0.447281494787075,0.447281494787075,0.447281494787075,0.429014714838052,0.429014714838052,0.308814279314076,0.086641844108081,-0.0122021397089745,-0.137517127425892,-0.14205614315848,-0.363950705214809,-0.465780154304501,-0.429014714838052,-0.447281494787075,-0.447281494787075
"HAS2",0.429014714838052,0.429014714838052,0.429014714838052,0.429014714838052,0.499752628324057,0.399752628324057,0.301859590167606,0.0797925290395879,-0.0136514150712934,-0.138179379081521,-0.137215960510078,-0.348249967596263,-0.447281494787075,-0.399752628324057,-0.429014714838052,-0.429014714838052
"MIR200",0.361489328279831,0.361489328279831,0.361489328279831,0.361489328279831,0.345236163722869,0.345236163722869,0.158625130381775,0.0756200392392189,-0.00591161053943975,-0.134104872870658,-0.146531877909863,-0.384646745190073,-0.371628143953702,-0.345236163722869,-0.361489328279831,-0.361489328279831
"GRHL2",0.168467650226779,0.168467650226779,0.168467650226779,0.168467650226779,0.162098223475187,0.162098223475187,0.105827847439495,0.0726294582554988,-0.00781294757758924,-0.0939200034224408,-0.102835052058948,-0.142992258098053,-0.177422215731852,-0.262098223475187,-0.168467650226779,-0.168467650226779
"TGFB",0.137493928045118,0.137493928045118,0.137493928045118,0.137493928045118,0.139379103709214,0.139379103709214,0.0106302121400419,0.0215273033383986,-0.0759349034574391,-0.0296162140899642,-0.0846930238868812,-0.136318700480718,-0.142628546259036,-0.139379103709214,-0.137493928045118,-0.137493928045118
"MIR129",0.0690564887831743,0.0690564887831743,0.0690564887831743,0.0690564887831743,0.067864238410596,0.067864238410596,0.036395723065843,-0.105374964496271,-0.00567530822105206,-0.0243767649527015,-0.0500245867834142,-0.0518026527052256,-0.0740427077759079,-0.067864238410596,-0.0690564887831743,-0.0690564887831743
"TWIST1",-0.0740427077759079,-0.0740427077759079,-0.0740427077759079,-0.0740427077759079,-0.0690564887831743,-0.0690564887831743,-0.0379356060347374,0.102785375168517,0.0047454688296742,0.0224143661603315,-0.0489293881119833,0.0563915039525308,0.0762695692929573,0.0690564887831743,0.0740427077759079,0.0740427077759079
"MIR190",-0.139379103709214,-0.139379103709214,-0.139379103709214,-0.139379103709214,-0.126095895689164,-0.126095895689164,-0.0106563970051898,-0.0240350024145095,-0.0251556607910199,0.0258557684075129,0.085264955255117,0.13859678374859,0.137493928045118,0.126095895689164,0.139379103709214,0.139379103709214
"MIR34",-0.137493928045118,-0.137493928045118,-0.137493928045118,-0.137493928045118,-0.139379103709214,-0.139379103709214,-0.0106302121400419,-0.0215273033383986,0.0759349034574391,0.0296162140899642,0.0846930238868812,0.136318700480718,0.142628546259036,0.139379103709214,0.137493928045118,0.137493928045118
"SNAIL1",-0.142628546259036,-0.142628546259036,-0.142628546259036,-0.142628546259036,-0.137493928045118,-0.137493928045118,-0.0123141382994295,-0.0241864736772529,0.0752360573661015,-0.0724542951433878,0.0862885260901937,0.140920231322682,0.143244832377443,0.137493928045118,0.142628546259036,0.142628546259036
"ZEB1",-0.465780154304501,-0.465780154304501,-0.465780154304501,-0.465780154304501,-0.447281494787075,-0.447281494787075,-0.320420932576734,-0.084553966264516,0.0149013267008444,0.14197821501951,0.1439570468668,0.375045569042263,0.375263703250208,0.447281494787075,0.465780154304501,0.465780154304501
"ESRP1",-0.429014714838052,-0.429014714838052,-0.429014714838052,-0.429014714838052,-0.399752628324057,-0.499752628324057,-0.301859590167606,-0.0797925290395879,0.0136514150712934,0.138179379081521,0.137215960510078,0.348249967596263,0.447281494787075,0.399752628324057,0.429014714838052,0.429014714838052
"MIR340",-0.447281494787075,-0.447281494787075,-0.447281494787075,-0.447281494787075,-0.429014714838052,-0.429014714838052,-0.308814279314076,-0.086641844108081,0.0122021397089745,0.137517127425892,0.14205614315848,0.363950705214809,0.465780154304501,0.429014714838052,0.447281494787075,0.447281494787075
