"","MIR190","MIR1199","HAS2","CD44s","MIR34","MIR200","MIR129","TGFB","SNAIL1","ZEB1","TWIST1","HA","CD24","MIR340","GRHL2","ESRP1"
"GRHL2",0.358075153554195,0.358075153554195,0.358075153554195,0.354890440178398,0.35040204490935,0.35040204490935,0.184690435194907,0.0221738514188146,-0.159255021273633,-0.360413045040741,-0.184690435194907,-0.354890440178398,-0.254890440178398,-0.358075153554195,-0.358075153554195,-0.358075153554195
"MIR1199",0.250255644164571,0.250255644164571,0.250255644164571,0.24881129412209,0.226961223925594,0.226961223925594,0.165759052336329,0.0131421825080878,-0.135726949610236,-0.252906820810386,-0.165759052336329,-0.24881129412209,-0.24881129412209,-0.250255644164571,-0.250255644164571,-0.250255644164571
"CD44s",0.250255644164571,0.250255644164571,0.250255644164571,0.24881129412209,0.226961223925594,0.226961223925594,0.165759052336329,0.0131421825080878,-0.135726949610236,-0.252906820810386,-0.165759052336329,-0.24881129412209,-0.24881129412209,-0.250255644164571,-0.250255644164571,-0.250255644164571
"CD24",0.250255644164571,0.250255644164571,0.250255644164571,0.24881129412209,0.226961223925594,0.226961223925594,0.165759052336329,0.0131421825080878,-0.135726949610236,-0.252906820810386,-0.165759052336329,-0.24881129412209,-0.24881129412209,-0.250255644164571,-0.250255644164571,-0.250255644164571
"HAS2",0.24881129412209,0.24881129412209,0.24881129412209,0.240414347557205,0.224221497898197,0.224221497898197,0.161101518089753,0.0132388008655757,-0.134402446298978,-0.250255644164571,-0.161101518089753,-0.340414347557205,-0.240414347557205,-0.24881129412209,-0.24881129412209,-0.24881129412209
"MIR200",0.218752499811192,0.218752499811192,0.218752499811192,0.216980347912458,0.308550385861257,0.308550385861257,0.221320937904644,0.218095663705363,-0.173815702170962,-0.220527231844226,-0.221320937904644,-0.216980347912458,-0.216980347912458,-0.218752499811192,-0.218752499811192,-0.218752499811192
"TGFB",0.109529689345543,0.109529689345543,0.109529689345543,0.109015550528063,0.160669280925463,0.160669280925463,0.205710269813372,0.101816209929033,-0.11155981966627,-0.109868073926976,-0.205710269813372,-0.109015550528063,-0.109015550528063,-0.109529689345543,-0.109529689345543,-0.109529689345543
"MIR34",0.109529689345543,0.109529689345543,0.109529689345543,0.109015550528063,0.160669280925463,0.160669280925463,0.205710269813372,0.101816209929033,-0.11155981966627,-0.109868073926976,-0.205710269813372,-0.109015550528063,-0.109015550528063,-0.109529689345543,-0.109529689345543,-0.109529689345543
"TWIST1",0.0499003961467148,0.0499003961467148,0.0499003961467148,0.0493240994792129,0.0120022861239006,0.0120022861239006,-0.301592899349668,-0.012575170354988,0.0558068860076007,-0.0505788930151908,0.17185344892968,-0.0493240994792129,-0.0493240994792129,-0.0499003961467148,-0.0499003961467148,-0.0499003961467148
"MIR129",-0.0493240994792129,-0.0493240994792129,-0.0493240994792129,-0.0484299116997792,-0.0111399516613198,-0.0111399516613198,0.301932946433111,0.0120961621836721,-0.0550521172413046,0.0499003961467148,-0.272167256461061,0.0484299116997792,0.0484299116997792,0.0493240994792129,0.0493240994792129,0.0493240994792129
"MIR190",-0.109015550528063,-0.109015550528063,-0.109015550528063,-0.106759911430318,-0.160224138217948,-0.160224138217948,-0.204170454591199,-0.201104972375691,0.110027786240087,0.109529689345543,0.204170454591199,0.106759911430318,0.106759911430318,0.109015550528063,0.109015550528063,0.109015550528063
"SNAIL1",-0.109868073926976,-0.109868073926976,-0.109868073926976,-0.109529689345543,-0.161470721717899,-0.161470721717899,-0.207244990980368,-0.101897471102445,0.0115678139104147,0.110262092920712,0.207244990980368,0.109529689345543,0.109529689345543,0.109868073926976,0.109868073926976,0.109868073926976
"ZEB1",-0.252906820810386,-0.252906820810386,-0.252906820810386,-0.250255644164571,-0.229099772636981,-0.229099772636981,-0.168220878450383,-0.0142803938902016,0.136931768887345,0.153711547305242,0.168220878450383,0.250255644164571,0.250255644164571,0.252906820810386,0.252906820810386,0.252906820810386
"ESRP1",-0.24881129412209,-0.24881129412209,-0.24881129412209,-0.340414347557205,-0.224221497898197,-0.224221497898197,-0.161101518089753,-0.0132388008655757,0.134402446298978,0.250255644164571,0.161101518089753,0.240414347557205,0.240414347557205,0.24881129412209,0.24881129412209,0.24881129412209
"MIR340",-0.250255644164571,-0.250255644164571,-0.250255644164571,-0.24881129412209,-0.226961223925594,-0.226961223925594,-0.165759052336329,-0.0131421825080878,0.135726949610236,0.252906820810386,0.165759052336329,0.24881129412209,0.24881129412209,0.250255644164571,0.250255644164571,0.250255644164571
"HA",-0.250255644164571,-0.250255644164571,-0.250255644164571,-0.24881129412209,-0.226961223925594,-0.226961223925594,-0.165759052336329,-0.0131421825080878,0.135726949610236,0.252906820810386,0.165759052336329,0.24881129412209,0.24881129412209,0.250255644164571,0.250255644164571,0.250255644164571
