"","MIR190","MIR1199","HAS2","ESRP1","HA","CD24","MIR200","TWIST1","MIR129","MIR34","TGFB","ZEB1","SNAIL1","CD44s","MIR340","GRHL2"
"MIR340",0.152425028200362,0.152425028200362,0.152425028200362,0.152425028200362,0.153529531174024,0.153529531174024,0.143252227651152,0.12009020214274,0.12009020214274,0.117874309140806,-0.00603918800232408,-0.152454816702001,-0.0864946258374244,-0.153529531174024,-0.152425028200362,-0.152425028200362
"MIR1199",0.152425028200362,0.152425028200362,0.152425028200362,0.152425028200362,0.153529531174024,0.153529531174024,0.143252227651152,0.12009020214274,0.12009020214274,0.117874309140806,-0.00603918800232408,-0.152454816702001,-0.0864946258374244,-0.153529531174024,-0.152425028200362,-0.152425028200362
"HA",0.152425028200362,0.152425028200362,0.152425028200362,0.152425028200362,0.153529531174024,0.153529531174024,0.143252227651152,0.12009020214274,0.12009020214274,0.117874309140806,-0.00603918800232408,-0.152454816702001,-0.0864946258374244,-0.153529531174024,-0.152425028200362,-0.152425028200362
"CD24",0.152425028200362,0.152425028200362,0.152425028200362,0.152425028200362,0.153529531174024,0.153529531174024,0.143252227651152,0.12009020214274,0.12009020214274,0.117874309140806,-0.00603918800232408,-0.152454816702001,-0.0864946258374244,-0.153529531174024,-0.152425028200362,-0.152425028200362
"HAS2",0.153529531174024,0.153529531174024,0.153529531174024,0.153529531174024,0.252257266542981,0.152257266542981,0.143568349885083,0.119085635932695,0.119085635932695,0.118928049920574,-0.00574933292986031,-0.152425028200362,-0.0866838405961756,-0.152257266542981,-0.153529531174024,-0.153529531174024
"ESRP1",0.153529531174024,0.153529531174024,0.153529531174024,0.153529531174024,0.152257266542981,0.152257266542981,0.143568349885083,0.119085635932695,0.119085635932695,0.118928049920574,-0.00574933292986031,-0.152425028200362,-0.0866838405961756,-0.252257266542981,-0.153529531174024,-0.153529531174024
"MIR200",0.113693128508528,0.113693128508528,0.113693128508528,0.113693128508528,0.114756419647768,0.114756419647768,0.207352788026048,0.1607900103143,0.1607900103143,-0.000944162560153451,-0.202333669650493,-0.113710700112815,-0.110485597288786,-0.114756419647768,-0.113693128508528,-0.113693128508528
"SNAIL1",0.0978691931657459,0.0978691931657459,0.0978691931657459,0.0978691931657459,0.0977367818077939,0.0977367818077939,-0.0152670697091449,-0.131310026376075,-0.131310026376075,0.117366055137329,0.0775598392867978,-0.098010635881446,-0.0674843958463317,-0.0977367818077939,-0.0978691931657459,-0.0978691931657459
"TGFB",0.0977367818077939,0.0977367818077939,0.0977367818077939,0.0977367818077939,0.0977367818077939,0.0977367818077939,-0.0153481142836609,-0.131416393189629,-0.131416393189629,0.117285010562813,0.0777386138683027,-0.0978691931657459,0.0324436559563703,-0.0977367818077939,-0.0977367818077939,-0.0977367818077939
"MIR190",0.0977367818077939,0.0977367818077939,0.0977367818077939,0.0977367818077939,0.0967342755421297,0.0967342755421297,-0.0156361478002883,-0.131724356234064,-0.131724356234064,0.11757304407944,0.177501534683855,-0.0977367818077939,0.0324436559563703,-0.0967342755421297,-0.0977367818077939,-0.0977367818077939
"GRHL2",0.0182262899868195,0.0182262899868195,0.0182262899868195,0.0182262899868195,0.0193727868021062,-0.0806272131978938,0.021768046003293,0.0906182082507095,0.0906182082507095,0.00267636200087628,-0.00473774803288503,-0.0185350681076841,-0.0684042746992702,-0.0193727868021062,-0.0182262899868195,-0.0182262899868195
"ZEB1",-0.152454816702001,-0.152454816702001,-0.152454816702001,-0.152454816702001,-0.152425028200362,-0.152425028200362,-0.143197393068809,-0.120308338633859,-0.120308338633859,-0.117965700111378,0.00626683027874685,0.05260761287191,0.0864620631542593,0.152425028200362,0.152454816702001,0.152454816702001
"MIR34",-0.0977367818077939,-0.0977367818077939,-0.0977367818077939,-0.0977367818077939,-0.0977367818077939,-0.0977367818077939,0.0153481142836609,0.131416393189629,0.131416393189629,-0.117285010562813,-0.0777386138683027,0.0978691931657459,-0.0324436559563703,0.0977367818077939,0.0977367818077939,0.0977367818077939
"CD44s",-0.152425028200362,-0.152425028200362,-0.152425028200362,-0.152425028200362,-0.153529531174024,-0.153529531174024,-0.143252227651152,-0.12009020214274,-0.12009020214274,-0.117874309140806,0.00603918800232408,0.152454816702001,0.0864946258374244,0.153529531174024,0.152425028200362,0.152425028200362
"MIR129",-0.244622137398302,-0.244622137398302,-0.244622137398302,-0.244622137398302,-0.243578918322296,-0.243578918322296,-0.118920437956727,0.23241724852984,0.258512818172738,-0.132109628122181,-0.00410071851599298,0.24464719377515,-0.0166292870630345,0.243578918322296,0.244622137398302,0.244622137398302
"TWIST1",-0.24464719377515,-0.24464719377515,-0.24464719377515,-0.24464719377515,-0.244622137398302,-0.244622137398302,-0.119197616891128,0.131946537232769,0.258015826281554,-0.131863246847158,-0.00407254156473911,0.244855962042373,-0.0166704562684688,0.244622137398302,0.24464719377515,0.24464719377515
