"","MIR340","MIR190","MIR1199","HAS2","ESRP1","CD44s","CD24","TWIST1","TGFB","MIR34","MIR129","ZEB1","MIR200","SNAIL1","HA","GRHL2"
"TWIST1",0.197619020814263,0.197619020814263,0.197619020814263,0.197619020814263,0.197619020814263,0.19789464095959,0.19789464095959,0.0149545242100972,0.122042158477505,0.0833710023103516,-0.0161958164883475,-0.197845186437089,-0.0833710023103516,-0.0339089470977135,-0.19789464095959,-0.197619020814263
"MIR129",0.19789464095959,0.19789464095959,0.19789464095959,0.19789464095959,0.19789464095959,0.197596578366446,0.197596578366446,0.115163729231018,0.121563150306189,0.0836789789041304,-0.0163789187640472,-0.197619020814263,-0.0836789789041304,-0.0337579933444542,-0.197596578366446,-0.19789464095959
"MIR340",0.158163697681528,0.158163697681528,0.158163697681528,0.158163697681528,0.158163697681528,0.157908812379914,0.157908812379914,0.146399016508606,0.121770516085711,0.098371174190114,0.0862818777784128,-0.158550948202827,-0.098371174190114,-0.134435743825618,-0.157908812379914,-0.158163697681528
"CD24",0.158163697681528,0.158163697681528,0.158163697681528,0.158163697681528,0.158163697681528,0.157908812379914,0.157908812379914,0.146399016508606,0.121770516085711,0.098371174190114,0.0862818777784128,-0.158550948202827,-0.098371174190114,-0.134435743825618,-0.157908812379914,-0.158163697681528
"HAS2",0.157908812379914,0.157908812379914,0.157908812379914,0.157908812379914,0.157908812379914,0.158163265306122,0.158163265306122,0.146307692307692,0.121867134443199,0.0985819223460677,0.0856426083720201,-0.158163697681528,-0.0985819223460677,-0.134341136446242,-0.258163265306122,-0.157908812379914
"TGFB",0.0844476286687171,0.0844476286687171,0.0844476286687171,0.0844476286687171,0.0844476286687171,0.0847903878803709,0.0847903878803709,0.0903116299780756,-0.020630754128864,-0.0240893880167544,0.0248373252122689,-0.0846977390115154,0.0240893880167544,-0.0348220625334759,-0.0847903878803709,-0.0844476286687171
"MIR34",0.0844476286687171,0.0844476286687171,0.0844476286687171,0.0844476286687171,0.0844476286687171,0.0847903878803709,0.0847903878803709,0.0903116299780756,-0.020630754128864,-0.0240893880167544,0.0248373252122689,-0.0846977390115154,0.0240893880167544,-0.0348220625334759,-0.0847903878803709,-0.0844476286687171
"MIR190",0.0847903878803709,0.0847903878803709,0.0847903878803709,0.0847903878803709,0.0847903878803709,0.0845397613139549,0.0845397613139549,0.0903556246987091,0.0788476716653512,-0.0236442453092393,0.0243533832853002,-0.0844476286687171,0.0236442453092393,-0.0348220625334759,-0.0845397613139549,-0.0847903878803709
"GRHL2",0.0212230054676115,0.0212230054676115,0.0212230054676115,0.0212230054676115,0.0212230054676115,0.0209682283975478,-0.0790317716024522,0.106231204482085,0.00703839481758074,-0.00379096445085806,0.0727659568591045,-0.021443561268229,0.00379096445085806,-0.0921199006235462,-0.0209682283975478,-0.0212230054676115
"ZEB1",-0.158550948202827,-0.158550948202827,-0.158550948202827,-0.158550948202827,-0.158550948202827,-0.158163697681528,-0.158163697681528,-0.146679477711472,-0.121737995760508,-0.0985722343253727,-0.0863130401342869,0.0585000161461904,0.0985722343253727,0.134338055776123,0.158163697681528,0.158550948202827
"SNAIL1",-0.0846977390115154,-0.0846977390115154,-0.0846977390115154,-0.0846977390115154,-0.0846977390115154,-0.0844476286687171,-0.0844476286687171,-0.0904787778279464,0.0210370599959208,0.0239363038204464,-0.0248525204713481,0.0846573268070296,-0.0239363038204464,-0.0652338971755336,0.0844476286687171,0.0846977390115154
"MIR200",-0.145275315373687,-0.145275315373687,-0.145275315373687,-0.145275315373687,-0.145275315373687,-0.145022150816725,-0.145022150816725,-0.147954090415183,-0.124541337247449,-0.0128581238898482,-0.0736681705429737,0.145363173395124,0.0128581238898482,0.135031205073841,0.145022150816725,0.145275315373687
"ESRP1",-0.157908812379914,-0.157908812379914,-0.157908812379914,-0.157908812379914,-0.157908812379914,-0.0581632653061225,-0.158163265306122,-0.146307692307692,-0.121867134443199,-0.0985819223460677,-0.0856426083720201,0.158163697681528,0.0985819223460677,0.134341136446242,0.158163265306122,0.157908812379914
"MIR1199",-0.158163697681528,-0.158163697681528,-0.158163697681528,-0.158163697681528,-0.158163697681528,-0.157908812379914,-0.157908812379914,-0.146399016508606,-0.121770516085711,-0.098371174190114,-0.0862818777784128,0.158550948202827,0.098371174190114,0.134435743825618,0.157908812379914,0.158163697681528
"HA",-0.158163697681528,-0.158163697681528,-0.158163697681528,-0.158163697681528,-0.158163697681528,-0.157908812379914,-0.157908812379914,-0.146399016508606,-0.121770516085711,-0.098371174190114,-0.0862818777784128,0.158550948202827,0.098371174190114,0.134435743825618,0.157908812379914,0.158163697681528
"CD44s",-0.158163697681528,-0.158163697681528,-0.158163697681528,-0.158163697681528,-0.158163697681528,-0.157908812379914,-0.157908812379914,-0.146399016508606,-0.121770516085711,-0.098371174190114,-0.0862818777784128,0.158550948202827,0.098371174190114,0.134435743825618,0.157908812379914,0.158163697681528
