"","CD44s","CD24","MIR340","MIR1199","GRHL2","MIR200","MIR34","TWIST1","MIR129","TGFB","ZEB1","SNAIL1","MIR190","HAS2","ESRP1","HA"
"TWIST1",0.280212077621289,0.280212077621289,0.28344435023467,0.28344435023467,0.28344435023467,0.169378503141912,0.133059404851633,0.0569328462387413,-0.051112066710918,0.00906047364526038,-0.281965575008504,-0.0498126033070628,-0.28344435023467,-0.28344435023467,-0.28344435023467,-0.280212077621289
"HAS2",0.178107606679035,0.178107606679035,0.17530862449074,0.17530862449074,0.17530862449074,0.168800308955386,0.146931128871982,0.0707525494113729,0.0707525494113729,0.00707732654994318,-0.178792056946135,-0.0962578325161567,-0.17530862449074,-0.17530862449074,-0.17530862449074,-0.0781076066790353
"MIR340",0.17530862449074,0.17530862449074,0.178792056946135,0.178792056946135,0.178792056946135,0.173647516542319,0.146404258482097,0.0796109968999574,0.0796109968999574,0.00485510432772096,-0.177213266359302,-0.0916220709267528,-0.178792056946135,-0.178792056946135,-0.178792056946135,-0.17530862449074
"MIR1199",0.17530862449074,0.17530862449074,0.178792056946135,0.178792056946135,0.178792056946135,0.173647516542319,0.146404258482097,0.0796109968999574,0.0796109968999574,0.00485510432772096,-0.177213266359302,-0.0916220709267528,-0.178792056946135,-0.178792056946135,-0.178792056946135,-0.17530862449074
"HA",0.17530862449074,0.17530862449074,0.178792056946135,0.178792056946135,0.178792056946135,0.173647516542319,0.146404258482097,0.0796109968999574,0.0796109968999574,0.00485510432772096,-0.177213266359302,-0.0916220709267528,-0.178792056946135,-0.178792056946135,-0.178792056946135,-0.17530862449074
"CD44s",0.17530862449074,0.17530862449074,0.178792056946135,0.178792056946135,0.178792056946135,0.173647516542319,0.146404258482097,0.0796109968999574,0.0796109968999574,0.00485510432772096,-0.177213266359302,-0.0916220709267528,-0.178792056946135,-0.178792056946135,-0.178792056946135,-0.17530862449074
"MIR34",0.143343105308854,0.143343105308854,0.14548535038169,0.14548535038169,0.14548535038169,0.137862980653938,0.00983116263100392,0.0432454945393464,0.0432454945393464,0.0746259504279065,-0.144234798667699,-0.0249394241296636,-0.14548535038169,-0.14548535038169,-0.14548535038169,-0.143343105308854
"MIR200",0.117849198329695,0.117849198329695,0.120836540101847,0.120836540101847,0.120836540101847,0.0363242471158928,0.196857466661256,-0.0285522695893813,-0.0285522695893813,0.00877038680011863,-0.119026664860237,0.0174342045516511,-0.120836540101847,-0.120836540101847,-0.120836540101847,-0.117849198329695
"ZEB1",-0.178792056946135,-0.178792056946135,-0.177213266359302,-0.177213266359302,-0.177213266359302,-0.170887509231042,-0.147226777217246,-0.0735343375045071,-0.0735343375045071,-0.00651364091308681,0.0786699231791041,0.0950085899759224,0.177213266359302,0.177213266359302,0.177213266359302,0.178792056946135
"TGFB",-0.143343105308854,-0.143343105308854,-0.14548535038169,-0.14548535038169,-0.14548535038169,-0.137862980653938,-0.00983116263100392,-0.0432454945393464,-0.0432454945393464,-0.0746259504279065,0.144234798667699,0.0249394241296636,0.14548535038169,0.14548535038169,0.14548535038169,0.143343105308854
"SNAIL1",-0.14548535038169,-0.14548535038169,-0.144234798667699,-0.144234798667699,-0.144234798667699,-0.13563875733111,-0.0105245439907518,-0.038307035338617,-0.038307035338617,-0.0759748859065348,0.145255206830964,-0.0724144810586008,0.144234798667699,0.144234798667699,0.144234798667699,0.14548535038169
"MIR190",-0.145598744406599,-0.145598744406599,-0.143343105308854,-0.143343105308854,-0.143343105308854,-0.134380393589261,-0.0106952631808861,-0.036074355076082,-0.036074355076082,0.0235248319334022,0.14548535038169,0.0286998698121149,0.143343105308854,0.143343105308854,0.143343105308854,0.145598744406599
"CD24",-0.17530862449074,-0.17530862449074,-0.178792056946135,-0.178792056946135,-0.178792056946135,-0.173647516542319,-0.146404258482097,-0.0796109968999574,-0.0796109968999574,-0.00485510432772096,0.177213266359302,0.0916220709267528,0.178792056946135,0.178792056946135,0.178792056946135,0.17530862449074
"ESRP1",-0.278107606679035,-0.178107606679035,-0.17530862449074,-0.17530862449074,-0.17530862449074,-0.168800308955386,-0.146931128871982,-0.0707525494113729,-0.0707525494113729,-0.00707732654994318,0.178792056946135,0.0962578325161567,0.17530862449074,0.17530862449074,0.17530862449074,0.178107606679035
"MIR129",-0.282596578366446,-0.282596578366446,-0.280212077621289,-0.280212077621289,-0.280212077621289,-0.164635663597717,-0.13382934633608,-0.14788472908393,0.0601363931561181,-0.0113428066968242,0.28344435023467,0.0544921696580989,0.280212077621289,0.280212077621289,0.280212077621289,0.282596578366446
"GRHL2",-0.30574491728942,-0.20574491728942,-0.307655745314898,-0.307655745314898,-0.307655745314898,-0.304193119808968,-0.252074129663186,-0.0952031119229197,-0.0952031119229197,-0.014057659273178,0.307391078354157,0.116763067335645,0.307655745314898,0.307655745314898,0.307655745314898,0.30574491728942
