"","MIR34","MIR200","TWIST1","MIR129","MIR190","MIR1199","GRHL2","ZEB1","TGFB","MIR340","HAS2","ESRP1","HA","CD44s","CD24","SNAIL1"
"MIR129",0.0967744036612909,0.0967744036612909,-0.13595949020999,0.0713266321279119,0.205637984721825,0.205637984721825,0.205637984721825,-0.203157403413882,0.00714401630073866,-0.205637984721825,-0.205637984721825,-0.205637984721825,-0.202210264900662,-0.202210264900662,-0.202210264900662,0.0394339804441404
"TGFB",-0.0481948966255722,-0.0481948966255722,-0.0668504786571775,-0.0668504786571775,0.0752740597761712,0.0752740597761712,0.0752740597761712,-0.0786431932173952,0.0853702787837072,-0.0752740597761712,-0.0752740597761712,-0.0752740597761712,-0.0797299295276707,-0.0797299295276707,-0.0797299295276707,0.0547045985807124
"SNAIL1",-0.0395411370578099,-0.0395411370578099,-0.0465648077864892,-0.0465648077864892,0.0786431932173952,0.0786431932173952,0.0786431932173952,-0.0760770182325498,0.0907497684635382,-0.0786431932173952,-0.0786431932173952,-0.0786431932173952,-0.0752740597761712,-0.0752740597761712,-0.0752740597761712,-0.0323367316615132
"MIR190",-0.0368044802862163,-0.0368044802862163,-0.0403216621151626,-0.0403216621151626,0.0797299295276707,0.0797299295276707,0.0797299295276707,-0.0752740597761712,0.192435238480246,-0.0797299295276707,-0.0797299295276707,-0.0797299295276707,-0.0737148919336858,-0.0737148919336858,-0.0737148919336858,0.0716962420347514
"MIR200",0.189354303652889,0.189354303652889,0.0836251990999644,0.0836251990999644,0.0654689278538412,0.0654689278538412,0.0654689278538412,-0.0663299364639273,-0.209267180968369,-0.0654689278538412,-0.0654689278538412,-0.0654689278538412,-0.0667347506386513,-0.0667347506386513,-0.0667347506386513,-0.125907077749411
"ESRP1",0.08085905818969,0.08085905818969,0.0654473291414468,0.0654473291414468,0.0521793727900598,0.0521793727900598,0.0521793727900598,-0.0541334934357693,-0.00589842881932131,-0.0521793727900598,-0.0521793727900598,-0.0521793727900598,-0.054978354978355,0.045021645021645,-0.054978354978355,-0.0910835652140342
"MIR340",0.0860223880105541,0.0860223880105541,0.0777760962647344,0.0777760962647344,0.0541334934357693,0.0541334934357693,0.0541334934357693,-0.0524951258456591,-0.00271002302221986,-0.0541334934357693,-0.0541334934357693,-0.0541334934357693,-0.0521793727900598,-0.0521793727900598,-0.0521793727900598,-0.0833257601052357
"MIR1199",0.0860223880105541,0.0860223880105541,0.0777760962647344,0.0777760962647344,0.0541334934357693,0.0541334934357693,0.0541334934357693,-0.0524951258456591,-0.00271002302221986,-0.0541334934357693,-0.0541334934357693,-0.0541334934357693,-0.0521793727900598,-0.0521793727900598,-0.0521793727900598,-0.0833257601052357
"CD44s",0.0860223880105541,0.0860223880105541,0.0777760962647344,0.0777760962647344,0.0541334934357693,0.0541334934357693,0.0541334934357693,-0.0524951258456591,-0.00271002302221986,-0.0541334934357693,-0.0541334934357693,-0.0541334934357693,-0.0521793727900598,-0.0521793727900598,-0.0521793727900598,-0.0833257601052357
"CD24",0.0860223880105541,0.0860223880105541,0.0777760962647344,0.0777760962647344,0.0541334934357693,0.0541334934357693,0.0541334934357693,-0.0524951258456591,-0.00271002302221986,-0.0541334934357693,-0.0541334934357693,-0.0541334934357693,-0.0521793727900598,-0.0521793727900598,-0.0521793727900598,-0.0833257601052357
"ZEB1",-0.0820194634994958,-0.0820194634994958,-0.0684585518583773,-0.0684585518583773,-0.0524951258456591,-0.0524951258456591,-0.0524951258456591,-0.0463334368517027,0.00514904741246377,0.0524951258456591,0.0524951258456591,0.0524951258456591,0.0541334934357693,0.0541334934357693,0.0541334934357693,0.0892521684412826
"HA",-0.0860223880105541,-0.0860223880105541,-0.0777760962647344,-0.0777760962647344,-0.0541334934357693,-0.0541334934357693,-0.0541334934357693,0.0524951258456591,0.00271002302221986,0.0541334934357693,0.0541334934357693,0.0541334934357693,0.0521793727900598,0.0521793727900598,0.0521793727900598,0.0833257601052357
"HAS2",-0.08085905818969,-0.08085905818969,-0.0654473291414468,-0.0654473291414468,-0.0521793727900598,-0.0521793727900598,-0.0521793727900598,0.0541334934357693,0.00589842881932131,0.0521793727900598,0.0521793727900598,0.0521793727900598,0.154978354978355,0.054978354978355,0.054978354978355,0.0910835652140342
"MIR34",0.0481948966255722,0.0481948966255722,0.0668504786571775,0.0668504786571775,-0.0752740597761712,-0.0752740597761712,-0.0752740597761712,0.0786431932173952,-0.0853702787837072,0.0752740597761712,0.0752740597761712,0.0752740597761712,0.0797299295276707,0.0797299295276707,0.0797299295276707,-0.0547045985807124
"GRHL2",-0.205075144619054,-0.205075144619054,-0.0923941095265661,-0.0923941095265661,-0.172102929978109,-0.172102929978109,-0.172102929978109,0.171397151416133,0.0123006108447414,0.172102929978109,0.172102929978109,0.172102929978109,0.171338598767918,0.171338598767918,0.0713385987679181,0.109052088374282
"TWIST1",-0.0902760975325567,-0.0902760975325567,0.0513883605028769,-0.0559198835011789,-0.203157403413882,-0.203157403413882,-0.203157403413882,0.205071112530096,-0.00305835836892688,0.203157403413882,0.203157403413882,0.203157403413882,0.205637984721825,0.205637984721825,0.205637984721825,-0.0296494326192467
