"","CD24","MIR340","MIR1199","HAS2","TGFB","MIR34","MIR200","MIR129","ZEB1","SNAIL1","TWIST1","MIR190","GRHL2","ESRP1","HA","CD44s"
"MIR129",0.191793598233996,0.195817443241447,0.195817443241447,0.195817443241447,0.122758964127301,0.0929546936559119,0.0929546936559119,0.0220150699951594,-0.193437087440896,0.0174591351117669,-0.099809405562237,-0.195817443241447,-0.195817443241447,-0.195817443241447,-0.191793598233996,-0.191793598233996
"MIR1199",0.106915549009333,0.111588446205595,0.111588446205595,0.111588446205595,0.0928868008063704,0.094351912719655,0.094351912719655,0.05412621555184,-0.107864883500799,-0.0228135451297252,-0.05412621555184,-0.111588446205595,-0.111588446205595,-0.111588446205595,-0.106915549009333,-0.106915549009333
"HA",0.106915549009333,0.111588446205595,0.111588446205595,0.111588446205595,0.0928868008063704,0.094351912719655,0.094351912719655,0.05412621555184,-0.107864883500799,-0.0228135451297252,-0.05412621555184,-0.111588446205595,-0.111588446205595,-0.111588446205595,-0.106915549009333,-0.106915549009333
"CD24",0.106915549009333,0.111588446205595,0.111588446205595,0.111588446205595,0.0928868008063704,0.094351912719655,0.094351912719655,0.05412621555184,-0.107864883500799,-0.0228135451297252,-0.05412621555184,-0.111588446205595,-0.111588446205595,-0.111588446205595,-0.106915549009333,-0.106915549009333
"MIR200",0.0839054918250491,0.0899308082807453,0.0899308082807453,0.0899308082807453,0.0922292695360654,0.00776055298312086,0.00776055298312086,-0.0903827974207912,-0.0855906220217399,0.0443966787304944,0.0903827974207912,-0.0899308082807453,-0.0899308082807453,-0.0899308082807453,-0.0839054918250491,-0.0839054918250491
"TGFB",0.0142878963510838,0.00906081837336313,0.00906081837336313,0.00906081837336313,-0.0584243153094705,-0.0522694783166632,-0.0522694783166632,-0.11026723130826,-0.0130184467388185,0.00489879670699154,0.11026723130826,-0.00906081837336313,-0.00906081837336313,-0.00906081837336313,-0.0142878963510838,-0.0142878963510838
"SNAIL1",0.00906081837336313,0.0130184467388185,0.0130184467388185,0.0130184467388185,-0.0652014971719766,-0.0465513333369244,-0.0465513333369244,-0.106514002315706,-0.0100178405557512,-0.089129502917279,0.106514002315706,-0.0130184467388185,-0.0130184467388185,-0.0130184467388185,-0.00906081837336313,-0.00906081837336313
"GRHL2",-0.0962846616249758,0.00842871417120258,0.00842871417120258,0.00842871417120258,-3.80836374766672e-05,0.00621031040804866,0.00621031040804866,0.0549565758789131,-0.00445870976008657,-0.0350448407299687,-0.0549565758789131,-0.00842871417120258,-0.00842871417120258,-0.00842871417120258,-0.00371533837502424,-0.00371533837502424
"MIR190",-0.00626784622577049,-0.0142878963510838,-0.0142878963510838,-0.0142878963510838,-0.0318554381281776,0.0445449430980196,0.0445449430980196,0.105031859552871,0.00906081837336313,-0.013394618434011,-0.105031859552871,0.0142878963510838,0.0142878963510838,0.0142878963510838,0.00626784622577049,0.00626784622577049
"ZEB1",-0.111588446205595,-0.107864883500799,-0.107864883500799,-0.107864883500799,-0.098772979668159,-0.0896178604440198,-0.0896178604440198,-0.0513527658790448,0.0102179445174027,0.0275351341886636,0.0513527658790448,0.107864883500799,0.107864883500799,0.107864883500799,0.111588446205595,0.111588446205595
"MIR34",-0.0142878963510838,-0.00906081837336313,-0.00906081837336313,-0.00906081837336313,0.0584243153094705,0.0522694783166632,0.0522694783166632,0.11026723130826,0.0130184467388185,-0.00489879670699154,-0.11026723130826,0.00906081837336313,0.00906081837336313,0.00906081837336313,0.0142878963510838,0.0142878963510838
"MIR340",-0.106915549009333,-0.111588446205595,-0.111588446205595,-0.111588446205595,-0.0928868008063704,-0.094351912719655,-0.094351912719655,-0.05412621555184,0.107864883500799,0.0228135451297252,0.05412621555184,0.111588446205595,0.111588446205595,0.111588446205595,0.106915549009333,0.106915549009333
"CD44s",-0.106915549009333,-0.111588446205595,-0.111588446205595,-0.111588446205595,-0.0928868008063704,-0.094351912719655,-0.094351912719655,-0.05412621555184,0.107864883500799,0.0228135451297252,0.05412621555184,0.111588446205595,0.111588446205595,0.111588446205595,0.106915549009333,0.106915549009333
"HAS2",-0.111750154607297,-0.106915549009333,-0.106915549009333,-0.106915549009333,-0.100133177617965,-0.0877133458071154,-0.0877133458071154,-0.0500166265107441,0.111588446205595,0.0291522395478898,0.0500166265107441,0.106915549009333,0.106915549009333,0.106915549009333,0.0117501546072975,0.111750154607297
"ESRP1",-0.111750154607297,-0.106915549009333,-0.106915549009333,-0.106915549009333,-0.100133177617965,-0.0877133458071154,-0.0877133458071154,-0.0500166265107441,0.111588446205595,0.0291522395478898,0.0500166265107441,0.106915549009333,0.106915549009333,0.106915549009333,0.111750154607297,0.211750154607297
"TWIST1",-0.195817443241447,-0.193437087440896,-0.193437087440896,-0.193437087440896,-0.127408161084191,-0.0894745581462106,-0.0894745581462106,-0.0195824254751489,0.195159425645489,-0.0134931683215926,-0.00259645217834876,0.193437087440896,0.193437087440896,0.193437087440896,0.195817443241447,0.195817443241447
