"","MIR190","MIR1199","GRHL2","ESRP1","CD44s","CD24","MIR34","MIR129","TGFB","SNAIL1","TWIST1","MIR200","ZEB1","HA","MIR340","HAS2"
"GRHL2",0.555069303535806,0.555069303535806,0.555069303535806,0.555069303535806,0.536980131561283,0.636980131561283,0.411486743214856,0.167858216054073,0.0189239462588924,-0.142418368262717,-0.167858216054073,-0.411486743214856,-0.567508650690636,-0.536980131561283,-0.555069303535806,-0.555069303535806
"MIR1199",0.418781692731183,0.418781692731183,0.418781692731183,0.418781692731183,0.401194606919798,0.401194606919798,0.295944423508004,0.148723155866427,0.0109530809804203,-0.118156132280625,-0.148723155866427,-0.295944423508004,-0.42941618781608,-0.401194606919798,-0.418781692731183,-0.418781692731183
"HA",0.418781692731183,0.418781692731183,0.418781692731183,0.418781692731183,0.401194606919798,0.401194606919798,0.295944423508004,0.148723155866427,0.0109530809804203,-0.118156132280625,-0.148723155866427,-0.295944423508004,-0.42941618781608,-0.401194606919798,-0.418781692731183,-0.418781692731183
"CD44s",0.418781692731183,0.418781692731183,0.418781692731183,0.418781692731183,0.401194606919798,0.401194606919798,0.295944423508004,0.148723155866427,0.0109530809804203,-0.118156132280625,-0.148723155866427,-0.295944423508004,-0.42941618781608,-0.401194606919798,-0.418781692731183,-0.418781692731183
"CD24",0.418781692731183,0.418781692731183,0.418781692731183,0.418781692731183,0.401194606919798,0.401194606919798,0.295944423508004,0.148723155866427,0.0109530809804203,-0.118156132280625,-0.148723155866427,-0.295944423508004,-0.42941618781608,-0.401194606919798,-0.418781692731183,-0.418781692731183
"HAS2",0.401194606919798,0.401194606919798,0.401194606919798,0.401194606919798,0.381601731601732,0.381601731601732,0.286460756490091,0.144613566825332,0.0100835157630289,-0.116831628969366,-0.144613566825332,-0.286460756490091,-0.418781692731183,-0.281601731601732,-0.401194606919798,-0.401194606919798
"ESRP1",0.401194606919798,0.401194606919798,0.401194606919798,0.401194606919798,0.481601731601731,0.381601731601732,0.286460756490091,0.144613566825332,0.0100835157630289,-0.116831628969366,-0.144613566825332,-0.286460756490091,-0.418781692731183,-0.381601731601732,-0.401194606919798,-0.401194606919798
"TWIST1",0.327703920017414,0.327703920017414,0.327703920017414,0.327703920017414,0.322266686241418,0.322266686241418,0.158877260410484,0.00168145442763879,0.0102204935477073,-0.0412919269267052,-0.0251767700701117,-0.158877260410484,-0.331809695939473,-0.322266686241418,-0.327703920017414,-0.327703920017414
"TGFB",0.0201542902463377,0.0201542902463377,0.0201542902463377,0.0201542902463377,0.0220394659104337,0.0220394659104337,-0.0353186063123813,0.0938815675765271,0.0637237442306982,0.00596096719061802,-0.0938815675765271,0.0353186063123813,-0.0203749758429244,-0.0220394659104337,-0.0201542902463377,-0.0201542902463377
"MIR34",0.0201542902463377,0.0201542902463377,0.0201542902463377,0.0201542902463377,0.0220394659104337,0.0220394659104337,-0.0353186063123813,0.0938815675765271,0.0637237442306982,0.00596096719061802,-0.0938815675765271,0.0353186063123813,-0.0203749758429244,-0.0220394659104337,-0.0201542902463377,-0.0201542902463377
"MIR190",0.0220394659104337,0.0220394659104337,0.0220394659104337,0.0220394659104337,0.0220394659104337,0.0220394659104337,-0.0341926571110197,0.0942775200622289,0.164340150110262,0.00661092076536268,-0.0942775200622289,0.0341926571110197,-0.0201542902463377,-0.0220394659104337,-0.0220394659104337,-0.0220394659104337
"SNAIL1",-0.0203749758429244,-0.0203749758429244,-0.0203749758429244,-0.0203749758429244,-0.0201542902463377,-0.0201542902463377,0.0354356706977933,-0.0941702774990313,-0.0637074919960159,-0.106560535501434,0.0941702774990313,-0.0354356706977933,0.0196778653155451,0.0201542902463377,0.0203749758429244,0.0203749758429244
"MIR129",-0.322266686241418,-0.322266686241418,-0.322266686241418,-0.322266686241418,-0.314815121412804,-0.314815121412804,-0.156074673407096,-0.000347423561826604,-0.0101923165964534,0.0405097120234529,-0.0761307613106414,0.156074673407096,0.327703920017414,0.314815121412804,0.322266686241418,0.322266686241418
"ZEB1",-0.42941618781608,-0.42941618781608,-0.42941618781608,-0.42941618781608,-0.418781692731183,-0.418781692731183,-0.301957949371649,-0.150998007845237,-0.0118311297609081,0.1200447679042,0.150998007845237,0.301957949371649,0.338186687968876,0.418781692731183,0.42941618781608,0.42941618781608
"MIR200",-0.331756246513837,-0.331756246513837,-0.331756246513837,-0.331756246513837,-0.321275233855609,-0.321275233855609,-0.30910279064707,0.0371424028345457,0.1804644766728,0.014661949353617,-0.0371424028345457,0.30910279064707,0.338802459833113,0.321275233855609,0.331756246513837,0.331756246513837
"MIR340",-0.418781692731183,-0.418781692731183,-0.418781692731183,-0.418781692731183,-0.401194606919798,-0.401194606919798,-0.295944423508004,-0.148723155866427,-0.0109530809804203,0.118156132280625,0.148723155866427,0.295944423508004,0.42941618781608,0.401194606919798,0.418781692731183,0.418781692731183
