"","MIR129","MIR200","CD44s","CD24","MIR340","HAS2","ESRP1","ZEB1","TGFB","MIR190","MIR1199","GRHL2","HA","SNAIL1","MIR34","TWIST1"
"GRHL2",0.124802940313606,0.206851662867472,0.182045151474471,0.0820451514744708,0.182299928544535,0.182299928544535,0.182299928544535,-0.18199115042367,-0.01018385016074,-0.182299928544535,-0.182299928544535,-0.182299928544535,-0.182045151474471,-0.0961506963987804,-0.206851662867472,-0.124802940313606
"MIR129",0.0247741070055497,0.0841864469365905,0.178460264900662,0.178460264900662,0.179950577866385,0.179950577866385,0.179950577866385,-0.178923266415621,0.00204552511632862,-0.179950577866385,-0.179950577866385,-0.179950577866385,-0.178460264900662,0.0117337661769695,-0.0841864469365905,-0.10239933839201
"MIR200",0.146046075124268,0.195591875829795,0.100556590912104,0.100556590912104,0.100202160532358,0.100202160532358,0.100202160532358,-0.10046573459667,-0.199241727459028,-0.100202160532358,-0.100202160532358,-0.100202160532358,-0.100556590912104,-0.0957996271214602,-0.195591875829795,-0.146046075124268
"ESRP1",0.104260884213825,0.0857290019145373,0.164502164502165,0.0645021645021645,0.061194276461452,0.061194276461452,0.061194276461452,-0.0626386265039329,-0.00274314371677455,-0.061194276461452,-0.061194276461452,-0.061194276461452,-0.0645021645021645,-0.0724488529148078,-0.0857290019145373,-0.104260884213825
"MIR340",0.105082802022045,0.0873096130841896,0.061194276461452,0.061194276461452,0.0626386265039329,0.0626386265039329,0.0626386265039329,-0.0617151829531435,-0.00206681521435909,-0.0626386265039329,-0.0626386265039329,-0.0626386265039329,-0.061194276461452,-0.0713135643623007,-0.0873096130841896,-0.105082802022045
"MIR1199",0.105082802022045,0.0873096130841896,0.061194276461452,0.061194276461452,0.0626386265039329,0.0626386265039329,0.0626386265039329,-0.0617151829531435,-0.00206681521435909,-0.0626386265039329,-0.0626386265039329,-0.0626386265039329,-0.061194276461452,-0.0713135643623007,-0.0873096130841896,-0.105082802022045
"HA",0.105082802022045,0.0873096130841896,0.061194276461452,0.061194276461452,0.0626386265039329,0.0626386265039329,0.0626386265039329,-0.0617151829531435,-0.00206681521435909,-0.0626386265039329,-0.0626386265039329,-0.0626386265039329,-0.061194276461452,-0.0713135643623007,-0.0873096130841896,-0.105082802022045
"CD44s",0.105082802022045,0.0873096130841896,0.061194276461452,0.061194276461452,0.0626386265039329,0.0626386265039329,0.0626386265039329,-0.0617151829531435,-0.00206681521435909,-0.0626386265039329,-0.0626386265039329,-0.0626386265039329,-0.061194276461452,-0.0713135643623007,-0.0873096130841896,-0.105082802022045
"ZEB1",-0.104615366683933,-0.0863043124078964,-0.0626386265039329,-0.0626386265039329,-0.0617151829531435,-0.0617151829531435,-0.0617151829531435,-0.0376838187785464,0.00248957944200137,0.0617151829531435,0.0617151829531435,0.0617151829531435,0.0626386265039329,0.0719322553424375,0.0863043124078964,0.104615366683933
"TGFB",-0.119644848971864,-0.0553154990193723,0.0122535462618138,0.0122535462618138,0.0102826807948044,0.0102826807948044,0.0102826807948044,-0.0114155335239496,0.0734381155752939,-0.0102826807948044,-0.0102826807948044,-0.0102826807948044,-0.0122535462618138,0.0196324914334296,0.0553154990193723,0.119644848971864
"MIR34",-0.119644848971864,-0.0553154990193723,0.0122535462618138,0.0122535462618138,0.0102826807948044,0.0102826807948044,0.0102826807948044,-0.0114155335239496,0.0734381155752939,-0.0102826807948044,-0.0102826807948044,-0.0102826807948044,-0.0122535462618138,0.0196324914334296,0.0553154990193723,0.119644848971864
"SNAIL1",-0.119143405422251,-0.0541538601179765,0.0102826807948044,0.0102826807948044,0.0114155335239496,0.0114155335239496,0.0114155335239496,-0.0107790413032989,0.0739419348504442,-0.0114155335239496,-0.0114155335239496,-0.0114155335239496,-0.0102826807948044,-0.0796400323494468,0.0541538601179765,0.119143405422251
"MIR190",0.118808949279827,0.0532992644029806,-0.0092460274648213,-0.0092460274648213,-0.0122535462618138,-0.0122535462618138,-0.0122535462618138,0.0102826807948044,-0.174339016476195,0.0122535462618138,0.0122535462618138,0.0122535462618138,0.0092460274648213,-0.0208395480722411,-0.0532992644029806,-0.118808949279827
"CD24",-0.105082802022045,-0.0873096130841896,-0.061194276461452,-0.061194276461452,-0.0626386265039329,-0.0626386265039329,-0.0626386265039329,0.0617151829531435,0.00206681521435909,0.0626386265039329,0.0626386265039329,0.0626386265039329,0.061194276461452,0.0713135643623007,0.0873096130841896,0.105082802022045
"HAS2",-0.104260884213825,-0.0857290019145373,-0.0645021645021645,-0.0645021645021645,-0.061194276461452,-0.061194276461452,-0.061194276461452,0.0626386265039329,0.00274314371677455,0.061194276461452,0.061194276461452,0.061194276461452,-0.0354978354978355,0.0724488529148078,0.0857290019145373,0.104260884213825
"TWIST1",-0.024329430050279,-0.0831393265177424,-0.179950577866385,-0.179950577866385,-0.178923266415621,-0.178923266415621,-0.178923266415621,0.179497379150485,-0.00156651694501275,0.178923266415621,0.178923266415621,0.178923266415621,0.179950577866385,-0.0111162280954545,0.0831393265177424,0.00198092835016894
