"","MIR200","TGFB","MIR34","MIR340","MIR190","MIR1199","HAS2","GRHL2","SNAIL1","ZEB1","TWIST1","MIR129","ESRP1","HA","CD44s","CD24"
"TWIST1",0.0761602801773586,0.172120410351853,0.318428612371771,0.361118884759299,0.361118884759299,0.361118884759299,0.361118884759299,0.361118884759299,-0.253062259411939,-0.362197520806619,0.306250553873115,0.401578531103519,-0.361118884759299,-0.357585935623744,-0.357585935623744,-0.357585935623744
"MIR129",0.0742508252959296,0.17130327876549,0.315995597280918,0.357585935623744,0.357585935623744,0.357585935623744,0.357585935623744,0.357585935623744,-0.251813460180431,-0.361118884759299,0.404367708684831,0.399721350878565,-0.357585935623744,-0.355201434878587,-0.355201434878587,-0.355201434878587
"TGFB",-0.00600741934584475,0.0677477338127414,0.337478411265279,0.314632935136136,0.314632935136136,0.314632935136136,0.314632935136136,0.314632935136136,-0.247021198377646,-0.316354282789513,0.307845069225978,0.307845069225978,-0.314632935136136,-0.312062241048733,-0.312062241048733,-0.312062241048733
"MIR190",-0.00687151989572692,0.165708852826492,0.335200327997408,0.312062241048733,0.312062241048733,0.312062241048733,0.312062241048733,0.312062241048733,-0.246185543781545,-0.314632935136136,0.305337370149867,0.305337370149867,-0.312062241048733,-0.308302842552492,-0.308302842552492,-0.308302842552492
"MIR340",0.121325267478908,0.113319189849748,0.115543091016587,0.108815929362918,0.108815929362918,0.108815929362918,0.108815929362918,0.108815929362918,0.0616707685016937,-0.108071216821959,-0.0951513223816205,-0.0951513223816205,-0.108815929362918,-0.105842267510752,-0.105842267510752,-0.105842267510752
"MIR1199",0.121325267478908,0.113319189849748,0.115543091016587,0.108815929362918,0.108815929362918,0.108815929362918,0.108815929362918,0.108815929362918,0.0616707685016937,-0.108071216821959,-0.0951513223816205,-0.0951513223816205,-0.108815929362918,-0.105842267510752,-0.105842267510752,-0.105842267510752
"HA",0.121325267478908,0.113319189849748,0.115543091016587,0.108815929362918,0.108815929362918,0.108815929362918,0.108815929362918,0.108815929362918,0.0616707685016937,-0.108071216821959,-0.0951513223816205,-0.0951513223816205,-0.108815929362918,-0.105842267510752,-0.105842267510752,-0.105842267510752
"CD24",0.121325267478908,0.113319189849748,0.115543091016587,0.108815929362918,0.108815929362918,0.108815929362918,0.108815929362918,0.108815929362918,0.0616707685016937,-0.108071216821959,-0.0951513223816205,-0.0951513223816205,-0.108815929362918,-0.105842267510752,-0.105842267510752,-0.105842267510752
"GRHL2",0.0216140777889992,0.0154439847242745,0.0113690874940637,0.0141532137810525,0.0141532137810525,0.0141532137810525,0.0141532137810525,0.0141532137810525,0.0556452511968771,-0.0128298789773472,-0.0778053466124816,-0.0778053466124816,-0.0141532137810525,-0.0113506660103519,-0.0113506660103519,-0.111350666010352
"ZEB1",-0.120502748743759,-0.116083417492025,-0.115451700046015,-0.108071216821959,-0.108071216821959,-0.108071216821959,-0.108071216821959,-0.108071216821959,-0.0621917714323352,0.00887594331681489,0.094683887043509,0.094683887043509,0.108071216821959,0.108815929362918,0.108815929362918,0.108815929362918
"MIR200",-0.184080330365136,-0.057059749405736,0.0737082603338376,-0.014824859827807,-0.014824859827807,-0.014824859827807,-0.014824859827807,-0.014824859827807,-0.202080206537665,0.0133312734633719,0.251542034895321,0.251542034895321,0.014824859827807,0.0145716952708449,0.0145716952708449,0.0145716952708449
"CD44s",-0.121325267478908,-0.113319189849748,-0.115543091016587,-0.108815929362918,-0.108815929362918,-0.108815929362918,-0.108815929362918,-0.108815929362918,-0.0616707685016937,0.108071216821959,0.0951513223816205,0.0951513223816205,0.108815929362918,0.105842267510752,0.105842267510752,0.105842267510752
"HAS2",-0.118690915529488,-0.115927885501922,-0.114489350236819,-0.105842267510752,-0.105842267510752,-0.105842267510752,-0.105842267510752,-0.105842267510752,-0.0626168422954496,0.108815929362918,0.0946947013770543,0.0946947013770543,0.105842267510752,0.00813234384662956,0.10813234384663,0.10813234384663
"ESRP1",-0.118690915529488,-0.115927885501922,-0.114489350236819,-0.105842267510752,-0.105842267510752,-0.105842267510752,-0.105842267510752,-0.105842267510752,-0.0626168422954496,0.108815929362918,0.0946947013770543,0.0946947013770543,0.105842267510752,0.10813234384663,0.20813234384663,0.10813234384663
"MIR34",0.00600741934584475,-0.0677477338127414,-0.337478411265279,-0.314632935136136,-0.314632935136136,-0.314632935136136,-0.314632935136136,-0.314632935136136,0.247021198377646,0.316354282789513,-0.307845069225978,-0.307845069225978,0.314632935136136,0.312062241048733,0.312062241048733,0.312062241048733
"SNAIL1",0.00527801817520089,-0.0692591916381924,-0.338856169032051,-0.316354282789513,-0.316354282789513,-0.316354282789513,-0.316354282789513,-0.316354282789513,0.147412916340712,0.317415103157264,-0.30925822832034,-0.30925822832034,0.316354282789513,0.314632935136136,0.314632935136136,0.314632935136136
