"","MIR200","MIR190","MIR1199","ESRP1","TWIST1","MIR34","ZEB1","SNAIL1","MIR129","HA","CD44s","CD24","MIR340","HAS2","GRHL2","TGFB"
"TWIST1",0.0699299813145508,0.199649733682013,0.199649733682013,0.199649733682013,0.201369661587222,0.126811014980335,-0.199736720460023,-0.0840535850090787,-0.33541795733256,-0.19932400078299,-0.19932400078299,-0.19932400078299,-0.199649733682013,-0.199649733682013,-0.199649733682013,-0.114604099638063
"GRHL2",0.147067558599737,0.13639830089715,0.13639830089715,0.13639830089715,0.0727506613272504,0.15441071067121,-0.136751190178138,-0.0512622852726567,-0.0727506613272504,-0.136653077967214,-0.136653077967214,-0.0366530779672141,-0.13639830089715,-0.13639830089715,-0.13639830089715,-0.143069221737849
"TGFB",-0.0527046167838569,0.089322479257803,0.089322479257803,0.089322479257803,0.195523405681593,0.144877907984164,-0.0892194926460625,-0.100308283965845,-0.195523405681593,-0.0886369608344953,-0.0886369608344953,-0.0886369608344953,-0.089322479257803,-0.089322479257803,-0.089322479257803,0.0390926518462884
"MIR34",-0.0527046167838569,0.089322479257803,0.089322479257803,0.089322479257803,0.195523405681593,0.144877907984164,-0.0892194926460625,-0.100308283965845,-0.195523405681593,-0.0886369608344953,-0.0886369608344953,-0.0886369608344953,-0.089322479257803,-0.089322479257803,-0.089322479257803,0.0390926518462884
"MIR340",0.0834164175957522,0.0621100784545174,0.0621100784545174,0.0621100784545174,0.0543258367203573,0.0517370855892339,-0.0624973289758161,-0.0272281978421039,-0.0543258367203573,-0.0618551931529031,-0.0618551931529031,-0.0618551931529031,-0.0621100784545174,-0.0621100784545174,-0.0621100784545174,-0.0764743104931834
"HA",0.0834164175957522,0.0621100784545174,0.0621100784545174,0.0621100784545174,0.0543258367203573,0.0517370855892339,-0.0624973289758161,-0.0272281978421039,-0.0543258367203573,-0.0618551931529031,-0.0618551931529031,-0.0618551931529031,-0.0621100784545174,-0.0621100784545174,-0.0621100784545174,-0.0764743104931834
"CD24",0.0834164175957522,0.0621100784545174,0.0621100784545174,0.0621100784545174,0.0543258367203573,0.0517370855892339,-0.0624973289758161,-0.0272281978421039,-0.0543258367203573,-0.0618551931529031,-0.0618551931529031,-0.0618551931529031,-0.0621100784545174,-0.0621100784545174,-0.0621100784545174,-0.0764743104931834
"HAS2",0.0826787990499145,0.0618551931529031,0.0618551931529031,0.0618551931529031,0.0553304029304029,0.0521585819011412,-0.0621100784545174,-0.026282124048348,-0.0553304029304029,0.0363636363636364,-0.0636363636363636,-0.0636363636363636,-0.0618551931529031,-0.0618551931529031,-0.0618551931529031,-0.0775371124255505
"ESRP1",0.0826787990499145,0.0618551931529031,0.0618551931529031,0.0618551931529031,0.0553304029304029,0.0521585819011412,-0.0621100784545174,-0.026282124048348,-0.0553304029304029,-0.0636363636363636,-0.163636363636364,-0.0636363636363636,-0.0618551931529031,-0.0618551931529031,-0.0618551931529031,-0.0775371124255505
"MIR200",0.177833103492674,0.0545423937626442,0.0545423937626442,0.0545423937626442,-0.13615846509804,-0.0484656986523396,-0.0544896789497818,0.0844059620408029,0.13615846509804,-0.0542892292056822,-0.0542892292056822,-0.0542892292056822,-0.0545423937626442,-0.0545423937626442,-0.0545423937626442,-0.269941035727305
"ZEB1",-0.0832884702369513,-0.0624973289758161,-0.0624973289758161,-0.0624973289758161,-0.0546062979232242,-0.0523402659950098,-0.0372887563863108,0.0267723202777926,0.0546062979232242,0.0621100784545174,0.0621100784545174,0.0621100784545174,0.0624973289758161,0.0624973289758161,0.0624973289758161,0.0770271560216387
"MIR1199",-0.0834164175957522,-0.0621100784545174,-0.0621100784545174,-0.0621100784545174,-0.0543258367203573,-0.0517370855892339,0.0624973289758161,0.0272281978421039,0.0543258367203573,0.0618551931529031,0.0618551931529031,0.0618551931529031,0.0621100784545174,0.0621100784545174,0.0621100784545174,0.0764743104931834
"CD44s",-0.0834164175957522,-0.0621100784545174,-0.0621100784545174,-0.0621100784545174,-0.0543258367203573,-0.0517370855892339,0.0624973289758161,0.0272281978421039,0.0543258367203573,0.0618551931529031,0.0618551931529031,0.0618551931529031,0.0621100784545174,0.0621100784545174,0.0621100784545174,0.0764743104931834
"MIR190",0.0535163476034431,-0.0886369608344953,-0.0886369608344953,-0.0886369608344953,-0.195039463754624,-0.144851723119016,0.089322479257803,0.0991012273270338,0.195039463754624,0.0888875874009114,0.0888875874009114,0.0888875874009114,0.0886369608344953,0.0886369608344953,0.0886369608344953,-0.138002087597829
"SNAIL1",0.0532359089945727,-0.0892194926460625,-0.0892194926460625,-0.0892194926460625,-0.19648070700358,-0.145283130856744,0.089461965872977,0.000172381815393617,0.19648070700358,0.089322479257803,0.089322479257803,0.089322479257803,0.0892194926460625,0.0892194926460625,0.0892194926460625,-0.0383287968162218
"MIR129",-0.0695912070613941,-0.19932400078299,-0.19932400078299,-0.19932400078299,-0.300794347779691,-0.126749419661579,0.199649733682013,0.0829420164623517,0.334868650505461,0.199025938189845,0.199025938189845,0.199025938189845,0.19932400078299,0.19932400078299,0.19932400078299,0.114632276589317
