"","MIR34","CD44s","CD24","MIR340","MIR190","MIR1199","HAS2","ESRP1","TWIST1","ZEB1","SNAIL1","GRHL2","MIR129","MIR200","HA","TGFB"
"SNAIL1",-0.0856214607784693,0.31449893918973,0.31449893918973,0.328372707028482,0.328372707028482,0.328372707028482,0.328372707028482,0.328372707028482,-0.154439741744356,-0.326301581548587,0.364105448086409,-0.328372707028482,0.380086745507159,-0.44582985826387,-0.31449893918973,-0.429478819643348
"MIR190",-0.0890705722438208,0.289258460099975,0.289258460099975,0.314070490175163,0.314070490175163,0.314070490175163,0.314070490175163,0.314070490175163,-0.150611164856913,-0.31449893918973,0.455753738012184,-0.314070490175163,0.369685380086448,-0.431771931588802,-0.289258460099975,-0.505905912650287
"MIR340",0.184870935869472,0.109516492231868,0.109516492231868,0.153781572945547,0.153781572945547,0.153781572945547,0.153781572945547,0.153781572945547,0.079637859749705,-0.115562925343522,-0.10060689323975,-0.153781572945547,-0.122415741443622,-0.146339004073971,-0.109516492231868,-0.125314952560741
"MIR1199",0.184870935869472,0.109516492231868,0.109516492231868,0.153781572945547,0.153781572945547,0.153781572945547,0.153781572945547,0.153781572945547,0.079637859749705,-0.115562925343522,-0.10060689323975,-0.153781572945547,-0.122415741443622,-0.146339004073971,-0.109516492231868,-0.125314952560741
"HA",0.184870935869472,0.109516492231868,0.109516492231868,0.153781572945547,0.153781572945547,0.153781572945547,0.153781572945547,0.153781572945547,0.079637859749705,-0.115562925343522,-0.10060689323975,-0.153781572945547,-0.122415741443622,-0.146339004073971,-0.109516492231868,-0.125314952560741
"GRHL2",-0.0707817460555176,-0.0136400710013275,-0.113640071001328,-0.0605190518930473,-0.0605190518930473,-0.0605190518930473,-0.0605190518930473,-0.0605190518930473,-0.0712558091740469,0.0207307854616401,0.0714371641080048,0.0605190518930473,0.093357617805378,0.0397854119862615,0.0136400710013275,0.0192658396965404
"ZEB1",-0.154912975715935,-0.153781572945547,-0.153781572945547,-0.115562925343522,-0.115562925343522,-0.115562925343522,-0.115562925343522,-0.115562925343522,-0.0663315337914626,0.0472935966280282,0.114478596268079,0.115562925343522,0.116713030318661,0.129395118129902,0.153781572945547,0.154550724918465
"MIR129",0.0984070323345589,-0.065546357615894,-0.065546357615894,-0.0914778032194708,-0.0914778032194708,-0.0914778032194708,-0.0914778032194708,-0.0914778032194708,0.132191050122429,0.0801773772610644,-0.336433209351764,0.0914778032194708,-0.332739707314429,0.199725725047313,0.065546357615894,0.143499044342322
"TWIST1",0.109401796732465,-0.0914778032194708,-0.0914778032194708,-0.0801773772610644,-0.0801773772610644,-0.0801773772610644,-0.0801773772610644,-0.0801773772610644,0.0385718032605045,0.096513494171294,-0.333071057574627,0.0801773772610644,-0.337840413566064,0.196830745065791,0.0914778032194708,0.162405778633672
"CD44s",-0.184870935869472,-0.109516492231868,-0.109516492231868,-0.153781572945547,-0.153781572945547,-0.153781572945547,-0.153781572945547,-0.153781572945547,-0.079637859749705,0.115562925343522,0.10060689323975,0.153781572945547,0.122415741443622,0.146339004073971,0.109516492231868,0.125314952560741
"CD24",-0.184870935869472,-0.109516492231868,-0.109516492231868,-0.153781572945547,-0.153781572945547,-0.153781572945547,-0.153781572945547,-0.153781572945547,-0.079637859749705,0.115562925343522,0.10060689323975,0.153781572945547,0.122415741443622,0.146339004073971,0.109516492231868,0.125314952560741
"HAS2",-0.149886741981168,-0.164223871366729,-0.164223871366729,-0.109516492231868,-0.109516492231868,-0.109516492231868,-0.109516492231868,-0.109516492231868,-0.0638387729917142,0.153781572945547,0.117447006768605,0.109516492231868,0.115931723178782,0.126423303336352,0.0642238713667285,0.161160363188761
"ESRP1",-0.149886741981168,-0.0642238713667285,-0.164223871366729,-0.109516492231868,-0.109516492231868,-0.109516492231868,-0.109516492231868,-0.109516492231868,-0.0638387729917142,0.153781572945547,0.117447006768605,0.109516492231868,0.115931723178782,0.126423303336352,0.164223871366729,0.161160363188761
"MIR200",-0.0717054627095991,-0.227470604785222,-0.227470604785222,-0.263875668076361,-0.263875668076361,-0.263875668076361,-0.263875668076361,-0.263875668076361,0.099212491273483,0.24150701581841,-0.218205211591282,0.263875668076361,-0.205890815512137,0.363849364586475,0.227470604785222,0.441483822083702
"TGFB",0.0933387052629358,-0.314070490175163,-0.314070490175163,-0.31449893918973,-0.31449893918973,-0.31449893918973,-0.31449893918973,-0.31449893918973,0.155670557729768,0.328372707028482,-0.457750023991757,0.31449893918973,-0.377032498432246,0.436563761910876,0.314070490175163,0.42634213834967
"MIR34",0.0933387052629358,-0.314070490175163,-0.314070490175163,-0.31449893918973,-0.31449893918973,-0.31449893918973,-0.31449893918973,-0.31449893918973,0.155670557729768,0.328372707028482,-0.457750023991757,0.31449893918973,-0.377032498432246,0.436563761910876,0.314070490175163,0.42634213834967
