"","MIR200","TWIST1","MIR129","MIR340","MIR190","GRHL2","CD44s","CD24","TGFB","ZEB1","SNAIL1","MIR34","HA","MIR1199","HAS2","ESRP1"
"TWIST1",0.147600622271108,0.175614832433313,0.305442027763657,0.242859807263019,0.242859807263019,0.242859807263019,0.242433848856604,0.242433848856604,-0.0129160113402204,-0.242981588752232,-0.059247782291466,-0.104398040744812,-0.242433848856604,-0.242859807263019,-0.242859807263019,-0.242859807263019
"MIR129",0.146953871424173,0.274778012349631,0.304631146256987,0.242433848856604,0.242433848856604,0.242433848856604,0.241986754966887,0.241986754966887,-0.0131696039015053,-0.242859807263019,-0.0594810744555939,-0.104521231382324,-0.241986754966887,-0.242433848856604,-0.242433848856604,-0.242433848856604
"TGFB",0.140962498019551,0.140104402057136,0.140104402057136,0.140339649902482,0.140339649902482,0.140339649902482,0.140082580493742,0.140082580493742,-0.0798507923796047,-0.140442636514222,-0.041629225170689,-0.000691528741347372,-0.140082580493742,-0.140339649902482,-0.140339649902482,-0.140339649902482
"MIR190",0.140622094772627,0.139620460130168,0.139620460130168,0.140082580493742,0.140082580493742,0.140082580493742,0.139831953927326,0.139831953927326,0.0201017917835058,-0.140339649902482,-0.0417220756813668,-0.000717713606495316,-0.139831953927326,-0.140082580493742,-0.140082580493742,-0.140082580493742
"MIR340",0.112860189634193,0.110548928696874,0.110548928696874,0.105951515098571,0.105951515098571,0.105951515098571,0.105696629796957,0.105696629796957,-0.00363218637493265,-0.10598130360021,-0.0772434069871801,-0.0953036909635464,-0.105696629796957,-0.105951515098571,-0.105951515098571,-0.105951515098571
"MIR1199",0.112860189634193,0.110548928696874,0.110548928696874,0.105951515098571,0.105951515098571,0.105951515098571,0.105696629796957,0.105696629796957,-0.00363218637493265,-0.10598130360021,-0.0772434069871801,-0.0953036909635464,-0.105696629796957,-0.105951515098571,-0.105951515098571,-0.105951515098571
"HA",0.112860189634193,0.110548928696874,0.110548928696874,0.105951515098571,0.105951515098571,0.105951515098571,0.105696629796957,0.105696629796957,-0.00363218637493265,-0.10598130360021,-0.0772434069871801,-0.0953036909635464,-0.105696629796957,-0.105951515098571,-0.105951515098571,-0.105951515098571
"CD44s",0.112860189634193,0.110548928696874,0.110548928696874,0.105951515098571,0.105951515098571,0.105951515098571,0.105696629796957,0.105696629796957,-0.00363218637493265,-0.10598130360021,-0.0772434069871801,-0.0953036909635464,-0.105696629796957,-0.105951515098571,-0.105951515098571,-0.105951515098571
"HAS2",0.112438693322286,0.110092307692308,0.110092307692308,0.105696629796957,0.105696629796957,0.105696629796957,0.105442176870748,0.105442176870748,-0.00392204144739642,-0.105951515098571,-0.0774326217459312,-0.0954090650415232,-0.0054421768707483,-0.105696629796957,-0.105696629796957,-0.105696629796957
"MIR200",-0.00736276391629129,-0.0814902900530775,-0.0814902900530775,0.0669386814018164,0.0669386814018164,0.0669386814018164,0.066888048490424,0.066888048490424,-0.00684456697373876,-0.066850823380379,0.0313438185263567,-0.165161611184724,-0.066888048490424,-0.0669386814018164,-0.0669386814018164,-0.0669386814018164
"ZEB1",-0.11280535505185,-0.110580091052748,-0.110580091052748,-0.10598130360021,-0.10598130360021,-0.10598130360021,-0.105951515098571,-0.105951515098571,0.00379478800094891,0.00603223565684604,0.0774062204030055,0.0953950819341185,0.105951515098571,0.10598130360021,0.10598130360021,0.10598130360021
"ESRP1",-0.112438693322286,-0.110092307692308,-0.110092307692308,-0.105696629796957,-0.105696629796957,-0.105696629796957,-0.205442176870748,-0.105442176870748,0.00392204144739642,0.105951515098571,0.0774326217459312,0.0954090650415232,0.105442176870748,0.105696629796957,0.105696629796957,0.105696629796957
"CD24",-0.112860189634193,-0.110548928696874,-0.110548928696874,-0.105951515098571,-0.105951515098571,-0.105951515098571,-0.105696629796957,-0.105696629796957,0.00363218637493265,0.10598130360021,0.0772434069871801,0.0953036909635464,0.105696629796957,0.105951515098571,0.105951515098571,0.105951515098571
"MIR34",-0.140962498019551,-0.140104402057136,-0.140104402057136,-0.140339649902482,-0.140339649902482,-0.140339649902482,-0.140082580493742,-0.140082580493742,0.0798507923796047,0.140442636514222,0.041629225170689,0.000691528741347372,0.140082580493742,0.140339649902482,0.140339649902482,0.140339649902482
"SNAIL1",-0.140989512877723,-0.140210768870691,-0.140210768870691,-0.140442636514222,-0.140442636514222,-0.140442636514222,-0.140339649902482,-0.140339649902482,0.0799645580223805,0.140503254820951,-0.0582508611671478,0.000790583221311352,0.140339649902482,0.140442636514222,0.140442636514222,0.140442636514222
"GRHL2",-0.225129253769618,-0.130438511946801,-0.130438511946801,-0.20668716918832,-0.20668716918832,-0.20668716918832,-0.206432392118256,-0.106432392118256,0.0115159694107063,0.206775391508567,0.102027173221331,0.183651641441456,0.206432392118256,0.20668716918832,0.20668716918832,0.20668716918832
