"","MIR340","MIR190","HA","CD44s","MIR34","SNAIL1","TWIST1","MIR129","ZEB1","TGFB","MIR200","CD24","MIR1199","HAS2","GRHL2","ESRP1"
"MIR200",0.126957480194737,0.126957480194737,0.126704315637775,0.126704315637775,0.0241436852429348,0.0878645570285391,0.0697803084609209,0.0697803084609209,-0.127994204847698,-0.195072560844988,-0.0241436852429348,-0.126704315637775,-0.126957480194737,-0.126957480194737,-0.126957480194737,-0.126957480194737
"MIR190",0.108392802050438,0.108392802050438,0.105385283253446,0.105385283253446,-0.00170682425587381,0.00838515156717786,0.0328889986981986,0.0328889986981986,-0.110106598108707,-0.171024847975394,0.00170682425587381,-0.105385283253446,-0.108392802050438,-0.108392802050438,-0.108392802050438,-0.108392802050438
"SNAIL1",0.107855605023523,0.107855605023523,0.110106598108707,0.110106598108707,-0.0021641315486476,-0.0872334199601154,0.0362462752050512,0.0362462752050512,-0.108502200295295,-0.0683035349612839,0.0021641315486476,-0.110106598108707,-0.107855605023523,-0.107855605023523,-0.107855605023523,-0.107855605023523
"MIR34",0.110106598108707,0.110106598108707,0.108392802050438,0.108392802050438,0.0013568049664357,0.0139097569525075,0.0324930462124968,0.0324930462124968,-0.107855605023523,-0.0695549570318186,-0.0013568049664357,-0.108392802050438,-0.110106598108707,-0.110106598108707,-0.110106598108707,-0.110106598108707
"MIR340",0.0982214414169489,0.0982214414169489,0.0998357149938393,0.0998357149938393,0.0921008727671572,0.0665054611387868,0.0630298158462542,0.0630298158462542,-0.0987874229480779,-0.0021370968156399,-0.0921008727671572,-0.0998357149938393,-0.0982214414169489,-0.0982214414169489,-0.0982214414169489,-0.0982214414169489
"MIR1199",0.0982214414169489,0.0982214414169489,0.0998357149938393,0.0998357149938393,0.0921008727671572,0.0665054611387868,0.0630298158462542,0.0630298158462542,-0.0987874229480779,-0.0021370968156399,-0.0921008727671572,-0.0998357149938393,-0.0982214414169489,-0.0982214414169489,-0.0982214414169489,-0.0982214414169489
"HA",0.0982214414169489,0.0982214414169489,0.0998357149938393,0.0998357149938393,0.0921008727671572,0.0665054611387868,0.0630298158462542,0.0630298158462542,-0.0987874229480779,-0.0021370968156399,-0.0921008727671572,-0.0998357149938393,-0.0982214414169489,-0.0982214414169489,-0.0982214414169489,-0.0982214414169489
"CD24",0.0982214414169489,0.0982214414169489,0.0998357149938393,0.0998357149938393,0.0921008727671572,0.0665054611387868,0.0630298158462542,0.0630298158462542,-0.0987874229480779,-0.0021370968156399,-0.0921008727671572,-0.0998357149938393,-0.0982214414169489,-0.0982214414169489,-0.0982214414169489,-0.0982214414169489
"ESRP1",0.0998357149938393,0.0998357149938393,0.0990723562152134,-0.000927643784786642,0.0948405987945545,0.0677353570706695,0.0600161172161172,0.0600161172161172,-0.0982214414169489,-0.0030066620330312,-0.0948405987945545,-0.0990723562152134,-0.0998357149938393,-0.0998357149938393,-0.0998357149938393,-0.0998357149938393
"TWIST1",0.0122076950100712,0.0122076950100712,0.013084668199748,0.013084668199748,0.0133174907586999,-0.0137505414403139,0.0916000238401204,-0.195427864060275,-0.0134777019690135,0.00552546427523479,-0.0133174907586999,-0.013084668199748,-0.0122076950100712,-0.0122076950100712,-0.0122076950100712,-0.0122076950100712
"ZEB1",-0.0987874229480779,-0.0987874229480779,-0.0982214414169489,-0.0982214414169489,-0.0929233915023062,-0.0653983299111737,-0.0611912368496821,-0.0611912368496821,-0.000835679832812396,0.00321026754734721,0.0929233915023062,0.0982214414169489,0.0987874229480779,0.0987874229480779,0.0987874229480779,0.0987874229480779
"GRHL2",0.000751910063211628,0.000751910063211628,-0.000649363822138691,-0.000649363822138691,0.00732994245961474,-0.0579048511379517,-0.0593672064950106,-0.0593672064950106,8.62019791350862e-05,0.0023749620655838,-0.00732994245961474,0.100649363822139,-0.000751910063211628,-0.000751910063211628,-0.000751910063211628,-0.000751910063211628
"MIR129",-0.013084668199748,-0.013084668199748,-0.0150220750551876,-0.0150220750551876,-0.0149805643651059,0.0105530664849139,-0.1913908188192,0.195610966335975,0.0122076950100712,-0.00639894976410489,0.0149805643651059,0.0150220750551876,0.013084668199748,0.013084668199748,0.013084668199748,0.013084668199748
"HAS2",-0.0998357149938393,-0.0998357149938393,-0.199072356215213,-0.0990723562152134,-0.0948405987945545,-0.0677353570706695,-0.0600161172161172,-0.0600161172161172,0.0982214414169489,0.0030066620330312,0.0948405987945545,0.0990723562152134,0.0998357149938393,0.0998357149938393,0.0998357149938393,0.0998357149938393
"CD44s",-0.0982214414169489,-0.0982214414169489,-0.0998357149938393,-0.0998357149938393,-0.0921008727671572,-0.0665054611387868,-0.0630298158462542,-0.0630298158462542,0.0987874229480779,0.0021370968156399,0.0921008727671572,0.0998357149938393,0.0982214414169489,0.0982214414169489,0.0982214414169489,0.0982214414169489
"TGFB",-0.110106598108707,-0.110106598108707,-0.108392802050438,-0.108392802050438,-0.0013568049664357,-0.0139097569525075,-0.0324930462124968,-0.0324930462124968,0.107855605023523,0.0695549570318186,0.0013568049664357,0.108392802050438,0.110106598108707,0.110106598108707,0.110106598108707,0.110106598108707
