"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0589970981583606,0.134343077443276,-0.0446218578021189,0.1577779437812,0.0388725889748179,-0.167563870084611,0.134343077443276,-0.16418010202623,-0.167563870084611,-0.0446218578021189,0.167563870084611,-0.167563870084611,-0.153414331806386,-0.167563870084611,0,-0.167563870084611,0.0149623466146313,-0.166268641733143,0.153414331806386,0.153414331806386
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TWIST1",0.0437835533409961,0.0100618774226008,0.048538308289562,0.0494555698943435,-0.0601597157455228,-0.0387731149276349,0.0100618774226008,-0.0466704611237137,-0.0387731149276349,-0.0606891361480088,0.0387731149276349,-0.0387731149276349,-0.0411033579744903,-0.0387731149276349,0,-0.0387731149276349,-0.094642187715112,0.0582114668715574,0.0411033579744903,0.0411033579744903
"TGFB",-0.0415499741825819,-0.107266969782142,0.0523283980694,0.060548239692418,-0.078574214583388,0.0435067198056509,-0.107266969782142,-0.0606681127303952,0.0435067198056509,0.0523283980694,-0.0435067198056509,0.0435067198056509,0.0470200017251025,0.0435067198056509,0,0.0435067198056509,0.0814611381697988,-0.0548699219550768,-0.0470200017251025,-0.0470200017251025
"SNAIL1",0.0461771715962008,0.111634371853281,-0.0665663558265797,-0.0592968176218833,-0.0324338596031977,-0.0415499741825819,0.111634371853281,0.0674308322261179,-0.0415499741825819,-0.0665663558265797,0.0415499741825819,-0.0415499741825819,-0.0435067198056509,-0.0415499741825819,0,-0.0415499741825819,-0.0748150427508575,0.0628681279649438,0.0435067198056509,0.0435067198056509
"MIR340",-0.167563870084611,-0.126209281062359,0.0511971148915549,-0.174981195813721,-0.0422916707071527,0.153414331806386,-0.126209281062359,0.154949613998447,0.153414331806386,0.0511971148915549,-0.153414331806386,0.153414331806386,0.173040500030685,0.153414331806386,0,0.153414331806386,-0.0209095888208663,0.155820880539113,-0.173040500030685,-0.173040500030685
"MIR34",0.0415499741825819,0.107266969782142,-0.0523283980694,-0.060548239692418,0.078574214583388,-0.0435067198056509,0.107266969782142,0.0606681127303952,-0.0435067198056509,-0.0523283980694,0.0435067198056509,-0.0435067198056509,-0.0470200017251025,-0.0435067198056509,0,-0.0435067198056509,-0.0814611381697988,0.0548699219550768,0.0470200017251025,0.0470200017251025
"MIR200",-0.162432146253431,-0.0207175908336912,-0.0569364185645453,-0.357752032808541,0.0618767333103153,0.152644762665309,-0.0207175908336912,0.237253747763513,0.152644762665309,-0.0569364185645453,-0.152644762665309,0.152644762665309,0.16930299051341,0.152644762665309,0,0.152644762665309,-0.106103942821322,0.225527628987923,-0.16930299051341,-0.16930299051341
"MIR190",0.0435067198056509,0.115724681224928,-0.0663627139514941,-0.166095892608492,0.0642288106836666,-0.0470200017251025,0.115724681224928,0.0648315062889184,-0.0470200017251025,-0.0663627139514941,0.0470200017251025,-0.0470200017251025,-0.0347392999707165,-0.0470200017251025,0,-0.0470200017251025,-0.0760417387911312,0.0600142675161795,0.0347392999707165,0.0347392999707165
"MIR129",-0.0387731149276349,-0.00605818170347549,-0.162868852222616,-0.047116882940272,0.049249876305424,0.0411033579744903,-0.00605818170347549,0.0535383391649826,0.0411033579744903,0.0463286862395599,-0.0411033579744903,0.0411033579744903,0.0434878587196468,0.0411033579744903,0,0.0411033579744903,0.101664774984106,-0.0499954443478819,-0.0434878587196468,-0.0434878587196468
