"","MIR190","MIR1199","HAS2","GRHL2","ESRP1","HA","CD24","MIR34","TWIST1","TGFB","SNAIL1","MIR129","ZEB1","MIR200","CD44s","MIR340"
"GRHL2",0.3543208875793,0.3543208875793,0.3543208875793,0.3543208875793,0.3543208875793,0.351008785668471,0.451008785668472,0.340271567271228,0.0912836644183204,0.017972586600212,-0.134777194282993,-0.141200425129982,-0.356129445144364,-0.276518978373248,-0.351008785668471,-0.3543208875793
"MIR340",0.246228325362846,0.246228325362846,0.246228325362846,0.246228325362846,0.246228325362846,0.243424587045089,0.243424587045089,0.217531938095803,0.0728940988638007,0.0100853097378364,-0.110338321001892,-0.121342369261144,-0.247687961943126,-0.178751161911254,-0.243424587045089,-0.246228325362846
"MIR1199",0.246228325362846,0.246228325362846,0.246228325362846,0.246228325362846,0.246228325362846,0.243424587045089,0.243424587045089,0.217531938095803,0.0728940988638007,0.0100853097378364,-0.110338321001892,-0.121342369261144,-0.247687961943126,-0.178751161911254,-0.243424587045089,-0.246228325362846
"HA",0.246228325362846,0.246228325362846,0.246228325362846,0.246228325362846,0.246228325362846,0.243424587045089,0.243424587045089,0.217531938095803,0.0728940988638007,0.0100853097378364,-0.110338321001892,-0.121342369261144,-0.247687961943126,-0.178751161911254,-0.243424587045089,-0.246228325362846
"CD44s",0.246228325362846,0.246228325362846,0.246228325362846,0.246228325362846,0.246228325362846,0.243424587045089,0.243424587045089,0.217531938095803,0.0728940988638007,0.0100853097378364,-0.110338321001892,-0.121342369261144,-0.247687961943126,-0.178751161911254,-0.243424587045089,-0.246228325362846
"CD24",0.246228325362846,0.246228325362846,0.246228325362846,0.246228325362846,0.246228325362846,0.243424587045089,0.243424587045089,0.217531938095803,0.0728940988638007,0.0100853097378364,-0.110338321001892,-0.121342369261144,-0.247687961943126,-0.178751161911254,-0.243424587045089,-0.246228325362846
"HAS2",0.243424587045089,0.243424587045089,0.243424587045089,0.243424587045089,0.243424587045089,0.338589981447124,0.238589981447124,0.21563520469222,0.0733507198683669,0.00902250780546926,-0.109486854587512,-0.120155154649272,-0.246228325362846,-0.177170550741602,-0.238589981447124,-0.243424587045089
"TGFB",0.0931356512633655,0.0931356512633655,0.0931356512633655,0.0931356512633655,0.0931356512633655,0.0927072022487982,0.0927072022487982,0.12248821359704,0.0300581007796304,0.0823606753645265,-0.0498133557603837,-0.101446666320153,-0.0934446110985869,0.0258927190366282,-0.0927072022487982,-0.0931356512633655
"MIR34",0.0931356512633655,0.0931356512633655,0.0931356512633655,0.0931356512633655,0.0931356512633655,0.0927072022487982,0.0927072022487982,0.12248821359704,0.0300581007796304,0.0823606753645265,-0.0498133557603837,-0.101446666320153,-0.0934446110985869,0.0258927190366282,-0.0927072022487982,-0.0931356512633655
"MIR190",0.0927072022487982,0.0927072022487982,0.0927072022487982,0.0927072022487982,0.0927072022487982,0.0924565756823821,0.0924565756823821,0.121781222238046,0.0291342116463264,0.182597754548974,-0.0499990567817393,-0.101226692716985,-0.0931356512633655,0.0257094249805926,-0.0924565756823821,-0.0927072022487982
"TWIST1",0.0379904353194048,0.0379904353194048,0.0379904353194048,0.0379904353194048,0.0379904353194048,0.0374642514055987,0.0374642514055987,0.0216000824144436,0.00111258795524376,-0.00108142879882675,-0.00240821488102337,-0.00172779054894277,-0.0381470115198223,-0.0241561256690752,-0.0374642514055987,-0.0379904353194048
"MIR129",0.0374642514055987,0.0374642514055987,0.0374642514055987,0.0374642514055987,0.0374642514055987,0.0367190949227373,0.0367190949227373,0.0214152964581763,0.101478696741855,-0.00156043697014262,-0.00228470726472036,-0.00138774346550045,-0.0379904353194048,-0.0236941607784069,-0.0367190949227373,-0.0374642514055987
"SNAIL1",-0.0934446110985869,-0.0934446110985869,-0.0934446110985869,-0.0934446110985869,-0.0934446110985869,-0.0931356512633655,-0.0931356512633655,-0.122605277982452,-0.0298605624116012,-0.082636963354125,-0.0501146960423184,0.101644204688182,0.0935355385586798,-0.0256315754076322,0.0931356512633655,0.0934446110985869
"ZEB1",-0.247687961943126,-0.247687961943126,-0.247687961943126,-0.247687961943126,-0.247687961943126,-0.246228325362846,-0.246228325362846,-0.218756577101469,-0.0730499106431712,-0.0101828707134462,0.110891886615699,0.121747479887508,0.148655671019218,0.179317785928801,0.246228325362846,0.247687961943126
"MIR200",-0.182553395073625,-0.182553395073625,-0.182553395073625,-0.182553395073625,-0.182553395073625,-0.18098377482046,-0.18098377482046,-0.0686012253771748,0.0269884326906569,0.189757161262247,-0.0178431385602694,-0.0547965579910637,0.183238687640836,0.230217184589889,0.18098377482046,0.182553395073625
"ESRP1",-0.243424587045089,-0.243424587045089,-0.243424587045089,-0.243424587045089,-0.243424587045089,-0.238589981447124,-0.238589981447124,-0.21563520469222,-0.0733507198683669,-0.00902250780546926,0.109486854587512,0.120155154649272,0.246228325362846,0.177170550741602,0.138589981447124,0.243424587045089
