"","CD44s","MIR340","GRHL2","ESRP1","MIR34","SNAIL1","TGFB","ZEB1","TWIST1","MIR129","MIR200","MIR190","MIR1199","HAS2","HA","CD24"
"TWIST1",0.196526036886068,0.196801657031395,0.196801657031395,0.196801657031395,0.113846151653781,0.0467413561018248,0.010511442425034,-0.196436312563754,0.0784387331893876,-0.219466071388213,-0.0799602414970414,-0.196801657031395,-0.196801657031395,-0.196801657031395,-0.196526036886068,-0.196526036886068
"ESRP1",0.19860853432282,0.10242532821595,0.10242532821595,0.10242532821595,0.0969728203550071,0.0633520483323445,0.00235826828118917,-0.102340366448745,-0.0600542124542125,-0.0600542124542125,-0.0857958821675542,-0.10242532821595,-0.10242532821595,-0.10242532821595,-0.09860853432282,-0.09860853432282
"MIR340",0.10242532821595,0.102340366448745,0.102340366448745,0.102340366448745,0.0968674462770303,0.0640142999879736,0.0020684132087254,-0.101238191888125,-0.0599628882532992,-0.0599628882532992,-0.0857958821675542,-0.102340366448745,-0.102340366448745,-0.102340366448745,-0.10242532821595,-0.10242532821595
"MIR1199",0.10242532821595,0.102340366448745,0.102340366448745,0.102340366448745,0.0968674462770303,0.0640142999879736,0.0020684132087254,-0.101238191888125,-0.0599628882532992,-0.0599628882532992,-0.0857958821675542,-0.102340366448745,-0.102340366448745,-0.102340366448745,-0.10242532821595,-0.10242532821595
"CD44s",0.10242532821595,0.102340366448745,0.102340366448745,0.102340366448745,0.0968674462770303,0.0640142999879736,0.0020684132087254,-0.101238191888125,-0.0599628882532992,-0.0599628882532992,-0.0857958821675542,-0.102340366448745,-0.102340366448745,-0.102340366448745,-0.10242532821595,-0.10242532821595
"CD24",0.10242532821595,0.102340366448745,0.102340366448745,0.102340366448745,0.0968674462770303,0.0640142999879736,0.0020684132087254,-0.101238191888125,-0.0599628882532992,-0.0599628882532992,-0.0857958821675542,-0.102340366448745,-0.102340366448745,-0.102340366448745,-0.10242532821595,-0.10242532821595
"MIR200",0.0843484011555276,0.0845002998897048,0.0845002998897048,0.0845002998897048,-0.0045771764803051,-0.0322731998277364,0.00725638930230003,-0.0836041480710438,0.0411972208771402,0.0411972208771402,-0.167957821810422,-0.0845002998897048,-0.0845002998897048,-0.0845002998897048,-0.0843484011555276,-0.0843484011555276
"MIR190",0.0695261727519792,0.0690249196191471,0.0690249196191471,0.0690249196191471,0.099539891967659,0.0283368958529677,-0.02380588762478,-0.0696247482395413,-0.041884539972038,-0.041884539972038,0.0301533205805632,-0.0690249196191471,-0.0690249196191471,-0.0690249196191471,-0.0695261727519792,-0.0695261727519792
"MIR34",0.0690249196191471,0.0696247482395413,0.0696247482395413,0.0696247482395413,0.0996184465631028,0.0284297463636455,0.0766208549072257,-0.0694334873891661,-0.0406086930736658,-0.0406086930736658,0.0294986989518646,-0.0696247482395413,-0.0696247482395413,-0.0696247482395413,-0.0690249196191471,-0.0690249196191471
"SNAIL1",0.0696247482395413,0.0694334873891661,0.0694334873891661,0.0694334873891661,0.0995374019885868,-0.0714183629976144,0.0764420803257208,-0.0693829721335589,-0.0411101366232783,-0.0411101366232783,0.0296517831481725,-0.0694334873891661,-0.0694334873891661,-0.0694334873891661,-0.0696247482395413,-0.0696247482395413
"ZEB1",-0.102340366448745,-0.101238191888125,-0.101238191888125,-0.101238191888125,-0.0964470478123986,-0.0638189238889831,-0.00203589288352215,0.00155397063927142,0.0604303235914108,0.0604303235914108,0.0848636942677187,0.101238191888125,0.101238191888125,0.101238191888125,0.102340366448745,0.102340366448745
"TGFB",-0.0690249196191471,-0.0696247482395413,-0.0696247482395413,-0.0696247482395413,-0.0996184465631028,-0.0284297463636455,-0.0766208549072257,0.0694334873891661,0.0406086930736658,0.0406086930736658,-0.0294986989518646,0.0696247482395413,0.0696247482395413,0.0696247482395413,0.0690249196191471,0.0690249196191471
"HA",-0.10242532821595,-0.102340366448745,-0.102340366448745,-0.102340366448745,-0.0968674462770303,-0.0640142999879736,-0.0020684132087254,0.101238191888125,0.0599628882532992,0.0599628882532992,0.0857958821675542,0.102340366448745,0.102340366448745,0.102340366448745,0.10242532821595,0.10242532821595
"HAS2",-0.09860853432282,-0.10242532821595,-0.10242532821595,-0.10242532821595,-0.0969728203550071,-0.0633520483323445,-0.00235826828118917,0.102340366448745,0.0600542124542125,0.0600542124542125,0.0857958821675542,0.10242532821595,0.10242532821595,0.10242532821595,0.19860853432282,0.09860853432282
"GRHL2",-0.162894795722021,-0.163786515467244,-0.163786515467244,-0.163786515467244,-0.18613813527866,-0.0892235688945426,-0.00919735303058937,0.162948403424897,0.0783041141939488,0.0783041141939488,0.15297771075322,0.163786515467244,0.163786515467244,0.163786515467244,0.162894795722021,0.0628947957220208
"MIR129",-0.195929911699779,-0.196526036886068,-0.196526036886068,-0.196526036886068,-0.113969342291293,-0.0463433871159595,-0.0102014959612414,0.196801657031395,-0.177497310595245,0.220381582766711,0.0794982766063731,0.196526036886068,0.196526036886068,0.196526036886068,0.195929911699779,0.195929911699779
