"","MIR34","MIR200","TWIST1","CD44s","MIR340","MIR190","ESRP1","ZEB1","TGFB","MIR1199","HAS2","GRHL2","HA","CD24","SNAIL1","MIR129"
"GRHL2",0.202050371840639,0.202050371840639,0.0804980566246113,0.168568055369102,0.170733660464644,0.170733660464644,0.170733660464644,-0.169233881020445,-0.0105435624163049,-0.170733660464644,-0.170733660464644,-0.170733660464644,-0.168568055369102,-0.0685680553691025,-0.101824027284153,-0.117031461964867
"SNAIL1",-0.0202036964282797,-0.0202036964282797,-0.0152301960635203,0.0822384540305241,0.0911688645057337,0.0911688645057337,0.0911688645057337,-0.0840765226184838,0.0853099402803214,-0.0911688645057337,-0.0911688645057337,-0.0911688645057337,-0.0822384540305241,-0.0822384540305241,-0.051900895242815,0.0882542097577526
"HAS2",0.0751845634693124,0.0751845634693124,0.05429841531018,0.0531539888682746,0.0483193832703102,0.0483193832703102,0.0483193832703102,-0.0528223569321624,-0.00471953108869944,-0.0483193832703102,-0.0483193832703102,-0.0483193832703102,0.0468460111317254,-0.0531539888682746,-0.0864640829327161,-0.0936589998237057
"ESRP1",0.0751845634693124,0.0751845634693124,0.05429841531018,0.153153988868275,0.0483193832703102,0.0483193832703102,0.0483193832703102,-0.0528223569321624,-0.00471953108869944,-0.0483193832703102,-0.0483193832703102,-0.0483193832703102,-0.0531539888682746,-0.0531539888682746,-0.0864640829327161,-0.0936589998237057
"MIR340",0.0834037415515042,0.0834037415515042,0.0655312920225088,0.0483193832703102,0.0528223569321624,0.0528223569321624,0.0528223569321624,-0.0492179482339199,-0.000564941716718768,-0.0528223569321624,-0.0528223569321624,-0.0528223569321624,-0.0483193832703102,-0.0483193832703102,-0.0754896269251475,-0.0984991824721075
"HA",0.0834037415515042,0.0834037415515042,0.0655312920225088,0.0483193832703102,0.0528223569321624,0.0528223569321624,0.0528223569321624,-0.0492179482339199,-0.000564941716718768,-0.0528223569321624,-0.0528223569321624,-0.0528223569321624,-0.0483193832703102,-0.0483193832703102,-0.0754896269251475,-0.0984991824721075
"CD44s",0.0834037415515042,0.0834037415515042,0.0655312920225088,0.0483193832703102,0.0528223569321624,0.0528223569321624,0.0528223569321624,-0.0492179482339199,-0.000564941716718768,-0.0528223569321624,-0.0528223569321624,-0.0528223569321624,-0.0483193832703102,-0.0483193832703102,-0.0754896269251475,-0.0984991824721075
"CD24",0.0834037415515042,0.0834037415515042,0.0655312920225088,0.0483193832703102,0.0528223569321624,0.0528223569321624,0.0528223569321624,-0.0492179482339199,-0.000564941716718768,-0.0528223569321624,-0.0528223569321624,-0.0528223569321624,-0.0483193832703102,-0.0483193832703102,-0.0754896269251475,-0.0984991824721075
"ZEB1",-0.0769515390291134,-0.0769515390291134,-0.0566500205983891,-0.0528223569321624,-0.0492179482339199,-0.0492179482339199,-0.0492179482339199,-0.0480215342963847,0.00391453521265373,0.0492179482339199,0.0492179482339199,0.0492179482339199,0.0528223569321624,0.0528223569321624,0.0845094901618782,0.0951024856818302
"MIR129",-0.0170681324747084,-0.0170681324747084,0.0134047143174392,-0.0175082781456954,-0.0258540307537431,-0.0258540307537431,-0.0258540307537431,0.0194646546575266,-0.00292872571313303,0.0258540307537431,0.0258540307537431,0.0258540307537431,0.0175082781456954,0.0175082781456954,-0.0256068971778489,-0.163156053902344
"TWIST1",-0.00514943829546599,-0.00514943829546599,-0.0703818965612219,-0.0258540307537431,-0.0194646546575266,-0.0194646546575266,-0.0194646546575266,0.0248230401829267,0.0031856727089577,0.0194646546575266,0.0194646546575266,0.0194646546575266,0.0258540307537431,0.0258540307537431,-0.00904315352476807,-0.169826208231405
"MIR1199",-0.0834037415515042,-0.0834037415515042,-0.0655312920225088,-0.0483193832703102,-0.0528223569321624,-0.0528223569321624,-0.0528223569321624,0.0492179482339199,0.000564941716718768,0.0528223569321624,0.0528223569321624,0.0528223569321624,0.0483193832703102,0.0483193832703102,0.0754896269251475,0.0984991824721075
"MIR200",-0.180595594095395,-0.180595594095395,-0.0605011625930283,-0.0642791672377312,-0.0613930912883641,-0.0613930912883641,-0.0613930912883641,0.0636949714500228,0.00636103398113711,0.0613930912883641,0.0613930912883641,0.0613930912883641,0.0642791672377312,0.0642791672377312,0.112404762104438,0.126511141002981
"MIR190",0.0164245542708708,0.0164245542708708,0.0101578006482502,-0.079250908044737,-0.0930353691976192,-0.0930353691976192,-0.0930353691976192,0.0822384540305241,0.0128005467110709,0.0930353691976192,0.0930353691976192,0.0930353691976192,0.079250908044737,0.079250908044737,-0.0535205754858184,-0.086097579326843
"TGFB",0.0364036063787524,0.0364036063787524,0.0371265643966004,-0.0930353691976192,-0.0822384540305241,-0.0822384540305241,-0.0822384540305241,0.0911688645057337,-0.0770050483576821,0.0822384540305241,0.0822384540305241,0.0822384540305241,0.0930353691976192,0.0930353691976192,-0.0258511233038314,-0.0970522647645905
"MIR34",0.0364036063787524,0.0364036063787524,0.0371265643966004,-0.0930353691976192,-0.0822384540305241,-0.0822384540305241,-0.0822384540305241,0.0911688645057337,-0.0770050483576821,0.0822384540305241,0.0822384540305241,0.0822384540305241,0.0930353691976192,0.0930353691976192,-0.0258511233038314,-0.0970522647645905
