"","MIR340","MIR1199","HAS2","ESRP1","CD24","TGFB","SNAIL1","TWIST1","MIR200","MIR129","ZEB1","HA","CD44s","MIR190","GRHL2","MIR34"
"MIR340",0.365567526471633,0.365567526471633,0.365567526471633,0.365567526471633,0.338974493336543,0.258527740106363,0.258398578519258,0.242427976643287,0.214663809061787,-0.13903451348544,-0.368278280120724,-0.338974493336543,-0.338974493336543,-0.365567526471633,-0.365567526471633,-0.365282220798911
"MIR1199",0.365567526471633,0.365567526471633,0.365567526471633,0.365567526471633,0.338974493336543,0.258527740106363,0.258398578519258,0.242427976643287,0.214663809061787,-0.13903451348544,-0.368278280120724,-0.338974493336543,-0.338974493336543,-0.365567526471633,-0.365567526471633,-0.365282220798911
"HA",0.365567526471633,0.365567526471633,0.365567526471633,0.365567526471633,0.338974493336543,0.258527740106363,0.258398578519258,0.242427976643287,0.214663809061787,-0.13903451348544,-0.368278280120724,-0.338974493336543,-0.338974493336543,-0.365567526471633,-0.365567526471633,-0.365282220798911
"CD44s",0.365567526471633,0.365567526471633,0.365567526471633,0.365567526471633,0.338974493336543,0.258527740106363,0.258398578519258,0.242427976643287,0.214663809061787,-0.13903451348544,-0.368278280120724,-0.338974493336543,-0.338974493336543,-0.365567526471633,-0.365567526471633,-0.365282220798911
"CD24",0.365567526471633,0.365567526471633,0.365567526471633,0.365567526471633,0.338974493336543,0.258527740106363,0.258398578519258,0.242427976643287,0.214663809061787,-0.13903451348544,-0.368278280120724,-0.338974493336543,-0.338974493336543,-0.365567526471633,-0.365567526471633,-0.365282220798911
"TWIST1",0.320052592256212,0.320052592256212,0.320052592256212,0.320052592256212,0.321581031243934,0.203897584441003,0.0933294428809771,0.0612400096639613,0.136158108113799,-0.0106027166554179,-0.329394972214458,-0.321581031243934,-0.321581031243934,-0.320052592256212,-0.320052592256212,-0.204775197650379
"MIR200",0.324143399698364,0.324143399698364,0.324143399698364,0.324143399698364,0.29604213387558,0.226204333040081,0.232997119157749,0.221463124947467,0.09777674499312,-0.110853956528457,-0.31917063568501,-0.29604213387558,-0.29604213387558,-0.324143399698364,-0.324143399698364,-0.406265055248105
"TGFB",0.150209891815725,0.150209891815725,0.150209891815725,0.150209891815725,0.16623388496054,0.0206298707163962,0.0958301856874794,0.135849001939025,-0.017179238778653,-0.047454363985453,-0.167850027169557,-0.16623388496054,-0.16623388496054,-0.150209891815725,-0.150209891815725,-0.177699054272288
"SNAIL1",0.167850027169557,0.167850027169557,0.167850027169557,0.167850027169557,0.150209891815725,0.00644166983877548,-0.000724295086363463,0.136350445488638,-0.00557185471741935,-0.0450079272737071,-0.158343056064283,-0.150209891815725,-0.150209891815725,-0.167850027169557,-0.167850027169557,-0.187685546843202
"MIR190",-0.16623388496054,-0.16623388496054,-0.16623388496054,-0.16623388496054,-0.135908070424199,-0.0960210513707347,-0.0979193221777301,-0.132725376774045,0.00411299106982873,0.0420430133475295,0.150209891815725,0.135908070424199,0.135908070424199,0.16623388496054,0.16623388496054,0.184219085694126
"MIR34",-0.150209891815725,-0.150209891815725,-0.150209891815725,-0.150209891815725,-0.16623388496054,-0.0206298707163962,-0.0958301856874794,-0.135849001939025,0.017179238778653,0.047454363985453,0.167850027169557,0.16623388496054,0.16623388496054,0.150209891815725,0.150209891815725,0.177699054272288
"ZEB1",-0.368278280120724,-0.368278280120724,-0.368278280120724,-0.368278280120724,-0.365567526471633,-0.275926114090102,-0.264845989785947,-0.247507440650766,-0.214353079761842,0.139501948823552,0.281999376178583,0.365567526471633,0.365567526471633,0.368278280120724,0.368278280120724,0.368919581427681
"MIR129",-0.321581031243934,-0.321581031243934,-0.321581031243934,-0.321581031243934,-0.305485651214128,-0.191527902840552,-0.0929863661690243,-0.157788126818773,-0.139730636601634,0.00696682860938071,0.320052592256212,0.305485651214128,0.305485651214128,0.321581031243934,0.321581031243934,0.203081326384596
"HAS2",-0.338974493336543,-0.338974493336543,-0.338974493336543,-0.338974493336543,-0.335157699443414,-0.257851411603947,-0.253289780032976,-0.233934825958355,-0.202967286406361,0.134011682435212,0.365567526471633,0.235157699443414,0.335157699443414,0.338974493336543,0.338974493336543,0.343996657047594
"ESRP1",-0.338974493336543,-0.338974493336543,-0.338974493336543,-0.338974493336543,-0.335157699443414,-0.257851411603947,-0.253289780032976,-0.233934825958355,-0.202967286406361,0.134011682435212,0.365567526471633,0.335157699443414,0.235157699443414,0.338974493336543,0.338974493336543,0.343996657047594
"GRHL2",-0.523685800979095,-0.523685800979095,-0.523685800979095,-0.523685800979095,-0.602794081233872,-0.40405539126827,-0.281555064908484,-0.262382433379782,-0.344776946045809,0.157772238045702,0.532596255324044,0.502794081233872,0.502794081233872,0.523685800979095,0.523685800979095,0.506190024783369
