"","CD24","MIR340","MIR1199","HAS2","ESRP1","MIR200","TWIST1","MIR129","ZEB1","TGFB","SNAIL1","MIR34","MIR190","GRHL2","HA","CD44s"
"TWIST1",0.120344207189691,0.139061320695078,0.139061320695078,0.139061320695078,0.139061320695078,0.0708367228626154,-0.0515026493293144,-0.108442359409394,-0.140105162031195,-0.00647264719904093,-0.019628554014904,-0.0585264516417928,-0.139061320695078,-0.139061320695078,-0.120344207189691,-0.120344207189691
"MIR129",0.124666114790287,0.120344207189691,0.120344207189691,0.120344207189691,0.120344207189691,0.0638148565244571,0.0592714092480915,-0.0997319225796794,-0.139061320695078,-0.00728977878540329,-0.0174740322638405,-0.0425424664246693,-0.120344207189691,-0.120344207189691,-0.124666114790287,-0.124666114790287
"HAS2",0.050834879406308,0.0709366605767914,0.0709366605767914,0.0709366605767914,0.0709366605767914,0.0697461110876974,0.0751681573328632,0.0408161798985328,-0.0961703054366045,-0.00429998219044872,-0.033040485310765,-0.0652453764704604,-0.0709366605767914,-0.0709366605767914,-0.150834879406308,-0.050834879406308
"ESRP1",0.050834879406308,0.0709366605767914,0.0709366605767914,0.0709366605767914,0.0709366605767914,0.0697461110876974,0.0751681573328632,0.0408161798985328,-0.0961703054366045,-0.00429998219044872,-0.033040485310765,-0.0652453764704604,-0.0709366605767914,-0.0709366605767914,-0.050834879406308,-0.150834879406308
"CD24",0.0709366605767914,0.0961703054366045,0.0961703054366045,0.0961703054366045,0.0961703054366045,0.0802835188853791,0.0591864221730459,0.0337842164282132,-0.0839272312632354,-0.00033862953344389,-0.0431634749039532,-0.0860040698318934,-0.0961703054366045,-0.0961703054366045,-0.0709366605767914,-0.0709366605767914
"MIR34",0.031200219774812,0.0437109310001761,0.0437109310001761,0.0437109310001761,0.0437109310001761,-0.0205557184277375,-0.0548267711511303,-0.0130488285676844,-0.050669883479211,0.0590193597065986,-0.0103274100846089,-0.0637818107332648,-0.0437109310001761,-0.0437109310001761,-0.031200219774812,-0.031200219774812
"MIR190",0.0459871871933583,0.031200219774812,0.031200219774812,0.031200219774812,0.031200219774812,-0.0247714817165565,-0.0484475366592693,-0.00490980525048242,-0.0437109310001761,-0.0400797393925005,-0.0123236960641817,-0.0527056127756843,-0.031200219774812,-0.031200219774812,-0.0459871871933583,-0.0459871871933583
"SNAIL1",0.0437109310001761,0.050669883479211,0.050669883479211,0.050669883479211,0.050669883479211,-0.0170708017235502,-0.0589446863615847,-0.0121523082820135,-0.043345171416168,0.0611484024499758,-0.115403755116186,-0.0688155793059798,-0.050669883479211,-0.050669883479211,-0.0437109310001761,-0.0437109310001761
"ZEB1",-0.0961703054366045,-0.0839272312632354,-0.0839272312632354,-0.0839272312632354,-0.0839272312632354,-0.0766827146448381,-0.0634556649277981,-0.0459063728632397,-0.0287344780165853,-0.00281584201127156,0.0496108861706416,0.07458019851038,0.0839272312632354,0.0839272312632354,0.0961703054366045,0.0961703054366045
"GRHL2",-0.114757461851703,-0.000872111533231354,-0.000872111533231354,-0.000872111533231354,-0.000872111533231354,-0.0126745539369916,0.0541710084092059,0.0413184066490757,0.0164874622169543,-0.00050864384382086,-0.0484510416474627,0.0124932780599672,0.000872111533231354,0.000872111533231354,0.0147574618517027,0.0147574618517027
"TGFB",-0.031200219774812,-0.0437109310001761,-0.0437109310001761,-0.0437109310001761,-0.0437109310001761,0.0205557184277375,0.0548267711511303,0.0130488285676844,0.050669883479211,-0.0590193597065986,0.0103274100846089,0.0637818107332648,0.0437109310001761,0.0437109310001761,0.031200219774812,0.031200219774812
"MIR200",-0.0650815505554337,-0.0860942087832818,-0.0860942087832818,-0.0860942087832818,-0.0860942087832818,-0.162003857058075,-0.0839093498724272,-0.0384629321558312,0.0737413709691894,-0.00965759351736577,0.0644812827999438,-0.000559830929178079,0.0860942087832818,0.0860942087832818,0.0650815505554337,0.0650815505554337
"MIR340",-0.0709366605767914,-0.0961703054366045,-0.0961703054366045,-0.0961703054366045,-0.0961703054366045,-0.0802835188853791,-0.0591864221730459,-0.0337842164282132,0.0839272312632354,0.00033862953344389,0.0431634749039532,0.0860040698318934,0.0961703054366045,0.0961703054366045,0.0709366605767914,0.0709366605767914
"MIR1199",-0.0709366605767914,-0.0961703054366045,-0.0961703054366045,-0.0961703054366045,-0.0961703054366045,-0.0802835188853791,-0.0591864221730459,-0.0337842164282132,0.0839272312632354,0.00033862953344389,0.0431634749039532,0.0860040698318934,0.0961703054366045,0.0961703054366045,0.0709366605767914,0.0709366605767914
"HA",-0.0709366605767914,-0.0961703054366045,-0.0961703054366045,-0.0961703054366045,-0.0961703054366045,-0.0802835188853791,-0.0591864221730459,-0.0337842164282132,0.0839272312632354,0.00033862953344389,0.0431634749039532,0.0860040698318934,0.0961703054366045,0.0961703054366045,0.0709366605767914,0.0709366605767914
"CD44s",-0.0709366605767914,-0.0961703054366045,-0.0961703054366045,-0.0961703054366045,-0.0961703054366045,-0.0802835188853791,-0.0591864221730459,-0.0337842164282132,0.0839272312632354,0.00033862953344389,0.0431634749039532,0.0860040698318934,0.0961703054366045,0.0961703054366045,0.0709366605767914,0.0709366605767914
