"","CD24","MIR340","MIR190","MIR1199","HAS2","GRHL2","MIR200","SNAIL1","TWIST1","TGFB","MIR129","ZEB1","MIR34","ESRP1","HA","CD44s"
"MIR200",0.202821044054679,0.205605854181261,0.205605854181261,0.205605854181261,0.205605854181261,0.205605854181261,0.279679520573992,0.12860054038856,0.0885540636785045,0.20577775326494,-0.0885540636785045,-0.205131420865499,-0.279679520573992,-0.205605854181261,-0.202821044054679,-0.202821044054679
"ESRP1",0.180828695114409,0.177520807073697,0.177520807073697,0.177520807073697,0.177520807073697,0.177520807073697,0.175409383115016,0.102341875032773,0.0797715461009579,0.0078436100748474,-0.0797715461009579,-0.18185385720114,-0.175409383115016,-0.177520807073697,-0.180828695114409,-0.0808286951144094
"MIR340",0.177520807073697,0.18185385720114,0.18185385720114,0.18185385720114,0.18185385720114,0.18185385720114,0.178465231376343,0.10196344551527,0.08095876071283,0.00813346514731117,-0.08095876071283,-0.180692105637243,-0.178465231376343,-0.18185385720114,-0.177520807073697,-0.177520807073697
"MIR1199",0.177520807073697,0.18185385720114,0.18185385720114,0.18185385720114,0.18185385720114,0.18185385720114,0.178465231376343,0.10196344551527,0.08095876071283,0.00813346514731117,-0.08095876071283,-0.180692105637243,-0.178465231376343,-0.18185385720114,-0.177520807073697,-0.177520807073697
"HA",0.177520807073697,0.18185385720114,0.18185385720114,0.18185385720114,0.18185385720114,0.18185385720114,0.178465231376343,0.10196344551527,0.08095876071283,0.00813346514731117,-0.08095876071283,-0.180692105637243,-0.178465231376343,-0.18185385720114,-0.177520807073697,-0.177520807073697
"CD44s",0.177520807073697,0.18185385720114,0.18185385720114,0.18185385720114,0.18185385720114,0.18185385720114,0.178465231376343,0.10196344551527,0.08095876071283,0.00813346514731117,-0.08095876071283,-0.180692105637243,-0.178465231376343,-0.18185385720114,-0.177520807073697,-0.177520807073697
"CD24",0.177520807073697,0.18185385720114,0.18185385720114,0.18185385720114,0.18185385720114,0.18185385720114,0.178465231376343,0.10196344551527,0.08095876071283,0.00813346514731117,-0.08095876071283,-0.180692105637243,-0.178465231376343,-0.18185385720114,-0.177520807073697,-0.177520807073697
"SNAIL1",0.158076049852485,0.158473283926342,0.158473283926342,0.158473283926342,0.158473283926342,0.158473283926342,0.156761636691465,-0.0468425672235688,0.0515822922196601,0.0836205390339727,-0.0515822922196601,-0.158766272408863,-0.156761636691465,-0.158473283926342,-0.158076049852485,-0.158076049852485
"TGFB",0.157561911035005,0.158076049852485,0.158076049852485,0.158076049852485,0.158076049852485,0.158076049852485,0.156986760509565,0.0527337378367877,0.0530562323503393,0.0828891884732706,-0.0530562323503393,-0.158473283926342,-0.156986760509565,-0.158076049852485,-0.157561911035005,-0.157561911035005
"MIR129",0.0194122516556291,0.0182200012830509,0.0182200012830509,0.0182200012830509,0.0182200012830509,0.0182200012830509,-0.000279144766107329,-0.0284610974793318,0.18488594904984,-0.00767771460691111,0.207371324061082,-0.0192473127338151,0.000279144766107329,-0.0182200012830509,-0.0194122516556291,-0.0194122516556291
"TWIST1",0.0182200012830509,0.0192473127338151,0.0192473127338151,0.0192473127338151,0.0192473127338151,0.0192473127338151,-9.43588098400049e-05,-0.0278161132608605,0.0847290452841494,-0.00759318375314948,0.207554426336781,-0.0185340211541352,9.43588098400049e-05,-0.0192473127338151,-0.0182200012830509,-0.0182200012830509
"GRHL2",0.0613771423457288,-0.0426992907752904,-0.0426992907752904,-0.0426992907752904,-0.0426992907752904,-0.0426992907752904,-0.0471389367982668,-0.0762617167202083,-0.068445891360949,-0.00599148823257482,0.068445891360949,0.0407142885697324,0.0471389367982668,0.0426992907752904,0.0386228576542713,0.0386228576542713
"ZEB1",-0.18185385720114,-0.180692105637243,-0.180692105637243,-0.180692105637243,-0.180692105637243,-0.180692105637243,-0.177606156252966,-0.102875200643893,-0.0803043512394738,-0.00836110742373393,0.0803043512394738,0.081985779875809,0.177606156252966,0.180692105637243,0.18185385720114,0.18185385720114
"MIR190",-0.157060657902173,-0.157561911035005,-0.157561911035005,-0.157561911035005,-0.157561911035005,-0.157561911035005,-0.155494223196132,-0.0539407944755992,-0.0510764699218307,-0.183410762679055,0.0510764699218307,0.158076049852485,0.155494223196132,0.157561911035005,0.157060657902173,0.157060657902173
"MIR34",-0.157561911035005,-0.158076049852485,-0.158076049852485,-0.158076049852485,-0.158076049852485,-0.158076049852485,-0.156986760509565,-0.0527337378367877,-0.0530562323503393,-0.0828891884732706,0.0530562323503393,0.158473283926342,0.156986760509565,0.158076049852485,0.157561911035005,0.157561911035005
"HAS2",-0.180828695114409,-0.177520807073697,-0.177520807073697,-0.177520807073697,-0.177520807073697,-0.177520807073697,-0.175409383115016,-0.102341875032773,-0.0797715461009579,-0.0078436100748474,0.0797715461009579,0.18185385720114,0.175409383115016,0.177520807073697,0.0808286951144094,0.180828695114409
