"","TWIST1","MIR34","MIR200","MIR129","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","HA","ZEB1","TGFB","CD44s","CD24","SNAIL1"
"MIR34",0.530860711093395,0.464279913786958,0.464279913786958,0.234256522397811,0.219379813728649,0.219379813728649,0.219379813728649,0.219379813728649,0.219379813728649,0.219379813728649,0.212010490678092,-0.225161776359222,-0.251789222872351,-0.212010490678092,-0.212010490678092,-0.680941948389709
"MIR200",0.409587006096363,0.382799518969326,0.382799518969326,0.209292592122912,0.176672806822023,0.176672806822023,0.176672806822023,0.176672806822023,0.176672806822023,0.176672806822023,0.171356351125821,-0.180907563455304,-0.277647036886833,-0.171356351125821,-0.171356351125821,-0.483728049174262
"MIR340",0.227595584539017,0.18289061601436,0.18289061601436,0.13083848431987,0.119841043358915,0.119841043358915,0.119841043358915,0.119841043358915,0.119841043358915,0.119841043358915,0.117377152109977,-0.121896449971962,-0.0394277014790288,-0.117377152109977,-0.117377152109977,-0.243337994600372
"CD24",0.227595584539017,0.18289061601436,0.18289061601436,0.13083848431987,0.119841043358915,0.119841043358915,0.119841043358915,0.119841043358915,0.119841043358915,0.119841043358915,0.117377152109977,-0.121896449971962,-0.0394277014790288,-0.117377152109977,-0.117377152109977,-0.243337994600372
"ESRP1",0.218554488648606,0.176989667647658,0.176989667647658,0.127094192082427,0.117377152109977,0.117377152109977,0.117377152109977,0.117377152109977,0.117377152109977,0.117377152109977,0.114069264069264,-0.119841043358915,-0.0360460589669515,-0.214069264069264,-0.114069264069264,-0.234444900939066
"TWIST1",0.239415021748438,0.206228256074196,0.206228256074196,0.0735206347963257,0.0567415162750925,0.0567415162750925,0.0567415162750925,0.0567415162750925,0.0567415162750925,0.0567415162750925,0.0536595819227998,-0.0591075566369575,-0.108620670116295,-0.0536595819227998,-0.0536595819227998,-0.388614522396639
"MIR129",0.329111674468104,0.199360378032927,0.199360378032927,0.0696231720707175,0.0536595819227998,0.0536595819227998,0.0536595819227998,0.0536595819227998,0.0536595819227998,0.0536595819227998,0.0497847682119205,-0.0567415162750925,-0.104591366086991,-0.0497847682119205,-0.0497847682119205,-0.378253605695664
"ZEB1",-0.234731764034187,-0.187588111901766,-0.187588111901766,-0.133611933992666,-0.121896449971962,-0.121896449971962,-0.121896449971962,-0.121896449971962,-0.121896449971962,-0.121896449971962,-0.119841043358915,0.0235160893730009,0.0421268884708987,0.119841043358915,0.119841043358915,0.250404096847197
"HAS2",-0.218554488648606,-0.176989667647658,-0.176989667647658,-0.127094192082427,-0.117377152109977,-0.117377152109977,-0.117377152109977,-0.117377152109977,-0.117377152109977,-0.117377152109977,-0.0140692640692641,0.119841043358915,0.0360460589669515,0.114069264069264,0.114069264069264,0.234444900939066
"MIR1199",-0.227595584539017,-0.18289061601436,-0.18289061601436,-0.13083848431987,-0.119841043358915,-0.119841043358915,-0.119841043358915,-0.119841043358915,-0.119841043358915,-0.119841043358915,-0.117377152109977,0.121896449971962,0.0394277014790288,0.117377152109977,0.117377152109977,0.243337994600372
"HA",-0.227595584539017,-0.18289061601436,-0.18289061601436,-0.13083848431987,-0.119841043358915,-0.119841043358915,-0.119841043358915,-0.119841043358915,-0.119841043358915,-0.119841043358915,-0.117377152109977,0.121896449971962,0.0394277014790288,0.117377152109977,0.117377152109977,0.243337994600372
"CD44s",-0.227595584539017,-0.18289061601436,-0.18289061601436,-0.13083848431987,-0.119841043358915,-0.119841043358915,-0.119841043358915,-0.119841043358915,-0.119841043358915,-0.119841043358915,-0.117377152109977,0.121896449971962,0.0394277014790288,0.117377152109977,0.117377152109977,0.243337994600372
"MIR190",-0.506003693935454,-0.447495415227126,-0.447495415227126,-0.224533689137802,-0.212010490678092,-0.212010490678092,-0.212010490678092,-0.212010490678092,-0.212010490678092,-0.212010490678092,-0.202486681154283,0.219379813728649,0.342163807983778,0.202486681154283,0.202486681154283,0.655733034740684
"GRHL2",-0.247402244509871,-0.287359298039996,-0.287359298039996,-0.150049497422119,-0.219706289439574,-0.219706289439574,-0.219706289439574,-0.219706289439574,-0.219706289439574,-0.219706289439574,-0.217031130203905,0.221867736285626,0.0415096227495165,0.217031130203905,0.117031130203905,0.266076252259755
"TGFB",-0.530860711093395,-0.464279913786958,-0.464279913786958,-0.234256522397811,-0.219379813728649,-0.219379813728649,-0.219379813728649,-0.219379813728649,-0.219379813728649,-0.219379813728649,-0.212010490678092,0.225161776359222,0.251789222872351,0.212010490678092,0.212010490678092,0.680941948389709
"SNAIL1",-0.550720914709866,-0.477598238865751,-0.477598238865751,-0.242173252378057,-0.225161776359222,-0.225161776359222,-0.225161776359222,-0.225161776359222,-0.225161776359222,-0.225161776359222,-0.219379813728649,0.229778870721719,0.259411520938335,0.219379813728649,0.219379813728649,0.600887587529529
