"","MIR129","ZEB1","MIR34","MIR200","HA","MIR190","GRHL2","ESRP1","TGFB","MIR340","MIR1199","HAS2","CD44s","CD24","SNAIL1","TWIST1"
"TWIST1",-0.252921122757167,-0.201268480780499,0.10534093659744,0.10534093659744,0.200841759523363,0.201668619959344,0.201668619959344,0.201668619959344,-0.00185215920054669,-0.201668619959344,-0.201668619959344,-0.201668619959344,-0.200841759523363,-0.200841759523363,0.0106860189740723,0.126339039775556
"MIR190",-0.116205896254564,-0.122035045685469,0.118677931159279,0.118677931159279,0.119674388257838,0.121178147656335,0.121178147656335,0.121178147656335,0.0269684058324403,-0.121178147656335,-0.121178147656335,-0.121178147656335,-0.119674388257838,-0.119674388257838,0.0171864473698662,0.116205896254564
"TGFB",-0.116425869857732,-0.122020333312363,0.119280183057681,0.119280183057681,0.121178147656335,0.122035045685469,0.122035045685469,0.122035045685469,-0.0728893466568911,-0.122035045685469,-0.122035045685469,-0.122035045685469,-0.121178147656335,-0.121178147656335,0.016815045327155,0.116425869857732
"SNAIL1",-0.116258722007861,-0.121798066187692,0.119127098861373,0.119127098861373,0.122035045685469,0.122020333312363,0.122020333312363,0.122020333312363,-0.0729381033609379,-0.122020333312363,-0.122020333312363,-0.122020333312363,-0.122035045685469,-0.122035045685469,-0.0831769604287008,0.116258722007861
"ZEB1",-0.0994203285115716,-0.0949772018708017,-0.0416705260819374,-0.0416705260819374,-0.0071383855870041,-0.00544044099361715,-0.00544044099361715,-0.00544044099361715,-0.00123357704920152,0.00544044099361715,0.00544044099361715,0.00544044099361715,0.0071383855870041,0.0071383855870041,0.0669066818177899,0.0994203285115716
"MIR200",0.141711451899846,-0.0161850724374591,-0.04432725780915,-0.04432725780915,0.0181963138156956,0.0175380859675944,0.0175380859675944,0.0175380859675944,-0.00221996868403472,-0.0175380859675944,-0.0175380859675944,-0.0175380859675944,-0.0181963138156956,-0.0181963138156956,-0.0915803402214474,-0.141711451899846
"HAS2",0.0978989794519206,-0.0071383855870041,0.0435424905101448,0.0435424905101448,-0.0945578231292517,0.00722334735420886,0.00722334735420886,0.00722334735420886,0.00103374200737284,-0.00722334735420886,-0.00722334735420886,-0.00722334735420886,-0.0054421768707483,-0.0054421768707483,-0.0674650840836844,-0.0978989794519206
"MIR340",0.0994514908674457,-0.00544044099361715,0.0423833756523998,0.0423833756523998,0.00722334735420886,0.0071383855870041,0.0071383855870041,0.0071383855870041,0.000550650219933225,-0.0071383855870041,-0.0071383855870041,-0.0071383855870041,-0.00722334735420886,-0.00722334735420886,-0.066613617669304,-0.0994514908674457
"MIR1199",0.0994514908674457,-0.00544044099361715,0.0423833756523998,0.0423833756523998,0.00722334735420886,0.0071383855870041,0.0071383855870041,0.0071383855870041,0.000550650219933225,-0.0071383855870041,-0.0071383855870041,-0.0071383855870041,-0.00722334735420886,-0.00722334735420886,-0.066613617669304,-0.0994514908674457
"CD44s",0.0994514908674457,-0.00544044099361715,0.0423833756523998,0.0423833756523998,0.00722334735420886,0.0071383855870041,0.0071383855870041,0.0071383855870041,0.000550650219933225,-0.0071383855870041,-0.0071383855870041,-0.0071383855870041,-0.00722334735420886,-0.00722334735420886,-0.066613617669304,-0.0994514908674457
"CD24",0.0994514908674457,-0.00544044099361715,0.0423833756523998,0.0423833756523998,0.00722334735420886,0.0071383855870041,0.0071383855870041,0.0071383855870041,0.000550650219933225,-0.0071383855870041,-0.0071383855870041,-0.0071383855870041,-0.00722334735420886,-0.00722334735420886,-0.066613617669304,-0.0994514908674457
"HA",-0.0994514908674457,0.00544044099361715,-0.0423833756523998,-0.0423833756523998,-0.00722334735420886,-0.0071383855870041,-0.0071383855870041,-0.0071383855870041,-0.000550650219933225,0.0071383855870041,0.0071383855870041,0.0071383855870041,0.00722334735420886,0.00722334735420886,0.066613617669304,0.0994514908674457
"ESRP1",-0.0978989794519206,0.0071383855870041,-0.0435424905101448,-0.0435424905101448,-0.0054421768707483,-0.00722334735420886,-0.00722334735420886,-0.00722334735420886,-0.00103374200737284,0.00722334735420886,0.00722334735420886,0.00722334735420886,-0.0945578231292517,0.0054421768707483,0.0674650840836844,0.0978989794519206
"GRHL2",0.0802129957257193,0.0318342834252444,-0.0266269073216082,-0.0266269073216082,-0.0300896168016587,-0.0305991709417861,-0.0305991709417861,-0.0305991709417861,0.00208156519182073,0.0305991709417861,0.0305991709417861,0.0305991709417861,0.0300896168016587,-0.0699103831983413,-0.0580984672137291,-0.0802129957257193
"MIR34",0.116425869857732,0.122020333312363,-0.119280183057681,-0.119280183057681,-0.121178147656335,-0.122035045685469,-0.122035045685469,-0.122035045685469,0.0728893466568911,0.122035045685469,0.122035045685469,0.122035045685469,0.121178147656335,0.121178147656335,-0.016815045327155,-0.116425869857732
"MIR129",0.253104225032867,0.201668619959344,-0.105063757663039,-0.105063757663039,-0.199947571743929,-0.200841759523363,-0.200841759523363,-0.200841759523363,0.00176762834678507,0.200841759523363,0.200841759523363,0.200841759523363,0.199947571743929,0.199947571743929,-0.0106174036316818,-0.226495943541247
