"","TGFB","MIR340","MIR1199","HAS2","GRHL2","ESRP1","HA","CD24","TWIST1","SNAIL1","ZEB1","MIR129","CD44s","MIR190","MIR34","MIR200"
"MIR340",0.164828674378017,0.158842527068355,0.158842527068355,0.158842527068355,0.158842527068355,0.158842527068355,0.158417718232331,0.158417718232331,0.14870323842153,0.137377632348563,-0.159170200586377,-0.0871512841711069,-0.158417718232331,-0.158842527068355,-0.171178015559462,-0.171178015559462
"HA",0.164828674378017,0.158842527068355,0.158842527068355,0.158842527068355,0.158842527068355,0.158842527068355,0.158417718232331,0.158417718232331,0.14870323842153,0.137377632348563,-0.159170200586377,-0.0871512841711069,-0.158417718232331,-0.158842527068355,-0.171178015559462,-0.171178015559462
"HAS2",0.164538819305554,0.158417718232331,0.158417718232331,0.158417718232331,0.158417718232331,0.158417718232331,0.258163265306122,0.158163265306122,0.14897721102427,0.136999202831061,-0.158842527068355,-0.0872426083720201,-0.158163265306122,-0.158417718232331,-0.170756519247555,-0.170756519247555
"ESRP1",0.164538819305554,0.158417718232331,0.158417718232331,0.158417718232331,0.158417718232331,0.158417718232331,0.158163265306122,0.158163265306122,0.14897721102427,0.136999202831061,-0.158842527068355,-0.0872426083720201,-0.258163265306122,-0.158417718232331,-0.170756519247555,-0.170756519247555
"MIR200",-0.070709832410428,0.122270532775779,0.122270532775779,0.122270532775779,0.122270532775779,0.122270532775779,0.122219899864386,0.122219899864386,-0.0408132590162708,-0.000773001702822575,-0.122569250048666,0.0206378275056997,-0.122219899864386,-0.122270532775779,-0.0368102681827472,-0.0368102681827472
"TGFB",0.138386753104233,0.0862252573489241,0.0862252573489241,0.0862252573489241,0.0862252573489241,0.0862252573489241,0.0864823267576645,0.0864823267576645,0.0955189316573491,0.0414622966369521,-0.0864753676917224,-0.0273551385714774,-0.0864823267576645,-0.0862252573489241,-0.11431375299044,-0.11431375299044
"SNAIL1",0.138370500869551,0.0864753676917224,0.0864753676917224,0.0864753676917224,0.0864753676917224,0.0864753676917224,0.0862252573489241,0.0862252573489241,0.0955645174345865,-0.0584817436540384,-0.0864551615894795,-0.0271272096852899,-0.0862252573489241,-0.0864753676917224,-0.114412807470404,-0.114412807470404
"GRHL2",0.0271660505988868,0.0215933758379818,0.0215933758379818,0.0215933758379818,0.0215933758379818,0.0215933758379818,0.0213385987679181,0.121338598767918,0.107285022720503,0.0936397918942966,-0.0217257093183524,-0.0730181718911096,-0.0213385987679181,-0.0215933758379818,-0.032669492012229,-0.032669492012229
"TWIST1",0.00980560045611144,0.00865541909141042,0.00865541909141042,0.00865541909141042,0.00865541909141042,0.00865541909141042,0.00842991169977925,0.00842991169977925,-0.0560944868828595,0.0144041252889436,-0.00860322702460458,0.107596704461077,-0.00842991169977925,-0.00865541909141042,-0.0106674722455278,-0.0106674722455278
"MIR129",-0.00983377740736532,-0.00842991169977925,-0.00842991169977925,-0.00842991169977925,-0.00842991169977925,-0.00842991169977925,-0.00842991169977925,-0.00842991169977925,-0.0446377306903623,-0.014198279261772,0.00865541909141042,-0.107256657377635,0.00842991169977925,0.00842991169977925,0.0106982699049057,0.0106982699049057
"ZEB1",-0.16525143860566,-0.159170200586377,-0.159170200586377,-0.159170200586377,-0.159170200586377,-0.159170200586377,-0.158842527068355,-0.158842527068355,-0.148921374912649,-0.137475320398058,0.0592007598203588,0.087494070085722,0.158842527068355,0.159170200586377,0.171525301247636,0.171525301247636
"MIR190",-0.238149673919786,-0.0864823267576645,-0.0864823267576645,-0.0864823267576645,-0.0864823267576645,-0.0864823267576645,-0.0859810736248324,-0.0859810736248324,-0.0951229791716473,-0.0416015724029688,0.0862252573489241,0.0269591860857757,0.0859810736248324,0.0864823267576645,0.114182828664701,0.114182828664701
"MIR34",-0.138386753104233,-0.0862252573489241,-0.0862252573489241,-0.0862252573489241,-0.0862252573489241,-0.0862252573489241,-0.0864823267576645,-0.0864823267576645,-0.0955189316573491,-0.0414622966369521,0.0864753676917224,0.0273551385714774,0.0864823267576645,0.0862252573489241,0.11431375299044,0.11431375299044
"MIR1199",-0.164828674378017,-0.158842527068355,-0.158842527068355,-0.158842527068355,-0.158842527068355,-0.158842527068355,-0.158417718232331,-0.158417718232331,-0.14870323842153,-0.137377632348563,0.159170200586377,0.0871512841711069,0.158417718232331,0.158842527068355,0.171178015559462,0.171178015559462
"CD44s",-0.164828674378017,-0.158842527068355,-0.158842527068355,-0.158842527068355,-0.158842527068355,-0.158842527068355,-0.158417718232331,-0.158417718232331,-0.14870323842153,-0.137377632348563,0.159170200586377,0.0871512841711069,0.158417718232331,0.158842527068355,0.171178015559462,0.171178015559462
"CD24",-0.164828674378017,-0.158842527068355,-0.158842527068355,-0.158842527068355,-0.158842527068355,-0.158842527068355,-0.158417718232331,-0.158417718232331,-0.14870323842153,-0.137377632348563,0.159170200586377,0.0871512841711069,0.158417718232331,0.158842527068355,0.171178015559462,0.171178015559462
