"","HA","CD44s","MIR340","MIR190","MIR1199","GRHL2","ESRP1","TGFB","MIR200","MIR34","SNAIL1","TWIST1","MIR129","ZEB1","HAS2","CD24"
"GRHL2",0.50647851314867,0.50647851314867,0.531701443084976,0.531701443084976,0.531701443084976,0.531701443084976,0.531701443084976,0.447765167610587,0.418392678332364,0.44338864864827,0.072827167647932,0.0645901750649227,-0.0877761355964482,-0.537303560420662,-0.531701443084976,-0.60647851314867
"HAS2",0.243290043290043,0.343290043290043,0.33641981428241,0.33641981428241,0.33641981428241,0.33641981428241,0.33641981428241,0.311222381404937,0.287996420612965,0.258430561773451,0.0613417049196995,0.0372189535954242,-0.0648664825370708,-0.372358641810022,-0.33641981428241,-0.343290043290043
"ESRP1",0.343290043290043,0.443290043290043,0.33641981428241,0.33641981428241,0.33641981428241,0.33641981428241,0.33641981428241,0.311222381404937,0.287996420612965,0.258430561773451,0.0613417049196995,0.0372189535954242,-0.0648664825370708,-0.372358641810022,-0.33641981428241,-0.343290043290043
"MIR340",0.33641981428241,0.33641981428241,0.372358641810022,0.372358641810022,0.372358641810022,0.372358641810022,0.372358641810022,0.311705473192377,0.302854165607696,0.288146051762913,0.0465829537371073,0.0526527435497621,-0.071350500801911,-0.367324385033138,-0.372358641810022,-0.33641981428241
"MIR1199",0.33641981428241,0.33641981428241,0.372358641810022,0.372358641810022,0.372358641810022,0.372358641810022,0.372358641810022,0.311705473192377,0.302854165607696,0.288146051762913,0.0465829537371073,0.0526527435497621,-0.071350500801911,-0.367324385033138,-0.372358641810022,-0.33641981428241
"CD44s",0.33641981428241,0.33641981428241,0.372358641810022,0.372358641810022,0.372358641810022,0.372358641810022,0.372358641810022,0.311705473192377,0.302854165607696,0.288146051762913,0.0465829537371073,0.0526527435497621,-0.071350500801911,-0.367324385033138,-0.372358641810022,-0.33641981428241
"MIR200",0.298836962176684,0.298836962176684,0.326431898885545,0.326431898885545,0.326431898885545,0.326431898885545,0.326431898885545,0.462630542560866,0.345030210164836,0.161675404199994,-0.0450405822379364,-0.0308492920804684,0.0718644947931068,-0.321775423749365,-0.326431898885545,-0.298836962176684
"TWIST1",0.310478360030662,0.310478360030662,0.317118299895357,0.317118299895357,0.317118299895357,0.317118299895357,0.317118299895357,0.218362815769339,0.172678397765025,0.167475416196093,-0.00264795256006456,0.000231510484856234,0.00172660305227125,-0.320006260925281,-0.317118299895357,-0.310478360030662
"MIR129",0.30451710816777,0.30451710816777,0.310478360030662,0.310478360030662,0.310478360030662,0.310478360030662,0.310478360030662,0.213600911007434,0.169352250552213,0.162640183673764,-0.00134426105464395,0.098453267807032,0.00274674430259822,-0.317118299895357,-0.310478360030662,-0.30451710816777
"TGFB",0.15286991889044,0.15286991889044,0.148756808350594,0.148756808350594,0.148756808350594,0.148756808350594,0.148756808350594,0.184363385120837,0.148366002692542,0.0117477750417709,-0.0325295111134357,-0.0266362480002068,0.0910460379623924,-0.157304697125054,-0.148756808350594,-0.15286991889044
"MIR190",0.137581698339062,0.137581698339062,0.15286991889044,0.15286991889044,0.15286991889044,0.15286991889044,0.15286991889044,0.27521212860116,0.14839218755769,0.0167490842850283,-0.0373577376686818,-0.0217528340098857,0.0896822016227532,-0.148756808350594,-0.15286991889044,-0.137581698339062
"SNAIL1",-0.148756808350594,-0.148756808350594,-0.157304697125054,-0.157304697125054,-0.157304697125054,-0.157304697125054,-0.157304697125054,-0.182786918356657,-0.151724850058593,-0.0188526827410055,-0.0636252574531963,0.0230045810802858,-0.0895720978317132,0.154849655702544,0.157304697125054,0.148756808350594
"MIR34",-0.15286991889044,-0.15286991889044,-0.148756808350594,-0.148756808350594,-0.148756808350594,-0.148756808350594,-0.148756808350594,-0.184363385120837,-0.148366002692542,-0.0117477750417709,0.0325295111134357,0.0266362480002068,-0.0910460379623924,0.157304697125054,0.148756808350594,0.15286991889044
"ZEB1",-0.372358641810022,-0.372358641810022,-0.367324385033138,-0.367324385033138,-0.367324385033138,-0.367324385033138,-0.367324385033138,-0.334632302460669,-0.305467947366058,-0.279354240393876,-0.0580124555280548,-0.0407175612499802,0.0668942839119141,0.287748139744353,0.367324385033138,0.372358641810022
"HA",-0.33641981428241,-0.33641981428241,-0.372358641810022,-0.372358641810022,-0.372358641810022,-0.372358641810022,-0.372358641810022,-0.311705473192377,-0.302854165607696,-0.288146051762913,-0.0465829537371073,-0.0526527435497621,0.071350500801911,0.367324385033138,0.372358641810022,0.33641981428241
"CD24",-0.33641981428241,-0.33641981428241,-0.372358641810022,-0.372358641810022,-0.372358641810022,-0.372358641810022,-0.372358641810022,-0.311705473192377,-0.302854165607696,-0.288146051762913,-0.0465829537371073,-0.0526527435497621,0.071350500801911,0.367324385033138,0.372358641810022,0.33641981428241
