"","TWIST1","MIR200","HA","MIR340","HAS2","GRHL2","ZEB1","TGFB","MIR34","MIR190","MIR1199","ESRP1","SNAIL1","CD44s","CD24","MIR129"
"TWIST1",-0.0584355710790668,0.0360479469640641,0.209208624898425,0.210686951132452,0.210686951132452,0.210686951132452,-0.210269414598005,0.0484341219118773,-0.177861684450438,-0.210686951132452,-0.210686951132452,-0.210686951132452,0.127747521064642,-0.209208624898425,-0.209208624898425,0.00331701874052271
"GRHL2",0.161369354759808,0.231070445960621,0.204843096015871,0.204843096015871,0.204843096015871,0.204843096015871,-0.20382853933303,-0.0149688896826216,-0.174617499440507,-0.204843096015871,-0.204843096015871,-0.204843096015871,-0.130015778634725,-0.204843096015871,-0.304843096015871,-0.161369354759808
"HAS2",0.137764220093632,0.125378617456456,0.204545454545455,0.106326625028915,0.106326625028915,0.106326625028915,-0.105731892658482,-0.012110967689061,-0.081701809811666,-0.106326625028915,-0.106326625028915,-0.106326625028915,-0.103409509032671,-0.104545454545455,-0.104545454545455,-0.137764220093632
"ESRP1",0.137764220093632,0.125378617456456,0.104545454545455,0.106326625028915,0.106326625028915,0.106326625028915,-0.105731892658482,-0.012110967689061,-0.081701809811666,-0.106326625028915,-0.106326625028915,-0.106326625028915,-0.103409509032671,-0.00454545454545455,-0.104545454545455,-0.137764220093632
"MIR340",0.140412621920116,0.126853854548132,0.106326625028915,0.105731892658482,0.105731892658482,0.105731892658482,-0.104570141094585,-0.0125940594765006,-0.0794889541741529,-0.105731892658482,-0.105731892658482,-0.105731892658482,-0.105774693517061,-0.106326625028915,-0.106326625028915,-0.140412621920116
"MIR1199",0.140412621920116,0.126853854548132,0.106326625028915,0.105731892658482,0.105731892658482,0.105731892658482,-0.104570141094585,-0.0125940594765006,-0.0794889541741529,-0.105731892658482,-0.105731892658482,-0.105731892658482,-0.105774693517061,-0.106326625028915,-0.106326625028915,-0.140412621920116
"HA",0.140412621920116,0.126853854548132,0.106326625028915,0.105731892658482,0.105731892658482,0.105731892658482,-0.104570141094585,-0.0125940594765006,-0.0794889541741529,-0.105731892658482,-0.105731892658482,-0.105731892658482,-0.105774693517061,-0.106326625028915,-0.106326625028915,-0.140412621920116
"CD44s",0.140412621920116,0.126853854548132,0.106326625028915,0.105731892658482,0.105731892658482,0.105731892658482,-0.104570141094585,-0.0125940594765006,-0.0794889541741529,-0.105731892658482,-0.105731892658482,-0.105731892658482,-0.105774693517061,-0.106326625028915,-0.106326625028915,-0.140412621920116
"MIR190",-0.160600429347198,-0.0593612294303427,0.0853537392948333,0.0911181503224022,0.0911181503224022,0.0911181503224022,-0.0935174648039789,-0.000766272461461789,-0.144676310492269,-0.0911181503224022,-0.0911181503224022,-0.0911181503224022,0.0964759287937976,-0.0853537392948333,-0.0853537392948333,0.160600429347198
"MIR34",-0.163196117864576,-0.0570831461624715,0.0911181503224022,0.0935174648039789,0.0935174648039789,0.0935174648039789,-0.0927082842831609,0.101936430241241,-0.145330932120968,-0.0935174648039789,-0.0935174648039789,-0.0935174648039789,0.0903477950890622,-0.0911181503224022,-0.0911181503224022,0.163196117864576
"SNAIL1",-0.160081089753347,-0.0552011110431559,0.0935174648039789,0.0927082842831609,0.0927082842831609,0.0927082842831609,-0.0911524144104593,0.101432610966091,-0.142458352202012,-0.0927082842831609,-0.0927082842831609,-0.0927082842831609,-0.0128898737893453,-0.0935174648039789,-0.0935174648039789,0.160081089753347
"ZEB1",-0.14287444803417,-0.127054914683391,-0.105731892658482,-0.104570141094585,-0.104570141094585,-0.104570141094585,0.00407100693954828,0.0137322708586144,0.0778621948979694,0.104570141094585,0.104570141094585,0.104570141094585,0.105351378635915,0.105731892658482,0.105731892658482,0.14287444803417
"MIR200",-0.198242636898046,-0.199714094889232,-0.0869159424932134,-0.0842323981894159,-0.0842323981894159,-0.0842323981894159,0.0825630957821061,0.00373600358310362,-0.0210744328488532,0.0842323981894159,0.0842323981894159,0.0842323981894159,0.151165673768122,0.0869159424932134,0.0869159424932134,0.198242636898046
"TGFB",0.163196117864576,0.0570831461624715,-0.0911181503224022,-0.0935174648039789,-0.0935174648039789,-0.0935174648039789,0.0927082842831609,-0.101936430241241,0.145330932120968,0.0935174648039789,0.0935174648039789,0.0935174648039789,-0.0903477950890622,0.0911181503224022,0.0911181503224022,-0.163196117864576
"CD24",-0.140412621920116,-0.126853854548132,-0.106326625028915,-0.105731892658482,-0.105731892658482,-0.105731892658482,0.104570141094585,0.0125940594765006,0.0794889541741529,0.105731892658482,0.105731892658482,0.105731892658482,0.105774693517061,0.106326625028915,0.106326625028915,0.140412621920116
"MIR129",-0.043133466577837,-0.034723647610815,-0.205780905077263,-0.209208624898425,-0.209208624898425,-0.209208624898425,0.210686951132452,-0.0468280356904064,0.177368921900392,0.209208624898425,0.209208624898425,0.209208624898425,-0.131274349663516,0.205780905077263,0.205780905077263,-0.0017214131951395
