"","SNAIL1","MIR34","MIR200","MIR129","MIR340","MIR1199","GRHL2","ESRP1","TWIST1","ZEB1","MIR190","HAS2","HA","CD44s","CD24","TGFB"
"SNAIL1",0.399811726912231,0.503348080025779,0.503348080025779,0.402933720837131,0.428015324298447,0.428015324298447,0.428015324298447,0.428015324298447,0.172520814076705,-0.441118981602953,-0.428015324298447,-0.428015324298447,-0.411817001508981,-0.411817001508981,-0.411817001508981,-0.494171375906118
"MIR34",0.483975129262538,0.485905486599395,0.485905486599395,0.387388970799143,0.411817001508981,0.411817001508981,0.411817001508981,0.411817001508981,0.166366734149643,-0.428015324298447,-0.411817001508981,-0.411817001508981,-0.392622485656368,-0.392622485656368,-0.392622485656368,-0.4738398303186
"MIR200",0.516983783696563,0.553526385544617,0.553526385544617,0.431178694678159,0.41907131018588,0.41907131018588,0.41907131018588,0.41907131018588,0.221670837378732,-0.424641508745009,-0.41907131018588,-0.41907131018588,-0.377299158287146,-0.377299158287146,-0.377299158287146,-0.602540159351895
"HAS2",0.442884711803037,0.392575825407339,0.392575825407339,0.377499676793794,0.301143621917886,0.301143621917886,0.301143621917886,0.301143621917886,0.21592734324499,-0.354924420558497,-0.301143621917886,-0.301143621917886,-0.210049474335189,-0.310049474335189,-0.310049474335189,-0.357485606572828
"MIR340",0.466536556646934,0.437570556703441,0.437570556703441,0.401700590035804,0.354924420558497,0.354924420558497,0.354924420558497,0.354924420558497,0.22606432954636,-0.351022126843871,-0.354924420558497,-0.354924420558497,-0.301143621917886,-0.301143621917886,-0.301143621917886,-0.359321355365098
"MIR1199",0.466536556646934,0.437570556703441,0.437570556703441,0.401700590035804,0.354924420558497,0.354924420558497,0.354924420558497,0.354924420558497,0.22606432954636,-0.351022126843871,-0.354924420558497,-0.354924420558497,-0.301143621917886,-0.301143621917886,-0.301143621917886,-0.359321355365098
"HA",0.466536556646934,0.437570556703441,0.437570556703441,0.401700590035804,0.354924420558497,0.354924420558497,0.354924420558497,0.354924420558497,0.22606432954636,-0.351022126843871,-0.354924420558497,-0.354924420558497,-0.301143621917886,-0.301143621917886,-0.301143621917886,-0.359321355365098
"CD44s",0.466536556646934,0.437570556703441,0.437570556703441,0.401700590035804,0.354924420558497,0.354924420558497,0.354924420558497,0.354924420558497,0.22606432954636,-0.351022126843871,-0.354924420558497,-0.354924420558497,-0.301143621917886,-0.301143621917886,-0.301143621917886,-0.359321355365098
"CD24",0.466536556646934,0.437570556703441,0.437570556703441,0.401700590035804,0.354924420558497,0.354924420558497,0.354924420558497,0.354924420558497,0.22606432954636,-0.351022126843871,-0.354924420558497,-0.354924420558497,-0.301143621917886,-0.301143621917886,-0.301143621917886,-0.359321355365098
"GRHL2",0.264324294568658,0.187794314694094,0.187794314694094,0.245520513351534,0.151552514066637,0.151552514066637,0.151552514066637,0.151552514066637,0.149489078560603,-0.134702050899456,-0.151552514066637,-0.151552514066637,-0.109004743366,-0.109004743366,-0.209004743366,-0.137833744537501
"MIR129",0.221759893794231,0.143325978577696,0.143325978577696,0.0981862777503587,0.0654024790846254,0.0654024790846254,0.0654024790846254,0.0654024790846254,-0.0239812275222002,-0.0614185151658081,-0.0654024790846254,-0.0654024790846254,-0.0510954746136865,-0.0510954746136865,-0.0510954746136865,-0.105725213529509
"TWIST1",-0.225753306721362,-0.142740823049517,-0.142740823049517,-0.102083740475967,-0.0614185151658081,-0.0614185151658081,-0.0614185151658081,-0.0614185151658081,-0.0782154251974651,0.0704651400788213,0.0614185151658081,0.0614185151658081,0.0654024790846254,0.0654024790846254,0.0654024790846254,0.117813125617422
"ZEB1",-0.487083609724108,-0.444315210331662,-0.444315210331662,-0.420740789474881,-0.351022126843871,-0.351022126843871,-0.351022126843871,-0.351022126843871,-0.233387483176775,0.286358787738238,0.351022126843871,0.351022126843871,0.354924420558497,0.354924420558497,0.354924420558497,0.407679078942334
"ESRP1",-0.442884711803037,-0.392575825407339,-0.392575825407339,-0.377499676793794,-0.301143621917886,-0.301143621917886,-0.301143621917886,-0.301143621917886,-0.21592734324499,0.354924420558497,0.301143621917886,0.301143621917886,0.310049474335189,0.210049474335189,0.310049474335189,0.357485606572828
"MIR190",-0.464569372530876,-0.464879039885595,-0.464879039885595,-0.368427246206094,-0.392622485656368,-0.392622485656368,-0.392622485656368,-0.392622485656368,-0.158139721391174,0.411817001508981,0.392622485656368,0.392622485656368,0.368562335280428,0.368562335280428,0.368562335280428,0.548756852604043
"TGFB",-0.483975129262538,-0.485905486599395,-0.485905486599395,-0.387388970799143,-0.411817001508981,-0.411817001508981,-0.411817001508981,-0.411817001508981,-0.166366734149643,0.428015324298447,0.411817001508981,0.411817001508981,0.392622485656368,0.392622485656368,0.392622485656368,0.4738398303186
