"","TWIST1","MIR34","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","CD24","MIR200","ZEB1","TGFB","HA","CD44s","SNAIL1","MIR129"
"MIR129",-0.0673324421525621,0.10455601279657,0.184401658261038,0.184401658261038,0.184401658261038,0.184401658261038,0.184401658261038,0.184401658261038,0.181719094922737,0.073341664428052,-0.183123783041795,-0.108024448517686,-0.181719094922737,-0.181719094922737,-0.0456740655853009,-0.0134185983128322
"MIR1199",0.152683463407396,0.118512923234247,0.0858071934825673,0.0858071934825673,0.0858071934825673,0.0858071934825673,0.0858071934825673,0.0858071934825673,0.085212461112134,0.0634180328381928,-0.0859561359907591,-0.0722161598482262,-0.085212461112134,-0.085212461112134,-0.113639617493216,-0.152683463407396
"HA",0.152683463407396,0.118512923234247,0.0858071934825673,0.0858071934825673,0.0858071934825673,0.0858071934825673,0.0858071934825673,0.0858071934825673,0.085212461112134,0.0634180328381928,-0.0859561359907591,-0.0722161598482262,-0.085212461112134,-0.085212461112134,-0.113639617493216,-0.152683463407396
"CD44s",0.152683463407396,0.118512923234247,0.0858071934825673,0.0858071934825673,0.0858071934825673,0.0858071934825673,0.0858071934825673,0.0858071934825673,0.085212461112134,0.0634180328381928,-0.0859561359907591,-0.0722161598482262,-0.085212461112134,-0.085212461112134,-0.113639617493216,-0.152683463407396
"CD24",0.152683463407396,0.118512923234247,0.0858071934825673,0.0858071934825673,0.0858071934825673,0.0858071934825673,0.0858071934825673,0.0858071934825673,0.085212461112134,0.0634180328381928,-0.0859561359907591,-0.0722161598482262,-0.085212461112134,-0.085212461112134,-0.113639617493216,-0.152683463407396
"MIR200",0.161777158721271,0.194925187802447,0.071068849506774,0.071068849506774,0.071068849506774,0.071068849506774,0.071068849506774,0.071068849506774,0.069195431785255,-0.0192365619690147,-0.0705241297738623,-0.0755661184507834,-0.069195431785255,-0.069195431785255,-0.111218655981138,-0.161777158721271
"ZEB1",-0.152589976339773,-0.118750539757735,-0.0859561359907591,-0.0859561359907591,-0.0859561359907591,-0.0859561359907591,-0.0859561359907591,-0.0859561359907591,-0.0858071934825673,-0.0633631982558496,-0.0137892037260587,0.072834046027088,0.0858071934825673,0.0858071934825673,0.113737305542712,0.152589976339773
"MIR34",0.108440295904094,0.0614067110023912,0.0100216971977422,0.0100216971977422,0.0100216971977422,0.0100216971977422,0.0100216971977422,0.0100216971977422,0.0115641136501844,-0.0507364209111873,-0.0110957004344643,0.0622950109978387,-0.0115641136501844,-0.0115641136501844,-0.00846230939779879,-0.108440295904094
"MIR190",0.10751640677079,0.061485265597835,0.0115641136501844,0.0115641136501844,0.0115641136501844,0.0115641136501844,0.0115641136501844,0.0115641136501844,0.00780471515394377,-0.0489296652159791,-0.0100216971977422,-0.0341488012354472,-0.00780471515394377,-0.00780471515394377,-0.00943723975991579,-0.10751640677079
"GRHL2",-0.109561488053199,-0.00954552400840987,0.00653514984698498,0.00653514984698498,0.00653514984698498,0.00653514984698498,0.00653514984698498,0.00653514984698498,0.107044703987112,0.0181660528526174,-0.00657926100710849,-0.0130631064841591,-0.00704470398711237,-0.00704470398711237,0.0817999872724959,0.109561488053199
"SNAIL1",-0.108121195463431,-0.0616858645368351,-0.0110957004344643,-0.0110957004344643,-0.0110957004344643,-0.0110957004344643,-0.0110957004344643,-0.0110957004344643,-0.0100216971977422,0.0497008513479275,0.0104592082138137,-0.0640014956394769,0.0100216971977422,0.0100216971977422,-0.0907942258967891,0.108121195463431
"TGFB",-0.108440295904094,-0.0614067110023912,-0.0100216971977422,-0.0100216971977422,-0.0100216971977422,-0.0100216971977422,-0.0100216971977422,-0.0100216971977422,-0.0115641136501844,0.0507364209111873,0.0110957004344643,-0.0622950109978387,0.0115641136501844,0.0115641136501844,0.00846230939779879,0.108440295904094
"HAS2",-0.153688029617441,-0.11840754915627,-0.085212461112134,-0.085212461112134,-0.085212461112134,-0.085212461112134,-0.085212461112134,-0.085212461112134,-0.0854669140383426,-0.0627857883703319,0.0858071934825673,0.0721195414907382,-0.0145330859616574,0.0854669140383426,0.113261187975714,0.153688029617441
"ESRP1",-0.153688029617441,-0.11840754915627,-0.085212461112134,-0.085212461112134,-0.085212461112134,-0.085212461112134,-0.085212461112134,-0.085212461112134,-0.0854669140383426,-0.0627857883703319,0.0858071934825673,0.0721195414907382,0.0854669140383426,-0.0145330859616574,0.113261187975714,0.153688029617441
"MIR340",-0.152683463407396,-0.118512923234247,-0.0858071934825673,-0.0858071934825673,-0.0858071934825673,-0.0858071934825673,-0.0858071934825673,-0.0858071934825673,-0.085212461112134,-0.0634180328381928,0.0859561359907591,0.0722161598482262,0.085212461112134,0.085212461112134,0.113639617493216,0.152683463407396
"TWIST1",-0.0330336666340488,-0.104371226840303,-0.183123783041795,-0.183123783041795,-0.183123783041795,-0.183123783041795,-0.183123783041795,-0.183123783041795,-0.184401658261038,-0.0719557697560471,0.184115432311106,0.110870320594328,0.184401658261038,0.184401658261038,0.0448095122711799,0.0138109603321888
