"","MIR190","MIR1199","HAS2","ESRP1","MIR34","MIR200","TWIST1","TGFB","ZEB1","SNAIL1","MIR129","MIR340","GRHL2","HA","CD44s","CD24"
"TWIST1",0.200302375553376,0.200302375553376,0.200302375553376,0.200302375553376,0.0994141263278257,0.0994141263278257,0.0212897462297862,-0.00057665539215016,-0.200267580842172,-0.00569844708348549,-0.0478055807784184,-0.200302375553376,-0.200302375553376,-0.20012698091544,-0.20012698091544,-0.20012698091544
"HAS2",0.107520995907037,0.107520995907037,0.107520995907037,0.107520995907037,0.0993360056807926,0.0993360056807926,0.0973348377113083,-0.00235826828118917,-0.108115728277471,-0.0639068333531489,-0.0973348377113083,-0.107520995907037,-0.107520995907037,-0.207266542980829,-0.107266542980829,-0.107266542980829
"MIR340",0.108115728277471,0.108115728277471,0.108115728277471,0.108115728277471,0.0995467538367462,0.0995467538367462,0.0974261619122216,-0.0020684132087254,-0.107966785769279,-0.0640014407325245,-0.0974261619122216,-0.108115728277471,-0.108115728277471,-0.107520995907037,-0.107520995907037,-0.107520995907037
"MIR1199",0.108115728277471,0.108115728277471,0.108115728277471,0.108115728277471,0.0995467538367462,0.0995467538367462,0.0974261619122216,-0.0020684132087254,-0.107966785769279,-0.0640014407325245,-0.0974261619122216,-0.108115728277471,-0.108115728277471,-0.107520995907037,-0.107520995907037,-0.107520995907037
"CD44s",0.108115728277471,0.108115728277471,0.108115728277471,0.108115728277471,0.0995467538367462,0.0995467538367462,0.0974261619122216,-0.0020684132087254,-0.107966785769279,-0.0640014407325245,-0.0974261619122216,-0.108115728277471,-0.108115728277471,-0.107520995907037,-0.107520995907037,-0.107520995907037
"MIR200",0.107755011405748,0.107755011405748,0.107755011405748,0.107755011405748,0.182923249503821,0.182923249503821,-0.0612554509977483,0.185648302180358,-0.10773743980146,0.0117498413263802,0.0612554509977483,-0.107755011405748,-0.107755011405748,-0.107299315203216,-0.107299315203216,-0.107299315203216
"TGFB",0.0549345903622465,0.0549345903622465,0.0549345903622465,0.0549345903622465,0.0704320078553266,0.0704320078553266,-0.0895406776192622,0.0620276520789999,-0.0548904532429291,-0.0110927054173244,0.0895406776192622,-0.0549345903622465,-0.0549345903622465,-0.0547632107564196,-0.0547632107564196,-0.0547632107564196
"SNAIL1",0.0548904532429291,0.0548904532429291,0.0548904532429291,0.0548904532429291,0.0703329533753626,0.0703329533753626,-0.0894647013238663,0.0620439043136822,-0.0548500410384434,-0.111068722684892,0.0894647013238663,-0.0548904532429291,-0.0548904532429291,-0.0549345903622465,-0.0549345903622465,-0.0549345903622465
"GRHL2",0.0040435668371774,0.0040435668371774,0.0040435668371774,0.0040435668371774,-0.00318521159865885,-0.00318521159865885,0.0785764082715526,-0.00254070383338312,-0.00377889987643633,-0.0569357609119151,-0.0785764082715526,-0.0040435668371774,-0.0040435668371774,-0.00366140123208186,-0.00366140123208186,0.0963385987679181
"ZEB1",-0.107966785769279,-0.107966785769279,-0.107966785769279,-0.107966785769279,-0.0994188064779453,-0.0994188064779453,-0.0975196489798439,0.00216597418433516,0.00793622653529695,0.0639688780493594,0.0975196489798439,0.107966785769279,0.107966785769279,0.108115728277471,0.108115728277471,0.108115728277471
"MIR34",-0.0549345903622465,-0.0549345903622465,-0.0549345903622465,-0.0549345903622465,-0.0704320078553266,-0.0704320078553266,0.0895406776192622,-0.0620276520789999,0.0548904532429291,0.0110927054173244,-0.0895406776192622,0.0549345903622465,0.0549345903622465,0.0547632107564196,0.0547632107564196,0.0547632107564196
"MIR190",-0.0547632107564196,-0.0547632107564196,-0.0547632107564196,-0.0547632107564196,-0.0703010835295869,-0.0703010835295869,0.0894086934573616,-0.161885404568331,0.0549345903622465,0.0109070043959687,-0.0894086934573616,0.0547632107564196,0.0547632107564196,0.0545125841900035,0.0545125841900035,0.0545125841900035
"HA",-0.108115728277471,-0.108115728277471,-0.108115728277471,-0.108115728277471,-0.0995467538367462,-0.0995467538367462,-0.0974261619122216,0.0020684132087254,0.107966785769279,0.0640014407325245,0.0974261619122216,0.108115728277471,0.108115728277471,0.107520995907037,0.107520995907037,0.107520995907037
"CD24",-0.108115728277471,-0.108115728277471,-0.108115728277471,-0.108115728277471,-0.0995467538367462,-0.0995467538367462,-0.0974261619122216,0.0020684132087254,0.107966785769279,0.0640014407325245,0.0974261619122216,0.108115728277471,0.108115728277471,0.107520995907037,0.107520995907037,0.107520995907037
"ESRP1",-0.107520995907037,-0.107520995907037,-0.107520995907037,-0.107520995907037,-0.0993360056807926,-0.0993360056807926,-0.0973348377113083,0.00235826828118917,0.108115728277471,0.0639068333531489,0.0973348377113083,0.107520995907037,0.107520995907037,0.107266542980829,0.0072665429808287,0.107266542980829
"MIR129",-0.20012698091544,-0.20012698091544,-0.20012698091544,-0.20012698091544,-0.099321733349692,-0.099321733349692,-0.121289746229786,0.000661186245911783,0.200302375553376,0.00560238560413871,0.0478317382463755,0.20012698091544,0.20012698091544,0.199828918322296,0.199828918322296,0.199828918322296
