"","ZEB1","MIR190","MIR1199","HAS2","ESRP1","CD44s","TGFB","SNAIL1","HA","CD24","MIR340","GRHL2","MIR34","MIR200","MIR129","TWIST1"
"GRHL2",-0.113931088126786,0.115342645250739,0.115342645250739,0.115342645250739,0.115342645250739,0.121202517862204,0.132498556103528,0.0477374292030421,-0.121202517862204,-0.0212025178622037,-0.115342645250739,-0.115342645250739,-0.138676450683001,-0.138676450683001,-0.0491495602868794,-0.0645572601218484
"ZEB1",-0.0714041485261981,-0.0266909925555988,-0.0266909925555988,-0.0266909925555988,-0.0266909925555988,-0.0261250110244698,-0.0254443753966876,-0.0228024391747102,0.0261250110244698,0.0261250110244698,0.0266909925555988,0.0266909925555988,0.0295627176813491,0.0295627176813491,0.0325200197219243,0.0451460130031838
"MIR200",-0.0281077873489348,0.0281605021617972,0.0281605021617972,0.0281605021617972,0.0281605021617972,0.0327680970985061,0.0503322829895604,0.0942522220069677,-0.0327680970985061,-0.0327680970985061,-0.0281605021617972,-0.0281605021617972,-0.15754672625716,-0.15754672625716,-0.0586236597010965,-0.116578170727248
"HA",-0.0266909925555988,0.0261250110244698,0.0261250110244698,0.0261250110244698,0.0261250110244698,0.0331768377024648,0.0308102290552242,0.0236490689370026,-0.0331768377024648,-0.0331768377024648,-0.0261250110244698,-0.0261250110244698,-0.0295809958754635,-0.0295809958754635,-0.0326758315012948,-0.0460497213235328
"CD24",-0.0266909925555988,0.0261250110244698,0.0261250110244698,0.0261250110244698,0.0261250110244698,0.0331768377024648,0.0308102290552242,0.0236490689370026,-0.0331768377024648,-0.0331768377024648,-0.0261250110244698,-0.0261250110244698,-0.0295809958754635,-0.0295809958754635,-0.0326758315012948,-0.0460497213235328
"SNAIL1",-0.0163732904769636,0.0153528823136983,0.0153528823136983,0.0153528823136983,0.0153528823136983,0.0160443638496701,0.100631898445391,-0.036643814529376,-0.0160443638496701,-0.0160443638496701,-0.0153528823136983,-0.0153528823136983,-0.092347274496965,-0.092347274496965,-0.0340309455537011,-0.111215577608789
"TWIST1",0.0105449876736396,-0.0111886898309117,-0.0111886898309117,-0.0111886898309117,-0.0111886898309117,-0.00971036359688515,-0.0114735673771229,-0.0205203308306182,0.00971036359688515,0.00971036359688515,0.0111886898309117,0.0111886898309117,0.013331592616168,0.013331592616168,-0.0209436015663386,0.00463902852643692
"MIR129",0.0111886898309117,-0.00971036359688515,-0.00971036359688515,-0.00971036359688515,-0.00971036359688515,-0.00911423841059603,-0.0104873740832373,-0.0195734391056285,0.00911423841059603,0.00911423841059603,0.00971036359688515,0.00971036359688515,0.0128696277254997,0.0128696277254997,-0.0200804051237542,0.104639028526437
"TGFB",0.0153528823136983,-0.0160443638496701,-0.0160443638496701,-0.0160443638496701,-0.0160443638496701,-0.0169869516817181,-0.102013338393384,-0.0645952933129775,0.0169869516817181,0.0169869516817181,0.0160443638496701,0.0160443638496701,0.092158170489761,0.092158170489761,0.0326177864593386,0.111048429758918
"MIR34",0.0153528823136983,-0.0160443638496701,-0.0160443638496701,-0.0160443638496701,-0.0160443638496701,-0.0169869516817181,-0.102013338393384,-0.0645952933129775,0.0169869516817181,0.0169869516817181,0.0160443638496701,0.0160443638496701,0.092158170489761,0.092158170489761,0.0326177864593386,0.111048429758918
"MIR190",0.0160443638496701,-0.0169869516817181,-0.0169869516817181,-0.0169869516817181,-0.0169869516817181,-0.0179894579473822,-0.00206075423027316,-0.0630168346314547,0.0179894579473822,0.0179894579473822,0.0169869516817181,0.0169869516817181,0.0938078169940815,0.0938078169940815,0.0351254855354494,0.112148297774757
"HAS2",0.0261250110244698,-0.0331768377024648,-0.0331768377024648,-0.0331768377024648,-0.0331768377024648,-0.0354669140383426,-0.0332256879924223,-0.0245951427307585,-0.0645330859616574,0.0354669140383426,0.0331768377024648,0.0331768377024648,0.0339013330725131,0.0339013330725131,0.033497749309514,0.0474195843372314
"ESRP1",0.0261250110244698,-0.0331768377024648,-0.0331768377024648,-0.0331768377024648,-0.0331768377024648,0.0645330859616574,-0.0332256879924223,-0.0245951427307585,0.0354669140383426,0.0354669140383426,0.0331768377024648,0.0331768377024648,0.0339013330725131,0.0339013330725131,0.033497749309514,0.0474195843372314
"MIR340",0.0266909925555988,-0.0261250110244698,-0.0261250110244698,-0.0261250110244698,-0.0261250110244698,-0.0331768377024648,-0.0308102290552242,-0.0236490689370026,0.0331768377024648,0.0331768377024648,0.0261250110244698,0.0261250110244698,0.0295809958754635,0.0295809958754635,0.0326758315012948,0.0460497213235328
"MIR1199",0.0266909925555988,-0.0261250110244698,-0.0261250110244698,-0.0261250110244698,-0.0261250110244698,-0.0331768377024648,-0.0308102290552242,-0.0236490689370026,0.0331768377024648,0.0331768377024648,0.0261250110244698,0.0261250110244698,0.0295809958754635,0.0295809958754635,0.0326758315012948,0.0460497213235328
"CD44s",0.0266909925555988,-0.0261250110244698,-0.0261250110244698,-0.0261250110244698,-0.0261250110244698,-0.0331768377024648,-0.0308102290552242,-0.0236490689370026,0.0331768377024648,0.0331768377024648,0.0261250110244698,0.0261250110244698,0.0295809958754635,0.0295809958754635,0.0326758315012948,0.0460497213235328
