"","MIR340","HAS2","GRHL2","ESRP1","CD24","MIR34","MIR200","MIR129","SNAIL1","TGFB","ZEB1","TWIST1","HA","CD44s","MIR190","MIR1199"
"MIR129",0.199381799758523,0.199381799758523,0.199381799758523,0.199381799758523,0.199977924944812,0.0950294767158567,0.0950294767158567,0.0533157744896993,0.0118843008634212,0.00300159724185182,-0.199406856135371,-0.127347756618243,-0.199977924944812,-0.199977924944812,-0.199381799758523,-0.199381799758523
"MIR340",0.108118613721504,0.108118613721504,0.108118613721504,0.108118613721504,0.10786372841989,0.10079845744143,0.10079845744143,0.0947858306614149,0.0612458090368392,0.00161325617185922,-0.108386710236249,-0.0947858306614149,-0.10786372841989,-0.10786372841989,-0.108118613721504,-0.108118613721504
"MIR1199",0.108118613721504,0.108118613721504,0.108118613721504,0.108118613721504,0.10786372841989,0.10079845744143,0.10079845744143,0.0947858306614149,0.0612458090368392,0.00161325617185922,-0.108386710236249,-0.0947858306614149,-0.10786372841989,-0.10786372841989,-0.108118613721504,-0.108118613721504
"CD44s",0.108118613721504,0.108118613721504,0.108118613721504,0.108118613721504,0.10786372841989,0.10079845744143,0.10079845744143,0.0947858306614149,0.0612458090368392,0.00161325617185922,-0.108386710236249,-0.0947858306614149,-0.10786372841989,-0.10786372841989,-0.108118613721504,-0.108118613721504
"CD24",0.108118613721504,0.108118613721504,0.108118613721504,0.108118613721504,0.10786372841989,0.10079845744143,0.10079845744143,0.0947858306614149,0.0612458090368392,0.00161325617185922,-0.108386710236249,-0.0947858306614149,-0.10786372841989,-0.10786372841989,-0.108118613721504,-0.108118613721504
"HAS2",0.10786372841989,0.10786372841989,0.10786372841989,0.10786372841989,0.108627087198516,0.100271587051546,0.100271587051546,0.0952424516659811,0.0612458090368392,0.00170987452934715,-0.108118613721504,-0.0952424516659811,-0.208627087198516,-0.108627087198516,-0.10786372841989,-0.10786372841989
"MIR200",0.103562344312482,0.103562344312482,0.103562344312482,0.103562344312482,0.102904116464381,0.01322377895999,0.01322377895999,0.119976083834694,0.0702114531341564,-0.00880837401383823,-0.103755631959644,-0.119976083834694,-0.102904116464381,-0.102904116464381,-0.103562344312482,-0.103562344312482
"TGFB",0.0525351762039421,0.0525351762039421,0.0525351762039421,0.0525351762039421,0.0526208660068555,0.0649925185257,0.0649925185257,-0.0815344466253995,0.0188073598188099,-0.0590702404311012,-0.0528441360391635,0.0815344466253995,-0.0526208660068555,-0.0526208660068555,-0.0525351762039421,-0.0525351762039421
"GRHL2",-0.00397957614491446,-0.00397957614491446,-0.00397957614491446,-0.00397957614491446,0.0964025894601811,0.00254987069049302,0.00254987069049302,-0.0770553206252242,-0.0554724097825587,-0.00242315948220227,0.00411190962528499,0.0770553206252242,0.00359741053981892,0.00359741053981892,0.00397957614491446,0.00397957614491446
"ZEB1",-0.108386710236249,-0.108386710236249,-0.108386710236249,-0.108386710236249,-0.108118613721504,-0.10096296118846,-0.10096296118846,-0.0946300188820444,-0.06150631050216,-0.00138561389543646,0.00837652382492211,0.0946300188820444,0.108118613721504,0.108118613721504,0.108386710236249,0.108386710236249
"MIR190",-0.0526208660068555,-0.0526208660068555,-0.0526208660068555,-0.0526208660068555,-0.0538739988389357,-0.0645997455484809,-0.0645997455484809,0.0811384941396978,-0.0190859113508433,-0.0407875120582303,0.0525351762039421,-0.0811384941396978,0.0538739988389357,0.0538739988389357,0.0526208660068555,0.0526208660068555
"MIR34",-0.0525351762039421,-0.0525351762039421,-0.0525351762039421,-0.0525351762039421,-0.0526208660068555,-0.0649925185257,-0.0649925185257,0.0815344466253995,-0.0188073598188099,0.0590702404311012,0.0528441360391635,-0.0815344466253995,0.0526208660068555,0.0526208660068555,0.0525351762039421,0.0525351762039421
"SNAIL1",-0.0528441360391635,-0.0528441360391635,-0.0528441360391635,-0.0528441360391635,-0.0525351762039421,-0.065289681965592,-0.065289681965592,0.081853547066062,-0.119071169875569,0.0593465284206997,0.0528946512947707,-0.081853547066062,0.0525351762039421,0.0525351762039421,0.0528441360391635,0.0528441360391635
"ESRP1",-0.10786372841989,-0.10786372841989,-0.10786372841989,-0.10786372841989,-0.108627087198516,-0.100271587051546,-0.100271587051546,-0.0952424516659811,-0.0612458090368392,-0.00170987452934715,0.108118613721504,0.0952424516659811,0.108627087198516,0.00862708719851577,0.10786372841989,0.10786372841989
"HA",-0.108118613721504,-0.108118613721504,-0.108118613721504,-0.108118613721504,-0.10786372841989,-0.10079845744143,-0.10079845744143,-0.0947858306614149,-0.0612458090368392,-0.00161325617185922,0.108386710236249,0.0947858306614149,0.10786372841989,0.10786372841989,0.108118613721504,0.108118613721504
"TWIST1",-0.199406856135371,-0.199406856135371,-0.199406856135371,-0.199406856135371,-0.199381799758523,-0.0953066556502577,-0.0953066556502577,-0.0530803572780854,-0.0117607932471182,-0.00308612809561344,0.199598227046993,0.0271385515973225,0.199381799758523,0.199381799758523,0.199406856135371,0.199406856135371
