"","MIR340","MIR190","HAS2","GRHL2","ESRP1","MIR200","SNAIL1","TGFB","ZEB1","MIR34","HA","CD44s","CD24","MIR1199","TWIST1","MIR129"
"GRHL2",0.208104659977538,0.208104659977538,0.208104659977538,0.208104659977538,0.208104659977538,0.182872545566881,0.106519397602929,0.0124432303610774,-0.208325215778156,-0.182872545566881,-0.207849882907475,-0.207849882907475,-0.307849882907475,-0.208104659977538,-0.134884118302777,-0.134884118302777
"SNAIL1",0.148100144470872,0.148100144470872,0.148100144470872,0.148100144470872,0.148100144470872,-0.00232622956422258,-0.0414237824008622,0.0848197209972559,-0.148271896339937,0.00232622956422258,-0.147879458874285,-0.147879458874285,-0.147879458874285,-0.148100144470872,-0.156487405348448,-0.156487405348448
"TGFB",0.147879458874285,0.147879458874285,0.147879458874285,0.147879458874285,0.147879458874285,-0.00238926423329057,0.0585522348667052,0.0845759374770219,-0.148100144470872,0.00238926423329057,-0.147536699662632,-0.147536699662632,-0.147536699662632,-0.147879458874285,-0.156046742835152,-0.156046742835152
"MIR190",0.147536699662632,0.147536699662632,0.147536699662632,0.147536699662632,0.147536699662632,-0.00220597017725496,0.0583665338453496,0.18471818498769,-0.147879458874285,0.00220597017725496,-0.146283566830551,-0.146283566830551,-0.146283566830551,-0.147536699662632,-0.155122853701848,-0.155122853701848
"HA",0.107312059316258,0.107312059316258,0.107312059316258,0.107312059316258,0.107312059316258,0.0943434552270475,0.0815475350260745,0.00486029027170221,-0.107520578827727,-0.0943434552270475,-0.107057174014644,-0.107057174014644,-0.107057174014644,-0.107312059316258,-0.114963000577183,-0.114963000577183
"CD44s",0.107312059316258,0.107312059316258,0.107312059316258,0.107312059316258,0.107312059316258,0.0943434552270475,0.0815475350260745,0.00486029027170221,-0.107520578827727,-0.0943434552270475,-0.107057174014644,-0.107057174014644,-0.107057174014644,-0.107312059316258,-0.114963000577183,-0.114963000577183
"ZEB1",-0.107520578827727,-0.107520578827727,-0.107520578827727,-0.107520578827727,-0.107520578827727,-0.0945079589740773,-0.081742911125065,-0.00495785124731197,0.0075918837070179,0.0945079589740773,0.107312059316258,0.107312059316258,0.107312059316258,0.107520578827727,0.115118812356553,0.115118812356553
"HAS2",-0.107057174014644,-0.107057174014644,-0.107057174014644,-0.107057174014644,-0.107057174014644,-0.0943434552270475,-0.0816421424054501,-0.00457043519923844,0.107312059316258,0.0943434552270475,0.00680272108843537,0.106802721088435,0.106802721088435,0.107057174014644,0.11432373117079,0.11432373117079
"ESRP1",-0.107057174014644,-0.107057174014644,-0.107057174014644,-0.107057174014644,-0.107057174014644,-0.0943434552270475,-0.0816421424054501,-0.00457043519923844,0.107312059316258,0.0943434552270475,0.106802721088435,0.00680272108843537,0.106802721088435,0.107057174014644,0.11432373117079,0.11432373117079
"MIR340",-0.107312059316258,-0.107312059316258,-0.107312059316258,-0.107312059316258,-0.107312059316258,-0.0943434552270475,-0.0815475350260745,-0.00486029027170221,0.107520578827727,0.0943434552270475,0.107057174014644,0.107057174014644,0.107057174014644,0.107312059316258,0.114963000577183,0.114963000577183
"MIR1199",-0.107312059316258,-0.107312059316258,-0.107312059316258,-0.107312059316258,-0.107312059316258,-0.0943434552270475,-0.0815475350260745,-0.00486029027170221,0.107520578827727,0.0943434552270475,0.107057174014644,0.107057174014644,0.107057174014644,0.107312059316258,0.114963000577183,0.114963000577183
"CD24",-0.107312059316258,-0.107312059316258,-0.107312059316258,-0.107312059316258,-0.107312059316258,-0.0943434552270475,-0.0815475350260745,-0.00486029027170221,0.107520578827727,0.0943434552270475,0.107057174014644,0.107057174014644,0.107057174014644,0.107312059316258,0.114963000577183,0.114963000577183
"MIR200",-0.144862399395234,-0.144862399395234,-0.144862399395234,-0.144862399395234,-0.144862399395234,-0.021637428520678,-0.119755795736965,-0.204179450230202,0.145125973459546,0.021637428520678,0.144204171547133,0.144204171547133,0.144204171547133,0.144862399395234,0.1691213357712,0.1691213357712
"MIR34",-0.147879458874285,-0.147879458874285,-0.147879458874285,-0.147879458874285,-0.147879458874285,0.00238926423329057,-0.0585522348667052,-0.0845759374770219,0.148100144470872,-0.00238926423329057,0.147536699662632,0.147536699662632,0.147536699662632,0.147879458874285,0.156046742835152,0.156046742835152
"MIR129",-0.24719664070956,-0.24719664070956,-0.24719664070956,-0.24719664070956,-0.24719664070956,-0.100699355388846,-0.0735903581763891,-0.0172001059431449,0.247772937377062,0.100699355388846,0.246153421633554,0.246153421633554,0.246153421633554,0.24719664070956,0.287856796767523,0.317086032340914
"TWIST1",-0.247772937377062,-0.247772937377062,-0.247772937377062,-0.247772937377062,-0.247772937377062,-0.100699355388846,-0.0737413119296484,-0.0173409906994143,0.248086089777897,0.100699355388846,0.24719664070956,0.24719664070956,0.24719664070956,0.247772937377062,0.189007424382586,0.318210803463069
