"","HA","MIR340","HAS2","GRHL2","MIR34","MIR200","MIR129","SNAIL1","TWIST1","ZEB1","TGFB","MIR190","MIR1199","ESRP1","CD44s","CD24"
"HAS2",0.263141620284477,0.164922790767938,0.164922790767938,0.164922790767938,0.123278812886111,0.123278812886111,0.0483534269651917,-0.0296137921046662,-0.0323182229535171,-0.16585737020719,-0.136493346635334,-0.164922790767938,-0.164922790767938,-0.164922790767938,-0.163141620284477,-0.163141620284477
"MIR340",0.164922790767938,0.16585737020719,0.16585737020719,0.16585737020719,0.125280920367671,0.125280920367671,0.0495406415770638,-0.0281946814140323,-0.0362451635927865,-0.165529696689168,-0.136589964992822,-0.16585737020719,-0.16585737020719,-0.16585737020719,-0.164922790767938,-0.164922790767938
"MIR1199",0.164922790767938,0.16585737020719,0.16585737020719,0.16585737020719,0.125280920367671,0.125280920367671,0.0495406415770638,-0.0281946814140323,-0.0362451635927865,-0.165529696689168,-0.136589964992822,-0.16585737020719,-0.16585737020719,-0.16585737020719,-0.164922790767938,-0.164922790767938
"HA",0.164922790767938,0.16585737020719,0.16585737020719,0.16585737020719,0.125280920367671,0.125280920367671,0.0495406415770638,-0.0281946814140323,-0.0362451635927865,-0.165529696689168,-0.136589964992822,-0.16585737020719,-0.16585737020719,-0.16585737020719,-0.164922790767938,-0.164922790767938
"MIR200",0.146095190383488,0.147057215699944,0.147057215699944,0.147057215699944,0.0348573097194428,0.0348573097194428,-0.0782792048496793,0.0474007392663021,0.0376159387248796,-0.146899071261357,-0.135899704644892,-0.147057215699944,-0.147057215699944,-0.147057215699944,-0.146095190383488,-0.146095190383488
"SNAIL1",0.0720317919771104,0.0722524775736972,0.0722524775736972,0.0722524775736972,-0.025255314719116,-0.025255314719116,-0.0823352825461965,-0.075918714015835,0.0205577310247654,-0.0719796951934183,0.0266639755712851,-0.0722524775736972,-0.0722524775736972,-0.0722524775736972,-0.0720317919771104,-0.0720317919771104
"MIR129",0.0198730684326711,0.0204691936189602,0.0204691936189602,0.0204691936189602,0.00953814585051006,0.00953814585051006,0.00771545547944217,-0.00334341711161675,0.103152011213304,-0.0203940244884165,-0.0131912490703262,-0.0204691936189602,-0.0204691936189602,-0.0204691936189602,-0.0198730684326711,-0.0198730684326711
"TWIST1",0.0204691936189602,0.0203940244884165,0.0203940244884165,0.0203940244884165,0.0104312779724688,0.0104312779724688,0.00904948634525436,-0.00212206401706481,0.00100765974886854,-0.0200982694431834,-0.0131067182165646,-0.0203940244884165,-0.0203940244884165,-0.0203940244884165,-0.0204691936189602,-0.0204691936189602
"GRHL2",-0.0253429841440313,-0.025597761214095,-0.025597761214095,-0.025597761214095,-0.0168408218798614,-0.0168408218798614,-0.05174417328183,0.0391556603559853,0.0437296419822695,0.0251125384527363,0.0182116546835401,0.025597761214095,0.025597761214095,0.025597761214095,0.0253429841440313,-0.0746570158559687
"ZEB1",-0.16585737020719,-0.165529696689168,-0.165529696689168,-0.165529696689168,-0.12453151440898,-0.12453151440898,-0.0499457522034272,0.0285854336120135,0.0349051822902,0.0658862210856234,0.138183460927782,0.165529696689168,0.165529696689168,0.165529696689168,0.16585737020719,0.16585737020719
"MIR190",-0.0709435959085328,-0.071946102174197,-0.071946102174197,-0.071946102174197,0.0251763050422698,0.0251763050422698,0.0816824412700701,-0.0250524753072396,-0.0205558190827959,0.0720317919771104,0.0724972889034336,0.071946102174197,0.071946102174197,0.071946102174197,0.0709435959085328,0.0709435959085328
"TGFB",-0.071946102174197,-0.0720317919771104,-0.0720317919771104,-0.0720317919771104,0.0260927753224479,0.0260927753224479,0.0829582881684423,-0.0232418903490223,-0.0221836237462363,0.0722524775736972,-0.0261276518267703,0.0720317919771104,0.0720317919771104,0.0720317919771104,0.071946102174197,0.071946102174197
"MIR34",-0.071946102174197,-0.0720317919771104,-0.0720317919771104,-0.0720317919771104,0.0260927753224479,0.0260927753224479,0.0829582881684423,-0.0232418903490223,-0.0221836237462363,0.0722524775736972,-0.0261276518267703,0.0720317919771104,0.0720317919771104,0.0720317919771104,0.071946102174197,0.071946102174197
"CD44s",-0.164922790767938,-0.16585737020719,-0.16585737020719,-0.16585737020719,-0.125280920367671,-0.125280920367671,-0.0495406415770638,0.0281946814140323,0.0362451635927865,0.165529696689168,0.136589964992822,0.16585737020719,0.16585737020719,0.16585737020719,0.164922790767938,0.164922790767938
"CD24",-0.164922790767938,-0.16585737020719,-0.16585737020719,-0.16585737020719,-0.125280920367671,-0.125280920367671,-0.0495406415770638,0.0281946814140323,0.0362451635927865,0.165529696689168,0.136589964992822,0.16585737020719,0.16585737020719,0.16585737020719,0.164922790767938,0.164922790767938
"ESRP1",-0.163141620284477,-0.164922790767938,-0.164922790767938,-0.164922790767938,-0.123278812886111,-0.123278812886111,-0.0483534269651917,0.0296137921046662,0.0323182229535171,0.16585737020719,0.136493346635334,0.164922790767938,0.164922790767938,0.164922790767938,0.263141620284477,0.163141620284477
