"","MIR340","MIR1199","HAS2","GRHL2","HA","CD44s","TGFB","MIR200","MIR34","MIR129","SNAIL1","TWIST1","ZEB1","CD24","MIR190","ESRP1"
"MIR340",0.295625889651002,0.295625889651002,0.295625889651002,0.295625889651002,0.307605498826873,0.307605498826873,0.286442750104449,0.25135961350319,0.234556577923958,0.0880757438639792,-0.0601303301707011,-0.0880757438639792,-0.316150167279837,-0.307605498826873,-0.295625889651002,-0.295625889651002
"MIR1199",0.295625889651002,0.295625889651002,0.295625889651002,0.295625889651002,0.307605498826873,0.307605498826873,0.286442750104449,0.25135961350319,0.234556577923958,0.0880757438639792,-0.0601303301707011,-0.0880757438639792,-0.316150167279837,-0.307605498826873,-0.295625889651002,-0.295625889651002
"CD44s",0.295625889651002,0.295625889651002,0.295625889651002,0.295625889651002,0.307605498826873,0.307605498826873,0.286442750104449,0.25135961350319,0.234556577923958,0.0880757438639792,-0.0601303301707011,-0.0880757438639792,-0.316150167279837,-0.307605498826873,-0.295625889651002,-0.295625889651002
"CD24",0.295625889651002,0.295625889651002,0.295625889651002,0.295625889651002,0.307605498826873,0.307605498826873,0.286442750104449,0.25135961350319,0.234556577923958,0.0880757438639792,-0.0601303301707011,-0.0880757438639792,-0.316150167279837,-0.307605498826873,-0.295625889651002,-0.295625889651002
"MIR200",0.257827278899857,0.257827278899857,0.257827278899857,0.257827278899857,0.269726013077073,0.269726013077073,0.438185360235856,0.308128344544616,0.0897866583327755,-0.121179746660183,0.0627637533743602,0.121179746660183,-0.272218422811296,-0.269726013077073,-0.257827278899857,-0.257827278899857
"TWIST1",0.110589053324328,0.110589053324328,0.110589053324328,0.110589053324328,0.107607344479427,0.107607344479427,0.106296332909147,0.0963718917177111,0.0493711381388148,-0.308738098452114,0.075874564223379,0.179876861391674,-0.118278684500389,-0.107607344479427,-0.110589053324328,-0.110589053324328
"GRHL2",0.0938561798431742,0.0938561798431742,0.0938561798431742,0.0938561798431742,0.109779746722155,0.109779746722155,0.099511325792438,0.0710250106013985,0.0815552926415421,0.0735813894652542,-0.0542283098004791,-0.0735813894652542,-0.112162311294431,-0.209779746722155,-0.0938561798431742,-0.0938561798431742
"MIR190",0.0349389305608395,0.0349389305608395,0.0349389305608395,0.0349389305608395,0.0231594819392856,0.0231594819392856,-0.179190328604154,-0.0851273900193394,0.121654748218221,0.199014244115819,-0.0851633517859839,-0.199014244115819,-0.029369093371465,-0.0231594819392856,-0.0349389305608395,-0.0349389305608395
"MIR34",0.029369093371465,0.029369093371465,0.029369093371465,0.029369093371465,0.0349389305608395,0.0349389305608395,-0.0779101010081372,-0.0784502494066135,0.108169542667029,0.187795590354271,-0.105776165156457,-0.187795590354271,-0.0261765084075103,-0.0349389305608395,-0.029369093371465,-0.029369093371465
"TGFB",-0.029369093371465,-0.029369093371465,-0.029369093371465,-0.029369093371465,-0.0349389305608395,-0.0349389305608395,0.0779101010081372,0.0784502494066135,-0.108169542667029,-0.187795590354271,0.105776165156457,0.187795590354271,0.0261765084075103,0.0349389305608395,0.029369093371465,0.029369093371465
"SNAIL1",-0.0261765084075103,-0.0261765084075103,-0.0261765084075103,-0.0261765084075103,-0.029369093371465,-0.029369093371465,0.0758785716728536,0.0884007221666316,-0.114211865944832,-0.197414189351384,-0.00769413622654676,0.197414189351384,0.0307936027700078,0.029369093371465,0.0261765084075103,0.0261765084075103
"MIR129",-0.107607344479427,-0.107607344479427,-0.107607344479427,-0.107607344479427,-0.109246688741722,-0.109246688741722,-0.0996747493644868,-0.103886520605916,-0.0381915877846417,0.318965668423341,-0.0582129750920492,-0.290075606161549,0.110589053324328,0.109246688741722,0.107607344479427,0.107607344479427
"ZEB1",-0.316150167279837,-0.316150167279837,-0.316150167279837,-0.316150167279837,-0.295625889651002,-0.295625889651002,-0.273206977746725,-0.266146672541757,-0.244956870375064,-0.0866111131378963,0.0581114438144654,0.0866111131378963,0.206055433654493,0.295625889651002,0.316150167279837,0.316150167279837
"HAS2",-0.307605498826873,-0.307605498826873,-0.307605498826873,-0.307605498826873,-0.17987012987013,-0.27987012987013,-0.257360624500584,-0.265374365874107,-0.235399570547773,-0.0814090771973125,0.0658067729332366,0.0814090771973125,0.295625889651002,0.27987012987013,0.307605498826873,0.307605498826873
"ESRP1",-0.307605498826873,-0.307605498826873,-0.307605498826873,-0.307605498826873,-0.27987012987013,-0.37987012987013,-0.257360624500584,-0.265374365874107,-0.235399570547773,-0.0814090771973125,0.0658067729332366,0.0814090771973125,0.295625889651002,0.27987012987013,0.307605498826873,0.307605498826873
"HA",-0.295625889651002,-0.295625889651002,-0.295625889651002,-0.295625889651002,-0.307605498826873,-0.307605498826873,-0.286442750104449,-0.25135961350319,-0.234556577923958,-0.0880757438639792,0.0601303301707011,0.0880757438639792,0.316150167279837,0.307605498826873,0.295625889651002,0.295625889651002
