"","HA","CD44s","MIR340","MIR1199","HAS2","GRHL2","SNAIL1","MIR200","TGFB","ZEB1","MIR190","ESRP1","TWIST1","MIR129","CD24","MIR34"
"TWIST1",0.321335910949688,0.321335910949688,0.322413335154148,0.322413335154148,0.322413335154148,0.322413335154148,-0.0281248068107249,0.182242109645705,0.00501527141940825,-0.322587308710167,-0.322413335154148,-0.322413335154148,0.147215427719527,0.277539174804414,-0.321335910949688,-0.164394541676864
"MIR129",0.319100441501104,0.319100441501104,0.321335910949688,0.321335910949688,0.321335910949688,0.321335910949688,-0.0295931751378829,0.18144137050188,0.00611417251830935,-0.322413335154148,-0.321335910949688,-0.321335910949688,0.247947645292749,0.27829774137517,-0.319100441501104,-0.16387098146744
"GRHL2",0.285792679106815,0.285792679106815,0.284009239616369,0.284009239616369,0.284009239616369,0.284009239616369,0.145938345647906,0.227214155149713,-0.0198502307524177,-0.28250946017217,-0.284009239616369,-0.284009239616369,-0.174751634912445,-0.174751634912445,-0.385792679106815,-0.298660057978621
"TGFB",0.211509121276597,0.211509121276597,0.212794468320299,0.212794468320299,0.212794468320299,0.212794468320299,-0.0664361876259211,0.198428683691199,0.0901757566067242,-0.213427100363848,-0.212794468320299,-0.212794468320299,0.16650546673479,0.16650546673479,-0.211509121276597,-0.0262959592451459
"MIR34",0.211509121276597,0.211509121276597,0.212794468320299,0.212794468320299,0.212794468320299,0.212794468320299,-0.0664361876259211,0.198428683691199,0.0901757566067242,-0.213427100363848,-0.212794468320299,-0.212794468320299,0.16650546673479,0.16650546673479,-0.211509121276597,-0.0262959592451459
"MIR190",0.208000349346773,0.208000349346773,0.211509121276597,0.211509121276597,0.211509121276597,0.211509121276597,-0.0695466797336277,0.196360079344512,0.192309469266753,-0.212794468320299,-0.211509121276597,-0.211509121276597,0.16575755648402,0.16575755648402,-0.208000349346773,-0.0267934716829569
"MIR200",0.206605990291238,0.206605990291238,0.207264218139339,0.207264218139339,0.207264218139339,0.207264218139339,-0.0225476933758535,0.25781849159455,0.195649835854069,-0.206860071240727,-0.207264218139339,-0.207264218139339,0.073318990457167,0.073318990457167,-0.206605990291238,-0.085156000752285
"MIR1199",0.157112643808391,0.157112643808391,0.155838217300319,0.155838217300319,0.155838217300319,0.155838217300319,0.121506321519827,0.122334723865007,-0.0102241543426833,-0.154259426713486,-0.155838217300319,-0.155838217300319,-0.155819016546172,-0.155819016546172,-0.157112643808391,-0.167424933891177
"CD44s",0.157112643808391,0.157112643808391,0.155838217300319,0.155838217300319,0.155838217300319,0.155838217300319,0.121506321519827,0.122334723865007,-0.0102241543426833,-0.154259426713486,-0.155838217300319,-0.155838217300319,-0.155819016546172,-0.155819016546172,-0.157112643808391,-0.167424933891177
"ZEB1",-0.155838217300319,-0.155838217300319,-0.154259426713486,-0.154259426713486,-0.154259426713486,-0.154259426713486,-0.123590333242393,-0.122572340388495,0.0118176502776427,0.0535158186865938,0.154259426713486,0.154259426713486,0.155226931784564,0.155226931784564,0.155838217300319,0.165249828791561
"MIR340",-0.157112643808391,-0.157112643808391,-0.155838217300319,-0.155838217300319,-0.155838217300319,-0.155838217300319,-0.121506321519827,-0.122334723865007,0.0102241543426833,0.154259426713486,0.155838217300319,0.155838217300319,0.155819016546172,0.155819016546172,0.157112643808391,0.167424933891177
"HA",-0.157112643808391,-0.157112643808391,-0.155838217300319,-0.155838217300319,-0.155838217300319,-0.155838217300319,-0.121506321519827,-0.122334723865007,0.0102241543426833,0.154259426713486,0.155838217300319,0.155838217300319,0.155819016546172,0.155819016546172,0.157112643808391,0.167424933891177
"CD24",-0.157112643808391,-0.157112643808391,-0.155838217300319,-0.155838217300319,-0.155838217300319,-0.155838217300319,-0.121506321519827,-0.122334723865007,0.0102241543426833,0.154259426713486,0.155838217300319,0.155838217300319,0.155819016546172,0.155819016546172,0.157112643808391,0.167424933891177
"HAS2",-0.0604205318491033,-0.160420531849103,-0.157112643808391,-0.157112643808391,-0.157112643808391,-0.157112643808391,-0.124628365039222,-0.125706694360265,0.0120599031349538,0.155838217300319,0.157112643808391,0.157112643808391,0.15152677910325,0.15152677910325,0.160420531849103,0.165633574565571
"ESRP1",-0.160420531849103,-0.260420531849103,-0.157112643808391,-0.157112643808391,-0.157112643808391,-0.157112643808391,-0.124628365039222,-0.125706694360265,0.0120599031349538,0.155838217300319,0.157112643808391,0.157112643808391,0.15152677910325,0.15152677910325,0.160420531849103,0.165633574565571
"SNAIL1",-0.212794468320299,-0.212794468320299,-0.213427100363848,-0.213427100363848,-0.213427100363848,-0.213427100363848,-0.0325645318560519,-0.197609232993316,-0.0909721161061554,0.213528130875062,0.213427100363848,0.213427100363848,-0.164727621422528,-0.164727621422528,0.212794468320299,0.0278898358772936
