"","MIR190","MIR1199","GRHL2","ESRP1","HA","SNAIL1","TWIST1","MIR34","TGFB","MIR129","MIR200","ZEB1","CD44s","CD24","MIR340","HAS2"
"TWIST1",0.37267681337244,0.37267681337244,0.37267681337244,0.37267681337244,0.361927627704688,0.332013543628121,0.199585436886678,0.0533710986150319,-0.0966667623083999,-0.053170146844569,-0.0533710986150319,-0.378174377742656,-0.361927627704688,-0.361927627704688,-0.37267681337244,-0.37267681337244
"MIR1199",0.369815041272659,0.369815041272659,0.369815041272659,0.369815041272659,0.341352849259065,0.282128437884041,0.258838219744263,0.209492289664065,-0.0460017900003789,-0.148279235134997,-0.209492289664065,-0.373836488993839,-0.341352849259065,-0.341352849259065,-0.369815041272659,-0.369815041272659
"HA",0.369815041272659,0.369815041272659,0.369815041272659,0.369815041272659,0.341352849259065,0.282128437884041,0.258838219744263,0.209492289664065,-0.0460017900003789,-0.148279235134997,-0.209492289664065,-0.373836488993839,-0.341352849259065,-0.341352849259065,-0.369815041272659,-0.369815041272659
"CD44s",0.369815041272659,0.369815041272659,0.369815041272659,0.369815041272659,0.341352849259065,0.282128437884041,0.258838219744263,0.209492289664065,-0.0460017900003789,-0.148279235134997,-0.209492289664065,-0.373836488993839,-0.341352849259065,-0.341352849259065,-0.369815041272659,-0.369815041272659
"CD24",0.369815041272659,0.369815041272659,0.369815041272659,0.369815041272659,0.341352849259065,0.282128437884041,0.258838219744263,0.209492289664065,-0.0460017900003789,-0.148279235134997,-0.209492289664065,-0.373836488993839,-0.341352849259065,-0.341352849259065,-0.369815041272659,-0.369815041272659
"SNAIL1",0.293858239468372,0.293858239468372,0.293858239468372,0.293858239468372,0.284663006277259,0.275779986818788,0.315715506899882,-0.0638459440612314,-0.179198429586999,-0.126941390005509,0.0638459440612314,-0.298556158239841,-0.284663006277259,-0.284663006277259,-0.293858239468372,-0.293858239468372
"MIR34",0.284663006277259,0.284663006277259,0.284663006277259,0.284663006277259,0.276693854606307,0.371231261900729,0.310746657180994,-0.0668986230346668,-0.177329422598538,-0.124859639511663,0.0668986230346668,-0.293858239468372,-0.276693854606307,-0.276693854606307,-0.284663006277259,-0.284663006277259
"MIR190",0.276693854606307,0.276693854606307,0.276693854606307,0.276693854606307,0.259901874656433,0.364592450387265,0.304191443806599,-0.0687577484601708,-0.274342224874498,-0.123055855965689,0.0687577484601708,-0.284663006277259,-0.259901874656433,-0.259901874656433,-0.276693854606307,-0.276693854606307
"GRHL2",0.142899990375697,0.142899990375697,0.142899990375697,0.142899990375697,0.122772601840665,0.168420890554498,0.166768488063748,0.0650138135426549,-0.0231051401986198,-0.106362987215308,-0.0650138135426549,-0.138488874363345,-0.122772601840665,-0.222772601840665,-0.142899990375697,-0.142899990375697
"MIR200",-0.201671274469059,-0.201671274469059,-0.201671274469059,-0.201671274469059,-0.191494059279186,0.0747950434000434,0.101775403060766,-0.262138706679881,-0.195638333060741,-0.0500523650041639,0.262138706679881,0.200775122650398,0.191494059279186,0.191494059279186,0.201671274469059,0.201671274469059
"ZEB1",-0.373836488993839,-0.373836488993839,-0.373836488993839,-0.373836488993839,-0.369815041272659,-0.291180863803936,-0.266535321645167,-0.208706327317145,0.0498717086995659,0.149868515284576,0.208706327317145,0.289187410864064,0.369815041272659,0.369815041272659,0.373836488993839,0.373836488993839
"TGFB",-0.284663006277259,-0.284663006277259,-0.284663006277259,-0.284663006277259,-0.276693854606307,-0.371231261900729,-0.310746657180994,0.0668986230346668,0.177329422598538,0.124859639511663,-0.0668986230346668,0.293858239468372,0.276693854606307,0.276693854606307,0.284663006277259,0.284663006277259
"HAS2",-0.341352849259065,-0.341352849259065,-0.341352849259065,-0.341352849259065,-0.436518243661101,-0.273708381119613,-0.247240046228282,-0.198111889242569,0.0426201474883017,0.141977865271983,0.198111889242569,0.369815041272659,0.336518243661101,0.336518243661101,0.341352849259065,0.341352849259065
"ESRP1",-0.341352849259065,-0.341352849259065,-0.341352849259065,-0.341352849259065,-0.336518243661101,-0.273708381119613,-0.247240046228282,-0.198111889242569,0.0426201474883017,0.141977865271983,0.198111889242569,0.369815041272659,0.236518243661101,0.336518243661101,0.341352849259065,0.341352849259065
"MIR129",-0.361927627704688,-0.361927627704688,-0.361927627704688,-0.361927627704688,-0.352389624724062,-0.326785054537961,-0.293518491279984,-0.0497369748084412,0.0943280753543283,0.0507898172604727,0.0497369748084412,0.37267681337244,0.352389624724062,0.352389624724062,0.361927627704688,0.361927627704688
"MIR340",-0.369815041272659,-0.369815041272659,-0.369815041272659,-0.369815041272659,-0.341352849259065,-0.282128437884041,-0.258838219744263,-0.209492289664065,0.0460017900003789,0.148279235134997,0.209492289664065,0.373836488993839,0.341352849259065,0.341352849259065,0.369815041272659,0.369815041272659
